id,text,len tweet,likes,rt,postura
1121598536896872448,"¡Adiós, reforma educativa de @EPN! ¡Hola, reforma educativa de #AMLO! https://t.co/BdWlSrNyzI",93,19,10,1
1121583442876092416,"⚡ #LaMañanera de #AMLO:

👉 Celebra la aprobación de su reforma educativa
👉 Seguridad y salud, los 2 problemas más d… https://t.co/V0OUWNaOiy",140,3,5,1
1121571721910325249,Los diputados eliminaron la facultad del presidente de solicitar por escrito la asignación de recursos que no pueda… https://t.co/y8L253en4Z,140,0,0,1
1121552459757961216,"RT @ADNPolitico: #ComoCuando 🙈 No estamos muy seguros de lo que está pasando aquí con la senadora de Morena @jesusardgz... 🤪🤔🧐🤨

👉 https://…",140,0,2,1
1121515501476249609,"Los diputados aprobaron la reforma educativa de #AMLO, con la cual se echa abajo la de su antecesor @EPN https://t.co/FabIipAiF7",128,12,7,1
1121506945846919169,"#ComoCuando 🙈 No estamos muy seguros de lo que está pasando aquí con la senadora de Morena @jesusardgz... 🤪🤔🧐🤨

👉… https://t.co/Z3PmkAbBTO",138,5,2,1
1121500385112461317,"⚡️ ¿Se han preguntado cómo serían las conferencias de #AMLO sin  sus millones de “eeeh…”? 😎

#LaMañaneraSinPausas 🎧… https://t.co/9YphH05dK3",140,5,3,1
1121492864851226625,"""Los maestros no son corruptos... son gentes buenas, trabajadoras"", dijo #AMLO tras celebrar la aprobación de su re… https://t.co/DTP5p5E3rH",140,0,0,1
1121473726124646408,"⚡️ Seremos breves… 😎

⚡️#LaMañaneraSinPausas 🎧

Escúchalas cuando quieras en Spotify 🔊 

👉 https://t.co/E4A0HUBpLd https://t.co/2KlCtIYXDq",138,10,4,1
1121452041493262337,"⚡ #LaMañanera de #AMLO:

👉 Celebra la aprobación de su reforma educativa
👉 “No protejo a nadie ni acepto influyenti… https://t.co/TjAMUEeNHu",140,19,8,1
1121438579304095745,"#EsNeta 🤦‍♀️ En la CDMX y en Sinaloa, respectivamente, legisladores de Morena plantean prohibir la venta de cerveza… https://t.co/rVBZkLjRzm",140,9,5,1
1121405652335771648,"#LaMañanera | El presidente #AMLO defiende su #ReformaEducativa, promete respaldar a los maestros y niega que vayan… https://t.co/cBS3UomLvG",140,6,5,1
1121398298823274496,"Durante la madrugada de este jueves, la Cámara de Diputados aprobó la #ReformaEducativa impulsada por #AMLO y Moren… https://t.co/d3kwhAKQUv",140,10,7,1
1121341863364059136,"#VocesADN 📣 El asesinato del niño Santiago en #Minatitlán “es un llamado a no perder el sentido del asombro”, escri… https://t.co/mAxcrnNoC3",140,0,0,1
1121326761982214144,#AMLO anunció que el 29 de abril iniciará la construcción del Aeropuerto de Santa Lucía https://t.co/quQiLqgvye,111,3,2,1
1121296556693643264,"En su plan de la #GuardiaNacional, #AMLO dejó en segundo plano a las policías municipales 🤨 https://t.co/sJMHRpHfpJ",115,0,0,1
1121281445694189568,"⚡ #LaMañanera de #AMLO:

👉 14 posibles compradores del avión presidencial
👉 Proyecto de Santa Lucía, listo para la… https://t.co/7YxgxYWPre",139,6,1,1
1121221049360834560,"La pregunta de los 64 mil en materia de seguridad… ¿Y las policías municipales, presidente #AMLO? 🤔 https://t.co/sJMHRpHfpJ",123,2,2,1
1121205955520335872,"⚡ #LaMañanera de #AMLO:

👉 14 posibles compradores del avión presidencial
👉 Calderón tiene 12 elementos de segurida… https://t.co/1HDorRqWG1",140,5,1,1
1121152239693893633,"Es oficial: Alejandro Armenta desistió de su pleito con Miguel Barbosa por la candidatura de Morena en #Puebla 

https://t.co/jEidmkfy19",136,11,9,1
1121122926068215809,"#VocesADN 📣  ¿Qué representa para México la reciente masacre en #Minatitlán, Veracruz? Esta es la reflexión de… https://t.co/LEnEusKq2p",135,5,2,1
1121080304251359233,RT @ADNPolitico: El gobierno de #AMLO gastó $2.3 millones en apoyos para los afectados de los 135 que murieron mientras robaban combustible…,140,0,7,1
1121054419678846978,"⚡ #LaMañanera de #AMLO:
👉 Hay 14 posibles compradores del avión presidencial
👉 Calderón tiene 12 elementos de segur… https://t.co/rj5hVUNX3V",140,11,5,1
1121024795825573888,#OjoAquí 👁️ Los hijos de #AMLO le quieren competir a Willy Wonka 🍫 https://t.co/r6rZBEd3u1,90,11,4,1
1120979474592489477,"Mientras los de la llamada #4T se ponen de acuerdo, te contamos cómo eran las cosas antes de la reforma educativa d… https://t.co/YNcg57NigI",140,4,2,1
1120949278522978304,"#OjoAquí 👁️ La #GuardiaNacional no servirá para reducir los homicidios... pese a que lo  prometió #AMLO, según el… https://t.co/QMU9umRaZS",138,2,0,1
1120919063763529728,"⚡ #LaMañanera de #AMLO:

👉 Presume ahorro por $12 mil millones por plan Vs huachicoleo
👉 Promete apoyos a empresas… https://t.co/YLEXUhOJDr",139,3,1,1
1120903955981250560,#QueremoSaber 🤔 ¿Les comprarías chocolates a los hijos de #AMLO? https://t.co/r6rZBEd3u1,88,19,8,1
1120896404958920705,"¿Logrará la #GuardiaNacional tener los 100,000 elementos que quiere #AMLO? Estos especialistas creen que… 🧐 https://t.co/HybDOQr9yk",131,4,3,1
1120881309591666688,"La #GuardiaNacional no servirá para reducir los homicidios... como prometió #AMLO, según el @semaforodelito https://t.co/hhpOIOG0fr",131,4,5,1
1120858680302407681,El gobierno de #AMLO gastó $2.3 millones en apoyos para los afectados de los 135 que murieron mientras robaban comb… https://t.co/QnxJxTnCgD,140,6,7,1
1120829137843888129,"📚 En este #DíaInternacionalDelLibro, ¿cuál le recomendarían leer a #AMLO? 🤔

👉 https://t.co/jW4tKKFzCy",102,5,5,1
1120824651628855296,#QueremoSaber 🤔 ¿Qué nombre le pondrían ustedes al chocolate de los hijos de #AMLO? 🍫 https://t.co/r6rZBEd3u1,109,24,6,1
1120819670460837889,"#EnSegundos ⏩ Pero, ¿qué necesidad, presi #AMLO?, ¿para qué andar respondiendo preguntas sobre Juan Gabriel? 🙊🙉🙈… https://t.co/PjmjFLdTLD",137,5,4,1
1120775942543114242,"Los hermanos López Beltrán, hijos de #AMLO, exploran su lado empresarial. ¿Cómo? A través de esta fábrica de chocol… https://t.co/b7yrWMhlT9",140,21,14,1
1120759473440686080,"#OjoAquí 👁️ La #GuardiaNacional no servirá para reducir los homicidios como prometió #AMLO, según el @semaforodelito https://t.co/hhpOIOG0fr",140,3,1,1
1120708755568701440,"⚡ #LaMañanera de #AMLO:
👉 Presume ahorro por 12 mmdp por plan vs. huachicol
👉 Pemex reporta reducción en robo de co… https://t.co/hNDoQJyJyd",140,6,4,1
1120601994866118656,"⚡ #LaMañanera de #AMLO:

👉 Promete bajar índices de inseguridad en 6 meses
👉 Es una “volada” acuerdo con Gordillo p… https://t.co/UDekZMmmOd",140,4,1,1
1120541572435730432,"“Es una volada de Reforma” el supuesto pacto con Gordillo para devolverle los bienes que le confiscaron, dijo #AMLO https://t.co/qW12VYda9m",139,4,4,1
