id,text,len tweet,likes,rt,postura
1121257550903558144,"RT @Milenio: ▶ Tras la masacre en Minatitlán, queda una pregunta: ¿qué le hace falta al gobierno de #AMLO?

Gibrán Ramírez (@gibranrr) y Ra…",140,0,322,1
1121234099576786946,"@Hache_g @EdmundoGD @PaulaSoto @MetroCDMX @GPMorenaCdMex Tenga sus lentes, 👓",76,4,0,1
1120759153012682752,"RT @ea_puerto: A mí la violencia me quitó a mi sobrino. Hace dos años no sé nada de él. Junto con su presencia, se llevaron una parte de mi…",140,0,1346,-1
1120509943264808961,RT @lachinacamx: Convocamos a todas y todos los jóvenes del país que quieran construir patria y futuro desde la 4T al Primer Festival China…,140,0,70,1
1120360320608948225,"Minatitlán, la mezquindad y el tino
-@gibranrr 

Otro artículo más que te atraviesa como flecha con punta explosiva… https://t.co/RVwqmBpwYi",140,623,199,1
1120080090988040192,@LeonardoCurzio @lopezobrador_ Algo equis.,42,318,19,1
1119796992501329920,"RT @Martha_Barcena: Como veracruzana expresó mi profundo dolor por lo sucedido en Minatitlán. No más violencia, no más impunidad.",129,0,62,-1
1119704480185036801,"RT @AlfonsoDurazo: En el fondo de la violencia está la ruptura, con efectos e inercias acumulados por décadas, de nuestro tejido social. La…",140,0,225,-1
1119377475849605120,RT @AntonioAttolini: Voy a #AzucenaxFórmula con @AzucenaU a comentar sobre el mensaje de bienaventuranza del Presidente por motivo de la Se…,140,0,13,1
1119362415248990209,Voy a #AzucenaxFórmula con @AzucenaU a comentar sobre el mensaje de bienaventuranza del Presidente por motivo de la… https://t.co/4mpqEwJzgs,140,69,13,1
1118966902225809418,RT @NoticiasMVS: #AHORA Hay un interés por parte de Morena de crear consensos con los diferentes grupos parlamentarios: @AntonioAttolini en…,140,0,2,1
1118286715989393413,"RT @alonsomoyers: El memorando es una comunicación. En el texto del firmado por el presidente, se señalan directrices politicas para cierto…",140,0,185,1
1117900263820382208,"RT @lopezobrador_: Lamento el incendio en la catedral de Notre Dame, en París, Francia. Es una desgracia para el arte, la cultura y la reli…",140,0,7968,1
1117870732346679297,"RT @lujambioalberto: Ya sabemos quién es el hombre detrás de las amenazas, las mentiras, los insultos y el llamado a la violencia feminicid…",140,0,44,-1
1117849052710785024,"Vayan a las conferencias mañaneras. Pregunten, cuestionen, exijan las respuestas que quieren. Hagan el periodismo q… https://t.co/u4AYukSO0t",140,2971,731,1
1117837783224156160,"Les dicen fifís y conservadores en la mañanera y la gente les llama “chayoteros” en TW, pero ya hallaron la forma (… https://t.co/p2ojKgIqym",140,437,95,1
1117463951019692037,Cuando leo que alguien escribe que “el Presidente se debe dejar asesorar” (🤦🏻‍♂️) lo que pienso es que detrás de es… https://t.co/K1JNfIuXgL,140,1626,327,1
1117460362612240387,"RT @zepecaos: Sobre reforma educativa, los medios han insistido que el presidente va a regresar a la venta de plazas y para afirmarlo no lo…",140,0,57,1
1117184441481228288,"RT @HGarciamarin: Creo que la mañanera de ayer nos puede ayudar a repensar el papel de los medios de comunicación y el ahora muy famoso ""pe…",140,0,675,1
1117145231441506310,"RT @PPmerino: Por favor denunciemos. Independienteme de que sea o no cierto lo. Que afirman, esto es un llamado a la violencia contra una m…",140,0,180,-1
