id,text,len tweet,likes,rt,position
1271258430523805696,"Propone AMLO sala nacional única para Sistema Anticorrupción
",108,36,16,0
1271159092300701696,"Organismos autónomos se ‘servían con la cuchara grande’: AMLO

",110,175,32,0
1271155414671912961,"Llama AMLO a una reactivación económica con equilibrio

",103,30,9,0
1271145205220233224,"Cuando queda una vacante en organismos autónomos, me tomo mi tiempo: AMLO

",122,39,11,0
1271135143357538304,"Exhorta AMLO a respetar la ley en conflicto sindical de Notimex

#Video 👉 ",121,34,10,0
1271128880854831105,"Poderes Judicial y Legislativo llevan mucho tiempo parados: AMLO 

👉 ",116,28,7,0
1271122558855806977,"No conocía iniciativa para fusionar al IFT, Cofece y CRE: AMLO

",111,17,4,0
1271068145931956224,La propuesta de Monreal y el calendario electoral de AMLO | #ColumnasPolíticas de este jueves… ,118,13,5,0
1271063229423333384,"#Titulares🇲🇽 | 4T quiere eliminar a reguladores: IFT, Cofece y CRE

",115,31,12,0
1270920139152805889,Presidenta de la Cámara de Diputados pide a AMLO que implemente Ingreso Mínimo Vital de Emergencia… ,123,52,20,0
1270913776045510656,"Documento del BOA es espurio y AMLO lo usa para propaganda política: Mesa de Análisis
",133,438,157,0
1270853371679985666,"Si AMLO ve algo ilegal en Proyecto BOA debe denunciar: Figueroa

",112,82,13,0
1270838296596414471,"‘Absurdo’ que AMLO piense que el mundo gira entorno a él: Figueroa

",115,225,39,0
1270833146863460357,"Simpatizantes nos hacen llegar documentos como el ‘Proyecto #BOA’: AMLO

",120,49,14,0
1270785349271330817,"Gente que trabaja con mis opositores hizo llegar documento del #BOA: AMLO

",122,132,26,0
1270782816305983491,"Condena AMLO racismo, clasismo, xenofobia y discriminación

👉 ",109,42,10,0
1270777870185639937,"Se dio a conocer el ‘#BOA’ para informar a la gente: AMLO

",106,56,22,0
1270772746084134914,"Ante elecciones, no permitiré que ‘ninguneen’ investidura presidencial: AMLO

#Video 👉 ",134,163,38,0
