id,text,len tweet,likes,rt,postura
1121522137360162819,"HOY EN #ElPulsoDeLaRepública

El silencio de Minatitlán

¿Estudiantes del ITAM podrían salvar el NAIM? (el chido, n… https://t.co/1SXcersEwh",140,818,105,1
1121230422443163648,"—Quieren prohibir venta de cerveza fría.
—¿A quién se le ocurre tal cosa?
—Morena.
—Ay mi viejito siempre pendiente… https://t.co/z3FpkRrfjn",140,23501,4306,1
1121035074449833984,"Ven un lago donde no lo hay pero no ven un cerro enfrente de las pistas.

En tierra de ciegos, la 4T es rey.",108,23101,6175,1
1120877834803785729,@omar_comunica Mejor que hable de cuando apoyó a López Obrador y borró todos sus tuits en cuanto retiraron los apoy… https://t.co/qUhpXyEhU5,140,20,3,1
1120848360712409088,@HernanGomezB Muy chingón para citar mis tuits pero se te va el internet cuando AMLO se queda callado por Minatitla… https://t.co/abvKEUscPZ,140,1912,304,1
1120742916522168326,"Imagínate que eres periodista.

Imagínate que tienes enfrente al presidente.

Imagínate todo lo que puedes pregunta… https://t.co/ChhE5ybjkA",140,28227,8889,1
1120705299080519680,Dos días esperando respuestas sobre Minatitlán y el presidente dedica 15 minutos a hablar de si está muerto o no Ju… https://t.co/JNUUsJN7Kx,140,20610,4515,1
1120684141052219392,@julioastillero @NachoRgz Y vamos a confiar solo en su palabra y en su honor. Como todo en la 4T.,97,832,57,1
1120451826543996928,Si la 4T fuera tan eficiente y profesional como el servicio de La Casa de Toño en un mes seríamos Suecia.,105,12009,1794,1
1120361294685560832,"HOY EN #ElPulsoDeLaRepública

AMLO intenta cancelar la ley «fue sin querer queriendo», dicen sus bros.

Chumel cant… https://t.co/33pCAqFMuS",140,934,111,1
1120323016670482432,"“Es que no se puede porque dejaron un desmadre los otros y esperan que yo lo resuelva”.

Andrés Manuel, literalment… https://t.co/4l0jEvxEeO",140,15376,3409,1
1119997374942855169,El AMLO del 2017 hubiera sido una tremenda oposición al AMLO del 2019. https://t.co/qKGbcP6jiJ,94,17275,5897,1
1119989668509044738,"Minatitlán es un municipio gobernado por Morena.

Veracruz es de Morena.

Congreso local: Morena.

Congreso federal… https://t.co/QpKV59La6C",140,8651,2645,1
1119768403336749057,Y seguimos sin mínimo condolencias a Minatitlán. Balazos sin abrazos.,69,11321,1880,1
1119675753594064896,@Radiohen @lopezobrador_ LEO 2024,33,369,7,1
1119665868353495041,"AMLO: “Necesitamos oposición. Se respetarán todas las opiniones”.

También AMLO: https://t.co/n7P1Ly0Fmd",104,4534,764,1
1119055170619314176,"@LOVREGA Vero, tienes toda la semana arrobándome.
Sí eres mi fan, se dice y ya. https://t.co/2cduv4te8N",103,1441,46,1
1118257085198659584,Mejor que sea presidente el AMLO candidato. https://t.co/RZ91K05xKG,67,10837,2303,1
1118232559287029760,"¿Se acuerdan cuando nuestro mayor pedo era que al presidente se le caía la banda presidencial?

Éramos felices y no lo sabíamos.",128,29639,5150,1
1117827803703996416,"HOY EN #ElPulsoDeLaRepública

Ramos, la pesadilla de la mañanera.

La guardia nacional con el mando más militar que… https://t.co/245XEtm6ru",140,1108,156,1
1117128471300284416,"AMLO dice que la seguridad va en aumento.
Datos dicen que no.
Un periodista se lo hace ver.
Las redes dicen que pen… https://t.co/qwgGAmzJeW",140,28466,6431,1
1116843725370556416,@SergioSarmiento @lopezobrador_ Y la banda atacando al artículo también en inglés. El chiste se cuenta solo.,108,758,58,1
1116841147006095360,ya hombre amlo tiene razon siempre y lo hace todo muy cabron cuanta tranquilidad el peso como nunca y la gasolina v… https://t.co/Z5CIv4UYUm,140,5690,453,1
1116834168808275974,"@AntonioAttolini Yo no borro tuits, ni que fuera la 4T.",55,2082,81,1
