id,text,len tweet,likes,rt,position
1270953484205072384,#ComentarioFinal El caso de #Alexander en Oaxaca es en esencia el mismo de #Giovanni en Jalisco. Voces de la #4T pi… ,140,431,224,0
1270944873559048192,"El presidente @LopezObrador_ cuestionó la existencia de “tantos partidos"" políticos en México, dijo que solo deberí… ",140,646,176,0
1270730344782802945,"""Desayuno con el presidente @lopezobrador_  cada 15 días, pero está muy alejado de la realidad que yo le traté de f… ",140,778,205,0
1270692919977095168,"""No le doy importancia al documento de un bloque opositor que presentó el presidente @lopezobrador_, pero fue un ac… ",140,392,91,0
1270690173190197248,"#ComentarioFinal En otra de esas cosas extrañas de la #4T, apareció #LaBOA, un supuesto “Bloque Opositor Amplio” de… ",140,839,330,0
1270580344652206080,"#ComentarioFinal En otra de esas cosas extrañas de la #4T, apareció #LaBOA, un supuesto “Bloque Opositor Amplio” de… ",140,1270,452,0
1270573588769366018,"""¿Lobo estás ahí?"" estos mensajes contra el presidente @LopezObrador_ aparecieron en  calles de Guadalajara. En los… ",140,3247,1219,0
1270356474481557504,"El presidente @LopezObrador_ calificó a @EnriqueKrauze de conservador, incluso lo llamó “Lucas Krauze Alamán”. El h… ",140,606,305,0
1270217318770016257,"El presidente @LopezObrador_ calificó a @EnriqueKrauze de conservador, incluso lo llamó “Lucas Krauze Alamán”. El h… ",140,1577,684,0
1270215865942847489,"“Se me hizo algo injusto, incluso irrespetuoso de la investidura presidencial” dijo el presidente @LopezObrador_  s… ",140,138,41,0
1270000229601947648,"""El presidente López Obrador insulta, ofende y descalifica a la prensa y a los intelectuales. Viniendo de un presid… ",140,3473,1205,0
1269992860037906432,Enrique Krauze dijo #PorLaMañana que el presidente @lopezobrador_  está más cerca de la tradición dictatorial que l… ,140,3916,1647,0
1269988943321235456,"""AMLO no es liberal sino un conservador que busca la concentración absoluta del poder en un solo hombre"": @EnriqueKrauze",120,18656,5894,0
1269985690529468417,"La popularidad del presidente López Obrador subió 2% entre mayo y junio. Se coloca en 51%, de acuerdo con la encues… ",140,235,48,0
1269768852323225600,"Este jueves, el gobernador de #Jalisco, @EnriqueAlfaroR, señaló directamente al presidente @LopezObrador_ como resp… ",140,569,156,0
1269723553781301248,Es este es el mensaje que le enviaba hace dos años el gran #HéctorSuárez al entonces candidato @LopezObrador_. Desc… ,140,2481,1072,0
1269693354834624514,"En la semana, el actor Damián Alcázar grabó un video diciendo que @LopezObrador_ es ""el mejor presidente de México… ",139,814,243,0
1269361166028951552,"“No tengo yo que ver nada. Si tiene pruebas, que las dé a conocer” respondió el presidente @LopezObrador_ al gobern… ",140,273,77,0
1269147581747269637,#ComentarioFinal El presidente @LopezObrador_ y el gobernador @EnriqueAlfaroR decidieron no escalar el pleito. Quiz… ,140,289,77,0
1269145292739313665,"El presidente @LopezObrador_ dijo que México producirá su propia gasolina, pero ¿realmente sale más barato hacer ga… ",140,705,343,0
1269115993542086656,"“No tengo yo que ver nada. Si tiene pruebas, que las dé a conocer” respondió el presidente @LopezObrador_ al gobern… ",140,106,41,0
