id,text,len tweet,likes,rt,postura
1121426226231611392,"Ojo: si como miembro del Consejo Asesor Empresarial del presidente, el empresario tiene incidencia y acceso a infor… https://t.co/nskAmPJafz",140,4024,2133,1
1121216791903186944,"RT @revistaproceso: AMLO manda memorándum a SFP para que sancione a exfuncionarios de Peña acusados de corrupción
https://t.co/EIhlrQPlVO",137,0,494,-1
1121098248364666880,"Alerta: #SantaLucía no cuenta con proyecto ejecutivo definitivo, estudios de viabilidad/rentabilidad/impacto ambien… https://t.co/0DNIfuEbaE",140,5448,3236,1
1120845193312444417,"No, Sr. Presidente. La exigencia de paz no es exclusiva de los “conservadores”. Es una exigencia de los mexicanos. 👇 https://t.co/pzAhPRS8J9",140,18588,7130,1
1120807173024616450,"RT @dayan_jacobo: Los niveles de violencia son alarmantes, la impunidad absoluta. La emergencia nacional exige trabajar seriamente y en con…",140,0,353,-1
1120806791082856453,"RT @jorgeramosnews: Muy bien los reporteros hoy en “la mañanera”. Los mejores cuestionamientos se logran con las repreguntas, comparando da…",140,0,2304,1
1120769592148865024,"RT @elisaalanis: - Señor Presidente, ¿piensa que la exigencia de paz es exclusiva de los conservadores?
- Básicamente. 
(Y sí, la cara del…",139,0,1802,1
1120510134613106688,"Memorándum para el Presidente: Usted no es un señor feudal, no es un rey, no es Andrés I.  No sea como sus predeces… https://t.co/vyQoKImePF",140,12118,5684,1
1120504609569738752,"RT @AristeguiOnline: Se eligió a este gobierno para encarar la violencia, no para culpar al pasado: @DeniseDresserG | #Entérate | #Video 👇…",139,0,428,-1
1120358920105680896,"RT @jrisco: “Todo México es Minatitlán” 

Una de las columnas más lúcidas del día, la del maestro #MauricioMerino en @El_Universal_Mx. 

“U…",140,0,1143,1
1120153947635843072,"RT @dmorenochavez: Minatitlán, bajo el asedio de la violencia; homicidios crecieron 90% en tres años https://t.co/cs7mmORige vía @pajaropol…",140,0,225,-1
1120087238208045056,RT @jrisco: Necesario tuit para RECORDARLE a @lopezobrador_ sus exigencias hace 6 años y maravilloso tuit para recordar a @jshm00 🙌🏼 https:…,140,0,5929,1
1120077883911831552,RT @AristeguiOnline: Van más de 11 mil asesinatos durante 4 meses del gobierno de AMLO  https://t.co/spWB60iuDD,111,0,1412,-1
1120076288126083074,"RT @Pajaropolitico: ""Nos entregaron un país en crisis, un cochinero, pero lo estamos limpiando”, respondió @lopezobrador_ a la prensa al ll…",140,0,311,1
1120041065250217984,RT @EileenTruax: El silencio del presidente de México este fin de semana es una vergüenza. ¿Por qué sus asesores no han creado un equipo de…,140,0,1857,-1
1119793399282974720,"@mario_delgado @DiputadosMorena Por la cual votaste en 2012, mi estimado 👇 https://t.co/4EBebRD4rw",98,7209,2315,1
1119699934553542656,"Sr. Presidente. Ahí le hablan los “conservadores”, “momias”, “hipócritas”, “dos caras”, “ridículos”, “imprudentes”… https://t.co/ab0DEr04bn",139,5274,2379,1
1119689301405704192,"RT @malamadremx: Minatitlán, la ciudad donde nací, es nota hoy por una masacre. Un comando irrumpió en una fiesta y mató a 13 personas, ent…",140,0,852,1
1119668840990945280,El mensaje que quisiéramos oir: “La violencia en #Veracruz nos exige sumar en vez de restar. Nos exige convocar en… https://t.co/q7JUp7e5Up,139,11996,4217,-1
1119659584564678656,"RT @revistaproceso: Ejecutan a 14 personas, entre ellas un bebé, en un salón de fiestas en Minatitlán https://t.co/dqBHrps5WZ",125,0,941,1
1119316964034469888,Traducción: el presidente de la mesa directiva del Senado también quiere violar la ley y saltar por encima de la Co… https://t.co/81QDW1CeCC,140,3714,1883,1
1119310558883385346,"RT @CNDH: Ante Memorándum dado a conocer por el Presidente de la República @lopezobrador_, y ante la solicitud de diversos medios de comuni…",140,0,1432,1
1118961365111267333,RT @article19mex: El día de ayer se anunció la política en comunicación social del gobierno de @lopezobrador_ . @FundarMexico y ARTICLE 19…,139,0,118,1
1118955373254402049,@lopezobrador_ Si el nuevo gobierno post-neoliberal sigue promoviendo adjudicaciones directas en vez de licitacione… https://t.co/FKunpubXdH,140,11421,2776,1
1118941967528923136,"Un senador de la República, siguiendo órdenes del presidente, decidirá cuáles son las leyes injustas, cúales son la… https://t.co/Hn1YrCsRin",140,5657,2642,1
