id,text,len tweet,likes,rt,postura
1123262785847222272,RT @lopezobrador_: Hoy convivimos en Palacio Nacional con niñas y niños de varios estados del país. https://t.co/0YgTt0P46C,123,0,2702,1
1113898588625620992,"RT @lopezobrador_: Conversamos con Roberto Azevêdo, director general de la Organización Mundial de Comercio. https://t.co/DpQAgZNifg",132,0,1112,1
1112893304776085504,Agradezco la invitación de Antonio Aguirre a su programa #ENDIRECTO por @TuCasaTvOficial. Un gusto compartir con su… https://t.co/iBV4tcI8Jh,140,28,11,1
1112792196472815622,RT @lopezobrador_: Encuentro con congresistas de Estados Unidos. https://t.co/nTcD2tOAWs,88,0,2340,-1
1112158717498281986,"RT @lopezobrador_: 'Programas Integrales de Bienestar', desde Tantoyuca, Veracruz. https://t.co/wYWGzCTn1B",106,0,1633,-1
1109887807106023424,"RT @lopezobrador_: Reinstalación del Sistema Nacional de Búsqueda, desde Palacio Nacional. https://t.co/vdVe6bSRr5",114,0,1877,1
1107754452319174656,RT @PMunozLedo: Saludé afectuosamente al Presidente de la República Andrés Manuel @lopezobrador_ en el inicio del acto conmemorativo por el…,140,0,44,1
1107754442672295936,"RT @lopezobrador_: Aniversario 81º de la Expropiación Petrolera, desde Tula, Hidalgo. https://t.co/gBBKGGq9JK",109,0,2328,-1
1107492832779137024,"@FelixSalMac @lopezobrador_ ¡Los abrazo con cariño, adelante!",61,11,1,0
1107367331091484672,"RT @Roronava: Fundamental que los mexicanos podamos definir entre todos el Plan Nacional de Desarrollo. 
“Estamos en un verdadero cambio de…",140,0,11,1
1107131839280500736,"Hace diecinueve años en un foro sobre economía con el ciudadano Presidente de México, Andrés Manuel @lopezobrador_… https://t.co/kA6KDdFVZ5",139,1845,563,-1
1103841311294189570,"Ante el nuevo gobierno que preside el compañero @lopezobrador_ , y que representa la Cuarta Transformación social d… https://t.co/1whI89dZlz",140,79,22,1
1097696653895708674,"El Plan Nacional de Desarrollo (2019-2024) tendrá como ejes transversales la inclusión e igualdad sustantiva, el co… https://t.co/M7npDu84Vx",140,48,21,1
1095926353927512064,RT @lopezobrador_: Firma del Acuerdo Marco con la Oficina de la ONU de Servicios para Proyectos https://t.co/7SKygO02JJ,119,0,1578,-1
1095539937108209664,"A partir de haber participado en la lucha electoral con el actual Presidente de México, el compañero @lopezobrador_… https://t.co/Lbz229003G",140,355,140,0
1090795774353555457,RT @JesusRCuevas: El presidente @lopezobrador_ encabezó a miembros del @GobiernoMX en la reunión con el presidente @sanchezcastejon y su co…,140,0,406,-1
