id,text,len tweet,likes,rt,position
1271212133800456192,RT @Milenio: Volvimos a la normalidad: Gasolina sube y se vende casi en 18 pesos en #CdMx ,137,0,40,0
1271210525502906370,RT @JoseCardenas1: AMLO pide vencer el miedo al virus y salir a la calle ,96,0,104,0
1270850493678522370,"AMLO aseguraba que, a diferencia de Calderón y EPN, su administración no incrementaría la deuda con respecto al PIB… ",140,29,5,0
1270789127416557568,RT @JoseCardenas1: López Obrador no permitirá que gobernadores “ninguneen” la investidura presidencial ,126,0,10,0
1270545693393006592,"RT @Milenio: ""Lobo, estás ahí"": Los anuncios anti-AMLO que aparecieron en Jalisco ",129,0,169,0
1270489201478438920,"RT @porkestendencia: “Facundo”
Por las reacciones a su mensaje para AMLO. ",97,0,10781,0
1270392899268751362,Denuncia AMLO planes para derrocarlo ,60,6,0,0
1270342850027433984,"RT @OpinionDeSan: La periodista del fondo me representa cuando el/la castrosx del salón pedia la palabra.
#LordMolecula #AMLO #ConferenciaP…",140,0,338,0
1270041993280999431,"RT @MVSNoticias: . @lopezobrador_  no se hará prueba de COVID-19

El presidente de México, Andrés Manuel López Obrador, declaró que no se h…",140,0,8,0
1269750202677821440,RT @JoseCardenas1: Aseguran que Irene Esser e hijo de AMLO pusieron pausa a su relación ,111,0,108,0
1269485637708713985,RT @JoseCardenas1: Cuauhtémoc Cárdenas pide a AMLO posponer megaproyectos para atender crisis por Covid-19 ,130,0,1111,0
