id,text,len tweet,likes,rt,position
1271227034245697536,"RT @ferbelaunzaran: ¿Por qué @lopezobrador_ incluyó al @INEMexico y al @TEPJF_informa en el delirante texto de la BOA?

Para amedrentar a l…",140,0,106,0
1271198283621433344,"RT @ANDROMACO64: No necesitamos que lo diga La Barbie.

Todo México lo vimos.

Será este un #AmloGate?

Las hordas pejistas y los tuiteros…",139,0,496,0
1271182256858640384,"RT @MVSNoticias: ""@lopezobrador_ no tiene mucho afecto por órganos autónomos, porque limitan su poder personal y absorben recursos que podr…",140,0,40,0
1271171541913546759,"RT @monerorictus: AMLO, el neoliberal.",38,0,155,0
1271128036453351430,RT @RicardoAlemanMx: Así la persecución de los críticos de Palacio! Y para qué creen que los sicarios de @lopezobrador_ difunden esas lista…,140,0,146,0
1271116744711704588,RT @MVSNoticias: Las declaraciones de @lopezobrador_ ocurren un día después de un nuevo récord diario de casos de #Covid_19mx https://t.co/…,140,0,30,0
1271100556505944066,"El vandalismo de la 4T contra las instituciones del país. Espléndido, exacto @CartonCalderon en @Reforma 

#INMECOB… https://t.co/81AcWPG7Fa",140,112,39,0
1271099865792237570,"RT @campossuarez: Sigan distraídos con la BOA, mientras la 4T planea llevarse el dinero de su Afore al Banco del Bienestar.…",124,0,544,0
1271096394221326336,Curioso: primero dijo AMLO que no estaba enterado de la iniciativa de @RicardoMonrealA para desaparecer los órganos… https://t.co/naYuQQuPQ9,140,86,48,0
1271090504109875200,"RT @xpedroza: Imagínense nadamás que un moreno sin conocimientos técnicos pero incondicional de la 4T manejara la CRE, el IFT y la COFECE,…",139,0,221,0
1271087292225138688,RT @joseyuste: Hoy el presidente @lopezobrador_ dice que es bienvenido el ahorro refiriéndose a desaparecer el @IFT_MX y @cofecemx Más bien…,140,0,129,0
1271086560272961536,La curva aplanada y la pandemia domada. Punta de irresponsables @lopezobrador_ @HLGatell @Claudiashein… https://t.co/BXGbnQdaRS,127,124,58,0
1271085836554194946,"RT @GerCarrasco90: La ‘ESPERANZA DE MÉXICO’ paga 395 millones por obras FANTASMA.

“Ya se acabó la corrupción”. - nos dice @lopezobrador_.…",139,0,1722,0
1271079256911683584,"RT @vampipe: Qué forma tan sutil de @JesusRCuevas de decirnos que no tenemos presidente. 

Hizo esta toma mientras @lopezobrador_ hablaba d…",140,0,478,0
1271070501339881472,Miren la diferencia en la línea editorial del diario oficial de la 4T y uno de los medios que más alucina el presid… https://t.co/92pG8fng8X,140,174,101,0
1271066879210201088,"RT @luisestrada_: La DESAPROBACIÓN de @lopezobrador_ ha sido MÁS ALTA que la APROBACIÓN en 56 de los últimos 76 días ( 7️⃣4️⃣ % ), de acuer…",140,0,52,0
1271066170272210945,Esto es lo que trae desquiciado al presidente @lopezobrador_. Y que conste que no se pueden levantar encuestas en c… https://t.co/Uf0ucPxwQn,140,219,107,0
1271064433910046720,⚠️Dice @lopezobrador_ que NO conoce la iniciativa de @RicardoMonrealA para desaparecer @IFT_MX @CRE_Mexico y… https://t.co/ozG297rvPH,133,176,106,0
