id,text,len tweet,likes,rt,postura
1106653542205612032,"Ni López Obrador quiere reelegirse ni está permitido en la Constitución, nos dice @mario_delgado en una conversació… https://t.co/YWe2h2CFyM",140,92,25,-1
1102992570802688001,"#JustoAhora inicia por radio #LasNoticiasConJavierAlatorre

🔹 Investigan 50 casos de corrupción en la compra de med… https://t.co/j4T5shDdln",140,61,16,-1
1102629595449356289,"#JustoAhora inicia #LasNoticiasConJavierAlatorre

”Yo sí temía que le hicieran algo (a AMLO)”. Hoy una conversación… https://t.co/0Dw5t8eXPl",140,66,9,-1
1044998595735429120,Andrés Manuel López Obrador se encuentra reunido con padres de los normalistas desaparecidos de Ayotzinapa… https://t.co/our1QwLuIA,131,86,17,-1
1042428654490472448,"Eran las 07:19 de la mañana del #19deSeptiembre de 1985, cuando un sismo de magnitud 8.1 sorprendió a los habitante… https://t.co/PDJBJ4tvR9",140,101,34,1
1035558233442844674,"En conferencia, Andrés Manuel López Obrador informa que están elaborando las convocatorias para licitar obras públi… https://t.co/q5460gqKKh",140,158,27,-1
1034495861496180736,"Andrés Manuel López Obrador se encuentra reunido con Jimmy Morales, presidente de Guatemala, y anuncia que creará P… https://t.co/DoF1yqkIFo",140,60,10,-1
1034466922656661504,El presidente electo Andrés Manuel López Obrador afirma que desde el 1 de diciembre presentará la iniciativa para c… https://t.co/BHU2IWozjk,140,355,98,-1
1034112984350580741,Trump reconoció el trabajo coordinado entre el equipo del presidente Peña y el del presidente electo Andrés Manuel… https://t.co/ImlTfPZGXI,139,38,12,-1
1032403429040300032,Trump prefiere a Andrés Manuel López Obrador que a Enrique Peña Nieto. Así lo dijo: https://t.co/KaY7DIKlyv https://t.co/KU4sJJrwLS,131,108,14,-1
