id,text,len tweet,likes,rt,postura
1121437703218708481,"RT @carlosbravoreg: Cuando el aire caliente de su retórica se estrella con la frialdad de los hechos, el presidente que asegura haber aboli…",140,0,117,1
1121437651624579072,RT @jorgesuarezv: Pocas cosas nos dividirán más que las malas decisiones tomadas por ineptos leales a @lopezobrador_ Gracias por RT https:/…,140,0,451,-1
1121436845944893440,"RT @Reforma: El Presidente López Obrador afirmó que si no hay impedimento legal, el empresario Miguel Rincón Arredondo, miembro de su conse…",140,0,1117,1
1121219687293931520,"RT @Reforma: Ante nuevos señalamientos de López Obrador contra @Reforma, la @coparmex difunde video en el que pide respeto a la libertad de…",140,0,3230,1
1120792357400535040,El presidente continúa su batalla personal contra uno de los diarios más importantes y serios del país: https://t.co/XQ1ZR3s6NM,127,661,204,1
1120536625128325127,"RT @US_Latino: Sr. Presidente @lopezobrador_

cc: @programapaisano

Recibo con preocupación la noticia de suspensión del #ProgramaPaisano,…",139,0,35,1
1120431452980764674,"RT @washingtonpost: Analysis: He promised ""hugs, not bullets.""

Now Mexico’s AMLO is facing an outcry over soaring violence. https://t.co/A…",140,0,126,1
1119837583356256256,. @lopezobrador_ 2013 vs @lopezobrador_ 2019 https://t.co/Yr1AjdWhxk,68,9620,5185,1
1119652176840679424,No han pasado 24 horas de la tragedia de Minatitlán y el presidente de México levanta el teléfono para redactar un… https://t.co/9TorxAJEHk,139,20110,8747,1
1119645199364263937,Despertó molesto el presidente. https://t.co/JEQNNfyIKG,55,3562,801,1
1119445189427220480,"RT @elopezgross: ufff: ""Un hombre sin atributos con buena suerte (o mala, tal vez) que llegó a ser presidente y se ha convertido en la oda…",139,0,10,1
1119293230825107457,"RT @juliopatan09: Acá @GmoSheridan, al que no veo en la nómina de la escuela de formación de cuadros de Morena. Tampoco a @epigmenioibarra,…",140,0,422,1
1118891745712807937,El presidente de Estados Unidos: https://t.co/xSPgwCUnYE,56,195,27,1
