id,text,len tweet,likes,rt,postura
1124098929866498058,PND y seguridad nacional https://t.co/5EwS0DbEt2,48,4,1,-1
1122896139320053765,"RT @lopezobrador_: Inicio de estudios para la construcción del Aeropuerto 'Felipe Ángeles', desde Zumpango, Estado de México. https://t.co/…",140,0,1489,-1
1121360067985461248,Avalan en lo particular reforma educativa; va al Senado via El Universal https://t.co/HoDKguoIiK,96,11,6,0
1121046416737087491,"RT @PaolaRojas: #ConferenciaPresidente

Sobre los tuits de Trump, @lopezobrador_ responde que ""no caerá en provocaciones. Queremos mantener…",140,0,8,-1
1120381084007653381,RT @COMEXI: #Opinión | @carrenojose1 reflexiona sobre la postura de #AMLO acerca de la crisis en #Venezuela ya que @lopezobrador_ se ha exp…,140,0,5,-1
1120103531917168640,"RT @LeonardoCurzio: @Debussy51792379 @lopezobrador_ No es poca cosa, es una hazaña,  pero son cosas diferentes. Un líder democrático puede…",139,0,7,-1
1120099482815696896,"@Debussy51792379 @lopezobrador_ No es poca cosa, es una hazaña,  pero son cosas diferentes. Un líder democrático pu… https://t.co/BquQqHTiOp",140,44,7,-1
1120068901709029376,"Creo que el tono confrontador que usa @lopezobrador_ es porque se asume, como Juárez, el ganador de una guerra... y… https://t.co/AFHCp1cVBP",140,3846,1220,-1
1120067474173513728,"RT @lopezobrador_: La libertad será completa, con respeto al derecho a disentir, a la crítica. No habrá censura. Conferencia de prensa. htt…",140,0,2127,-1
1120067403499466753,"RT @lopezobrador_: Lamento el suicidio del expresidente de Perú, Alan García y todo alrededor del caso Odebrecht. La corrupción es la nueva…",140,0,13341,-1
1118525873521614850,#Opinión | La verdad de las mañaneras https://t.co/5jvMtHfSiT vía @YouTube por @StefyOchoa,90,31,15,-1
1118337113219530757,Supongo que el memorándum del @lopezobrador_ esta dirigido a las bases de la @cnte_7 es un llamado a su dirigencia… https://t.co/xBAgYbZ730,139,172,50,-1
1118316683314245632,"RT @LCurzioRF: En unos minutos más, la abogada y analista @veronicaortizo platica con @LCurzioRF sobre el memorándum de AMLO para frenar la…",140,0,12,-1
1116401214709817346,@botochito @lopezobrador_ Votaron un transitorio que lo permite,63,9,1,-1
1116400975340802048,"@sgsj2009 @lopezobrador_ Claro que lo recuerdo, pero votaron transitorio que faculta al Presidente a  nombrarlo .",113,0,1,0
1116339489306107904,"Creo que es muy acertado el nombramiento @lopezobrador_ del general Bucio como jefe de la guardia. Tiene formación,… https://t.co/YoCpfwt8JH",140,1271,326,-1
1115372625621127169,"RT @reformanacional: El presidente del Sistema Nacional Anticorrupción, José Octavio López Presa, urgió a @lopezobrador_ a nombrar a los ma…",140,0,13,-1
1115195566290378752,"La ""Reformita"" Educativa de AMLO no es lo que esperábamos: Elba Esther via El Universal https://t.co/BrlubjA4IP",111,62,40,-1
1114249058892124160,@Esmasreyes @lopezobrador_ @Radio_Formula Amor y paz Capitan,60,4,0,0
1114212645458956289,El Presidente @lopezobrador_  le confirmo a Sara Pablo de @Radio_Formula que el jefe de la Guardia Nacional va a ser un militar en activo...,140,111,60,-1
1113878304736600066,"RT @lopezobrador_: Conversé con el ministro Arturo Zaldívar, presidente de la Suprema Corte de Justicia de la Nación. Existe un ambiente ex…",140,0,1868,-1
