id,text,len tweet,likes,rt,postura
1121533748246392832,"¡Es tiempo de que las poblanas vivan sin miedo! Pongamos fin a la violencia contra niñas y mujeres👩‍👧.
#DíaNaranja https://t.co/HBTrcWovCy",138,237,314,-1
1121507434303037441,"⚡️ “La unidad en Morena Puebla es una realidad”

https://t.co/4Bg6jAEVhN",72,380,341,1
1121478653081260034,"Este es un día para celebrar, la unidad de @MorenaEnPuebla es una realidad que nos hará aún más fuertes. Reconozco… https://t.co/aAIegVlE5H",139,432,400,1
1121193242824007680,"Cerrado el litigio por la candidatura de MORENA a la gubernatura de PUEBLA,lo que continúa es el trabajo unitario y… https://t.co/HMsLE79iEP",140,768,501,1
1120728774155358208,"Por la #ReconciliaciónDePuebla,  la #UnidadEnMorena. https://t.co/vqtfGToOye",76,405,358,1
1117187923168907264,"RT @MorenaEnPuebla: Los poblanos quieren la reconciliación, y nuestro candidato @MBarbosaMX  sabe cómo lograrla sin confrontar, tiene el va…",140,0,220,1
1117097606415618048,"El Comité Ejecutivo de Morena ha cumplido la resolución del tribunal electoral. No les voy a fallar, necesito a tod… https://t.co/87iIr7Nydt",140,629,374,1
1116006868097409024,En #Puebla la violencia contra las mujeres es un problema grave que no ha sido atendido. Exhorto a cumplir cabalmen… https://t.co/SkeHbqjLdi,140,379,249,-1
1112737863072923648,"RT @e_consulta: #Elecciones2019 @MBarbosaMX prometió que “devolverá la dignidad” a los poderes Legislativo, Ejecutivo y Judicial, y tendrán…",140,0,32,1
1112414718294220801,RT @mario_delgado: Listos para el arranque de @MBarbosaMX próximo gobernador de #Puebla #PueblaConBarbosa @yeidckol @PartidoMorenaMx https:…,140,0,586,1
1110258088039366666,Lamento el sensible fallecimiento de @VirgilioCaballe fundador de Morena e integrante del @Congreso_CdMex. Mis cond… https://t.co/7goMTlhjTa,140,77,24,1
1108599114294616065,"Mi más sentido pésame por el fallecimiento de mis amigos Gabriel Garrido Garrido, Presidente de la Junta Auxiliar d… https://t.co/rYbeIrxHrT",140,220,47,1
1108545048910557185,Agradezco a las y los poblanos que refrendaron su apoyo para que sea su candidato de Morena a la gubernatura del es… https://t.co/09i2c0vERd,140,346,117,1
1107913756665892864,"La noche del día de ayer, la comisión de Elecciones y el CEN de Morena dieron el resultado de la encuesta por medio… https://t.co/p8sOUzT4tG",140,918,362,1
1107655326936059904,Hoy se cumplen 81 años de que el presidente Cárdenas declarara a los mexicanos los únicos dueños legítimos del petr… https://t.co/sKMzPydrE0,140,393,163,1
