id,text,len tweet,likes,rt,postura
1121584679214174208,AMLO ha dicho que “los que se fueron dejaron muy enredado todo y un cochinero que hay que limpiar”. Me temo que él… https://t.co/gCZqhQ17Dh,139,15,17,1
1121575871477768192,"#Infobite Durante el 4T2018, la inversión pública representó apenas 2.9% del PIB. Aquí cuánto ha representado en el… https://t.co/Nny0NOnKoM",140,6,4,1
1121500374601490433,"En el 4T2018, tanto la inversión pública como la privada disminuyeron respecto al cuarto trimestre de 2017; la inve… https://t.co/xNm3o7HkVQ",140,6,5,1
1121499667903078400,"Si la reforma avanza y termina siendo firmada por el presidente, además de tener impacto sobre la actividad económi… https://t.co/KmwAoxF8rV",140,5,2,1
1121498610179248129,#AlAire @ValeriaMoy habla con @PrimoOlvera en #AsíLasCosasConLoret sobre la reforma laboral. Escúchala en… https://t.co/FNuBUns4tu,130,5,3,1
1121397900041510912,"#VerdaderoOFalso En la #ConferenciaMatutina el presidente acaba de comentar que otros países, como Alemania, no tie… https://t.co/D2RSTiC0xW",140,82,67,1
1120858645519114240,"Culpar al anterior puede funcionar un rato, pero como estrategia es bastante breve. López Obrador podrá seguir esti… https://t.co/DJ4lktpGa1",140,61,41,1
1120674246953299968,Sin duda este gobierno hereda de los anteriores una situación descompuesta en términos de seguridad y de violencia.… https://t.co/0JYlwROziE,140,42,23,-1
1120415225537335296,El presidente de Argentina presentó un plan para estabilizar los precios de 60 productos básicos. Se está poniendo… https://t.co/qEjlDyL2cj,139,9,5,1
1119779049650495490,AMLO dice que al repartir dinero logrará pacificar al país. Ojalá tenga razón. El costo es que para financiarlo est… https://t.co/yYPdKlyXhk,140,86,76,1
1119394019182809088,"#Infobite En el 4º trimestre de 2018 la economía creció 1.7% anual, cifra menor a la estimada por el INEGI de 1.9%.… https://t.co/21v9n4tBDu",140,14,10,1
1119057079380140033,AMLO dice que al repartir dinero logrará pacificar al país. Ojalá tenga razón. El costo es que para financiarlo est… https://t.co/JtepzCexsG,140,42,29,1
1119016537904635904,"En el 4T2018, tanto la inversión pública como la privada disminuyeron respecto al cuarto trimestre de 2017; la inve… https://t.co/Q21eKQ89WV",140,14,18,1
1118639061135130624,"#Infobite Durante el 4T2018, la inversión pública representó apenas 2.9% del PIB. Aquí cuánto ha representado en el… https://t.co/S7OjlxD3MP",140,3,2,1
1118348377610125312,"RT @MexicoComoVamos: #VerdaderoOFalso Hoy, el presidente inició la #ConferenciaMatutina diciendo que la generación de empleo formal de ener…",140,0,1866,1
