id,text,len tweet,likes,rt,position
1271225702004785154,"IATA respalda decisión de la 4T de cancelar Terminal 3 del #AICM  
https://t.co/WwDtXmLbDo https://t.co/fMoDK9kQbR",114,7,1,0
1271192483016388609,Volvimos a la normalidad: Gasolina sube y se vende casi en 18 pesos en #CdMx https://t.co/K1xiS9jFQL https://t.co/M4TBY2SUcM,124,71,29,0
1271139131511488514,#AMLO plantea sólo una sala nacional del Sistema Nacional Anticorrupción https://t.co/MTXrhx1TPb https://t.co/aNLKdeuets,120,4,3,0
1271135105029816322,"#PensándoloBien | Para AMLO solo hay de dos sopas, se está a favor de la transformación o se está en contra;  🎙 lee… https://t.co/zzbs5QbR5v",140,5,2,0
1271122018788716544,"Ante nueva normalidad, #AMLO pide salir sólo si es necesario y con cuidado https://t.co/NOG7boWwNz https://t.co/1AzNbiwGLZ",122,12,2,0
1271120508931710976,#AMLO pide resolver conflicto en #Notimex con diálogo y consenso https://t.co/BoPYX4w7k7 https://t.co/49JLJy0xBM,112,6,3,0
1271116482282319872,López-Gatell es incapaz de ocultar cosas y decir mentiras: #AMLO https://t.co/CTZNn4mQMt https://t.co/o54EYX79Pw,112,28,6,0
1271113462400208896,"#Segob se reunirá con familiares de desaparecidos; ""no se quedarán sin apoyo"": #AMLO https://t.co/6mPqiIp3Ki https://t.co/H608np4jV7",132,11,1,0
1271096852939587584,AMLO pide a poderes Judicial y Legislativo no parar labores ante pandemia de #Covid-19 https://t.co/N7Or9Qgp6j https://t.co/IomOEJtdGw,134,9,4,0
1271092323103858688,"Si hay ahorro, apoyo iniciativa de Monreal sobre desaparecer CRE, IFT y Cofece, afirma AMLO https://t.co/pgijWeo705 https://t.co/S2Oeer5Mgh",139,8,4,0
1271083766761562115,Estudiantes menores de 18 años ya podrán cobrar beca con tarjeta bancaria: #AMLO https://t.co/Uz1Xf951jW https://t.co/abomfje2Dj,128,13,3,0
1271083172927877121,"@romanrevueltasr 🎙 ""Es probable que el libelo haya sido cocinado por algunos ardorosos comisarios de la 4T. Sujetos… https://t.co/n4oW8xFp5B",140,10,1,0
1271082760027795457,#AMLO pide que se respete la ley y los acuerdos en caso de Notimex https://t.co/4geNFG9QIn https://t.co/64gVRfSGUM https://t.co/LFP9TurMsi,138,20,5,0
1271076922299240448,#UnoHastaElFondo | En el gabinete de AMLO todos anuncian que pronto anunciarán medidas y Sheinbaum ha entrado al cl… https://t.co/tjWaeZn7sZ,140,19,8,0
