id,text,len tweet,likes,rt,postura
1121103545657450497,"Con 347 votos a favor, 36 en contra y 53 abstenciones. Se avala en la Cámara de @Mx_Diputados el dictamen que estab… https://t.co/A31z9e4T42",140,495,215,1
1121085891873787904,"RT @Mx_Diputados: El dip. @PMunozLedo, Presidente de la Mesa Directiva, realiza la declaratoria por la que la Cámara de Diputados se erige…",139,0,3,1
1116514726748594176,"Saludé al Presidente del Congreso de Veracruz, José Manuel Pozos, durante la sesión Solemne por los 500 años de… https://t.co/NId0X1uOnN",136,78,10,1
1116063542510329857,Saludé fraternalmente al Presidente de la República Andrés Manuel @lopezobrador_ al término de la ceremonia por el… https://t.co/1kEMGcxP5Z,139,207,43,1
1116056840381640706,El punto de encuentro entre los dos proyectos de Constitución son los artículos 27 y 123. La historia confluye gene… https://t.co/04TPtJLiM9,140,6,2,1
1116043953105592320,Recibiendo al Presidente de la República Andrés Manuel @lopezobrador_ en el acto público por el centenario luctuoso… https://t.co/Irz5QDJ9Zu,140,389,127,1
1115313973174337536,RT @NoticiaCongreso: #SesiónDDHHONU el presidente de la Mesa Directiva de la @Mx_Diputados #Diputado @PMunozLedo señala que los #DDHH son u…,140,0,9,1
1115305241535295490,Saludé al senador Presidente del @senadomexicano y mi compañero @martibatres previo al inicio de sesión solemne por… https://t.co/zPL2T4Ivuq,140,56,10,1
1114258644860903424,"Y la soberanía, en otro sentido, porque en el debate entre Morelos y López Rayón, está esa idea: ¿Hubo una soberaní… https://t.co/rk4tClCzB3",140,14,5,1
1111343114726322176,"RT @mario_delgado: El presidente @PMunozLedo ha cumplido con sus obligaciones del artículo 61 de la Constitución: 
1 El consentimiento del…",139,0,184,1
1107741535964196865,Saludé afectuosamente al Presidente de la República Andrés Manuel @lopezobrador_ en el inicio del acto conmemorativ… https://t.co/PTtVxAPBso,140,140,44,1
1107741162952187911,Me encuentro en el acto conmemorativo por el 81 aniversario de la #ExpropiaciónPetrolera acompañando al Presidente… https://t.co/EPhRdCK2af,139,312,91,1
1106717182090723328,"“Eres el Presidente vitalicio, a pesar
de tanta noche lúgubre. La República es mar navegable y sereno si el tiempo… https://t.co/eiqEWIx2Wc",139,65,6,1
1106715138906877952,"RT @NoticiaCongreso: #CantoAPellicer #Diputado @PMunozLedo, presidente de la Mesa Directiva, comenta que pretende contar las identidades en…",140,0,9,1
1105144737437224961,Me encuentro en la presentación del informe de #100deGobierno del Presidente Andrés Manuel @lopezobrador_ https://t.co/FAcGoiQ0XB,129,143,23,1
1101221079706730496,Un placer saludar y conversar con los expresidentes Ernesto Samper de Colombia y Martín Torrijos de Panamá. Son mom… https://t.co/ysuBc1NHOJ,140,56,22,1
1097902068772335617,En estos momentos llevamos a cabo la reunión de la Mesa Directiva previo al inicio de la sesión de este día. Tendre… https://t.co/O7TAa4TPSG,140,19,7,1
