id,text,len tweet,likes,rt,postura
1118511263368261632,"RT @pritlaxcala: El “Memorándum” del Presidente para “dejar sin efecto” la Reforma Educativa de 2013, no es constitucional, cualquier cambi…",140,0,8,-1
1118511030206906369,RT @CDEPRINayarit: #AMLOImponeMéxicoSeOpone https://t.co/ty9jZLG3JD,67,0,10,0
1118302760443584512,"RT @CNOPNacional: Al igual que a muchos padres de familia, nos preocupa el futuro y la educación de todos nuestras niñas y niños. #AMLOImpo…",140,0,24,1
1118302724729106433,"RT @JdSuastes: El presidente @lopezobrador_ tiene un desdén por el equilibrio de poderes, busca mandar de forma autocrata, no es un demócra…",140,0,50,-1
1118301277606125568,"RT @CDEPRIMICH: El “Memorándum” del Presidente para “dejar sin efecto” la Reforma Educativa de 2013, no es constitucional, cualquier cambio…",140,0,20,-1
1118293675128188928,"RT @VictorSilvaMich: El “Memorándum” del Presidente para “dejar sin efecto” la Reforma Educativa de 2013, es inconstitucional; no puede dar…",140,0,85,-1
1118292072522326016,"RT @MovPRImxOficial: Presidente @lopezobrador_, la Constitución debe respetarse, no puede ordenar su no aplicación a capricho. #AMLOImponeM…",140,0,42,-1
1118291996999741440,"RT @CenOrganizacion: Preocupa el desprecio al orden jurídico del Presidente en torno a la Reforma Educativa.
 #AMLOImponeMéxicoSeOpone http…",140,0,68,-1
1118290593342316544,"RT @CNOPNacional: Aunque @LopezObrador_ quiera distraernos, seguiremos señalando el grave problema de inseguridad en el país y las mentiras…",140,0,54,-1
1118288659512315904,"RT @PRIAguas: El “Memorándum” del Presidente para “dejar sin efecto” la Reforma Educativa de 2013, además de inconstitucional, es muestra d…",140,0,6,1
1118282907632553984,"RT @cnopmxnacional: Presidente @lopezobrador_, respete la Constitución. Un Memorándum no puede estar por encima de una ley. #AMLOImponeMéxi…",140,0,181,-1
1118281813707743232,RT @SCIVIL_CENPRI: Una vez más el Presidente @lopezobrador_ nos ha demostrado que es un mentiroso al romper el juramento que hizo al tomar…,139,0,15,-1
1118280803287330816,"RT @CNC_CEN: Preocupa el desprecio al orden jurídico del Presidente en torno a la Reforma Educativa.
 #AMLOImponeMéxicoSeOpone https://t.co…",140,0,25,-1
1118279756036726784,"RT @MovPRImxOficial: El “Memorándum” del Presidente @lopezobrador_ para “dejar sin efecto” la Reforma Educativa de 2013, además de inconsti…",140,0,81,-1
1118198047714865154,"RT @GPPRIDiputados: “Nadie por encima de la Ley”, palabras del Presidente que hoy no significan nada ante el intento de @lopezobrador_ de p…",140,0,78,-1
1118198012214333441,"RT @GPPRIDiputados: El Presidente, @lopezobrador_ juró guardar y hacer guardar la Constitución. El memorándum que hoy envía incitando a las…",140,0,74,-1
1118163755487993856,RT @arturozamora: La tragedia de la contrarreforma educativa en México https://t.co/72la8YwJuo https://t.co/9FERJP2EBY,118,0,91,-1
1116717031435329537,"RT @GPPRIDiputados: Lamentable que el Presidente @lopezobrador_ atente contra la Libertad constitucional de los legisladores, consagrada en…",140,0,99,-1
