id,text,len tweet,likes,rt,position
1271385439383875584,Prepara la 4T golpe a empresas ferroviarias via El Universal https://t.co/OQ9mpNYjpx,84,16,9,0
1270357365364121600,Hoy vuelve a plantear @lopezobrador_ la teleconferencia con @realDonaldTrump,76,23,9,0
1270153282816806914,RT @JesusSeade: 1/8 Je suis très honoré d'avoir la confiance du Président @lopezobrador_ en tant que candidat à la Direction Générale de @O…,140,0,26,0
1269949753200123905,En un momento conversando con #JoseSarukhan https://t.co/G4t12U6Ce3,67,22,3,0
1269949588183580672,RT @luisestrada_: El viernes pasado estuvo con el presidente @lopezobrador_ en la #ConferenciaPresidente en #Chiapas,116,0,99,0
1269936433520799744,La Revolución de la #4taTransformacion . Leonardo Curzio via El Universal https://t.co/8NefjpHZi6,97,41,20,0
1268847727804207104,"Alfaro culpa a ""gente"" de AMLO por violencia en manifestación de Guadalajara via El Universal https://t.co/P2ITYviI4P",117,267,71,0
1267844261090754565,"RT @EnvejecimientoG: Les comparto el libro DERECHOS HUMANOS DE LAS PERSONAS MAYORES https://t.co/DgWk4TyKHc…
Descarga gratuita gracias a la…",140,0,4,0
1267833071669096450,Me Parece un buen auspicio y un intelectual como Jaime Cárdenas se integre al equipo de gobierno de @lopezobrador_,114,102,14,0
1267449328261447680,"Piden moches en Sembrando Vida, el programa estrella de AMLO, denuncian campesinos via El Universal https://t.co/ch8aVEqGXn",123,141,98,0
1267125983091408896,RT @lrubiof: ¿Así dialoga la 4T? @pacovaldesu https://t.co/LRDdC37m7a,69,0,23,0
1266513455852503041,"RT @luisestrada_: 28a #INFOGRAFÍA con cifras de #SPIN sobre las #ConferenciaPresidente de @lopezobrador_

📍Top 5️⃣ medios con más preguntas…",140,0,251,0
1266008445674651650,"Un reportero le pregunta a @lopezobrador_ sobre los recortes a los centros @Conacyt_MX, y termina hablando del inte… https://t.co/jf4ECn9ISQ",140,1561,669,0
1265779737441386497,"Que noticia más triste. RIP Fallece Frank Devlyn, dueño de Ópticas Devlyn https://t.co/4t0AewsYfg vía @Revista_Clase",116,83,20,0
1265660883411202048,@soymalu @Radio_Formula @luisestrada_ @lopezobrador_ Si,55,0,0,0
1265660362906415104,@jesusgesparza1 @Radio_Formula @luisestrada_ @lopezobrador_ Pronto muy pronto .. sintonice @adn40,97,9,1,0
1265659311578968065,Yo creo que el gobierno @lopezobrador_ debe afinar su comunicación en lo que al semáforo se refiere. Sigue muy conf… https://t.co/YuOQ2OBk7M,140,90,23,0
1265641803543277577,El presidente @lopezobrador_ anuncia que retoma sus giras a partir del próximo martes ..,88,386,107,0
1265401150263529472,RT @rpascoep: AMLO NO encabeza un cambio de régimen sino un gobierno tan corrupto e ineficaz como los anteriores. Propicia deterioro social…,140,0,233,0
1265308092452880384,RT @jenarovillamil: #ConferenciaPresidente. Anuncia @lopezobrador_ un programa de becas para 30 mil médicos y médicas que quieran estudiar…,139,0,249,0
1264997299740012544,AMLO dice que mantiene su promesa de crecer 6% al final de su sexenio via El Universal https://t.co/75ELEEwpz7,110,71,34,0
1264997209474363394,Quien diría que quien fuese dirigente del PAN en 2006 hoy aparezca como comisionado uniformado de la 4T. Tras la ep… https://t.co/vUjMo5DMf9,140,1117,579,0
1264744724566380544,"Por Covid-19, se perderán un millón de empleos en México: AMLO via El Universal https://t.co/fcNSaDgdN5",103,86,39,0
1263971359664697349,"RT @EduardoSojoGA: #MidiendoElBienestar La idea de @lopezobrador_ de medir el #Bienestar es interesante, pero no es nueva. En febrero de 20…",140,0,790,0
1263464175591845888,"RT @sergioaguayo: Paradojas de la transformación. Desde la #4T están asfixiando y desmantelando al @cinvestav, una joya de la ciencia nacio…",140,0,1186,0
1262933185219846144,RT @LeonardoCurzio: @Piedrulces @lopezobrador_ @m_ebrard Te lo explico ya que me lo pides : coordiné el siglo pasado diplomados de análisis…,140,0,12,0
1262932990318964737,@eduardocarmonaa @lopezobrador_ @m_ebrard Es verdad... hace años que no lo hago... conduzco desde hace 20 años noticias desde las 6:00,134,4,0,0
1262931562389057536,@Piedrulces @lopezobrador_ @m_ebrard Te lo explico ya que me lo pides : coordiné el siglo pasado diplomados de anál… https://t.co/Ch4O0Rrsgu,140,105,12,0
1262748566834917376,@cafepolitico @lopezobrador_ @m_ebrard Un saludo!,49,1,0,0
1262742806033887233,Yo entiendo que @lopezobrador_ es su jefe pero que @m_ebrard tenga que estar casi 2 horas en una mañanera en vez de… https://t.co/Mjp8TwZJxq,140,16822,3105,0
1262738340257792000,Es desconcertante oír a @lopezobrador_ disertar sobre la viabilidad de los modelos como si fuese un debate político… https://t.co/L2lc6ivHNj,140,2701,782,0
1262730192683823105,El presidente @lopezobrador_ acaba de secar en la #mananera la propuesta de @aramirezcuellar,92,157,27,0
1260951147403231233,Abro la prensa y como todos los días reviso las señales de los distintos sectores. Desde la 4t Profunda y el círcul… https://t.co/DOMAloOIjy,140,380,108,0
