id,text,len tweet,likes,rt,position
1270940536413630466,@ocalesbri @MElenaPerezJaen @Regioamorir @lopezobrador_ Guillermo. La realidad ha sido más rotunda que las pruebas… https://t.co/jeSwM35Xk9,139,6,0,0
1270870699603709954,@ocalesbri @MElenaPerezJaen @Regioamorir @lopezobrador_ No Guillermo. No son opiniones ni percepciones. Son evidenc… https://t.co/zcYDus1nlm,140,16,2,0
1270852521662152707,"RT @V_TrujilloM: @ocalesbri @MElenaPerezJaen @Regioamorir @lopezobrador_ Después de año y medio, ¿no es verdad que las mañaneras son actos…",139,0,229,0
1270848007013986305,"@ocalesbri @MElenaPerezJaen @Regioamorir @lopezobrador_ Después de año y medio, ¿no es verdad que las mañaneras son… https://t.co/ao1HF7gYyI",140,805,229,0
1269838604156596224,@veronicalderon @Tu_IMSS @lopezobrador_ @zoerobledo Nada sé de ese asunto. Saludos Verónica. 🙏🏻,95,119,9,0
1268287685463957504,@bartije El Chepino de la 4T. 😉,31,791,91,0
1267926241925046272,"RT @MarthaTagle: #NosotrasTenemosOtrosDatos 

Le decimos al presidente: @lopezobrador_ respire y cuente hasta diez....

#PresidenteCuenteHa…",140,0,328,0
1267111940460957697,Lo que me tranquiliza es que la @SFP_mx ya debe tener este asunto en su radar implacable... 🤪 https://t.co/sd4tNaXYK9,117,17999,7818,0
1266508472209686529,RT @V_TrujilloM: @78luisin78 @lopezobrador_ @AristeguiOnline @JTrianaT @Reforma @ElUniversal @Excelsior @ElFinanciero_Mx @Milenio @AztecaNo…,140,0,519,0
1266496030805090304,@78luisin78 @lopezobrador_ @AristeguiOnline @JTrianaT @Reforma @ElUniversal @Excelsior @ElFinanciero_Mx @Milenio… https://t.co/Z2iLY9goZu,137,3034,519,0
1266423964328325120,"Si no conozco al niño y no recuerdo el nombre de la mamá, pues no han de ser esenciales. #AMLOmood",98,9473,2186,0
1264289839215603712,"@HijoDelMitch @xango_salud @lopezobrador_ 70% de sarcasmo, 25% de sátira, 5% de escarnio, en alusión a la falta de… https://t.co/DbndYdAcLP",139,2,0,0
1263840959147601920,"2+2=4 No importa cómo lo interpretes, lo percibas o lo cuestiones 2+2=4
@lopezobrador_ https://t.co/saDzzIAVXP",110,5696,2096,0
1262952238227558401,RT @MarthaTagle: Aquí @lopezobrador_ @mario_delgado @A_Encinas_R @Dolores_PL dan razones claras y contundentes sobre porque es inconstituci…,140,0,435,0
1261403134913437696,@Consultants_Q @lopezobrador_ Tenga el suyo. Saludos.,53,1,0,0
1261401395531362304,"@Consultants_Q @lopezobrador_ Sí, y también ésta (RAE)
consciencia
1. f. Capacidad del ser humano de reconocer la r… https://t.co/UgPkBtHmFe",140,11,1,0
1261379615949348865,"@rafael_aldrich @EPN @lopezobrador_ Hay responsabilidades que son de Estado, no importa el sexenio. ABC, Ayotzinapa… https://t.co/zNl6CeUkAX",140,353,37,0
1261377168132562945,"@godzillas5 @lopezobrador_ No, no soy periodista. Saludos. https://t.co/sG1kJKB3mB",82,26,2,0
1261360789073494016,"Mira presidente, se te cayó este dato en la mañana. ¿Nadie te avisó? Hay omisiones que insultan...
@lopezobrador_… https://t.co/6H66Bq0Ku4",138,6796,3120,0
1261115412927754240,"@AdolfoC74242750 @lopezobrador_ consciencia
Del lat. conscientia.
1. f. Capacidad del ser humano de reconocer la re… https://t.co/WOgdG0nXSL",140,71,4,0
1261072587628490752,@FroyCdeA @lopezobrador_ La cuenta de Brozo es @brozoxmiswebs Por si gustas pasar a saludarlo. Saludos.,103,54,0,0
1260953491469549574,"RT @avieu: . @lopezobrador_ habló sobre la militarización del país pero como no le gusta que se le critiquen sus incongruencias, mejor que…",139,0,1417,0
1260950089754787847,"Asegura una y otra vez el presidente @lopezobrador_ que no tiene problemas de consciencia. Y sí, a estas alturas es… https://t.co/8T7vfR7WoI",140,26115,7626,0
1260223108352405504,"Para varios destacados integrantes de la 4T, esta imagen representa una estaca en su corazón. Pero bueno, siempre s… https://t.co/7e3XJ2lXC9",140,14534,4232,0
