id,text,len tweet,likes,rt,position
1271426819506540553,No considera López Obrador que el gobierno de Estados Unidos tenga alguna implicación en la detención de Susana Pri… https://t.co/Elg8F25KmQ,140,2,0,0
1271425790433992704,"Afirma López Obrador que su gobierno está pendiente del caso Susana Prieto.

Advierte que ""no se puede inventar o f… https://t.co/LKcFdtcvE2",140,1,1,0
1271424558206238721,López Obrador confirma que hoy a mediodía el IMSS dará a conocer el resultado de los empleos que se perdieron en el… https://t.co/M2MOB9xERB,140,2,2,0
1271423187050430465,"#AHORA Las Afores van a convertirse en un problema grave y tenemos que resolverlo, afirmó López Obrador. 

Detalles… https://t.co/ihYiOndhbC",140,24,8,0
1271422213040807936,"López Obrador afirma que su gobierno va a ir contra 'facturemos' y pedirá, a toda la gente que 'fue sorprendida' ut… https://t.co/86XKVPMOex",140,4,1,0
1271419540971364354,"""Yo estoy haciendo lo que di a conocer durante campaña"", señala López Obrador. Afirma que en su libro 'La Salida' a… https://t.co/0oh0fC931F",140,9,0,0
1271418723786727424,"#AHORA Confirma López Obrador que saldrá de gira la próxima semana. Esta vez será en cinco estados del país.

Detal… https://t.co/Q8hjdT00NF",140,22,5,0
1271415594211061760,López Obrador afirma que los trabajadores podrían recibir la mitad de lo que les corresponde por haber ahorrado par… https://t.co/VTgUCgeYuU,140,8,1,0
1271413901347954689,Confirma López Obrador que las reuniones del Gabinete de Seguridad la próxima semana tendrán lugar el lunes en Xala… https://t.co/RI0K3CsdVu,140,6,4,0
1271413459951984641,"#AHORA Da inicio la conferencia matutina del presidente Lopez Obrador. 

EN VIVO: https://t.co/LHpEzH0kSc https://t.co/UBtw0BleKS",129,18,2,0
1271280310383185920,"No está confirmada la visita del presidente López Obrador a Estados Unidos; aquí la entrevista con @r_velascoa

",135,29,7,0
1271192986668478464,"No está confirmado el viaje de López Obrador a Washington, explica Roberto Velasco, nuevo director para América del… https://t.co/1KvIdq0MHW",140,26,2,0
1271168222860136448,@r_velascoa Destaca @r_velascoa que no está confirmado el viaje del presidente Andrés Manuel López Obrador a Washin… https://t.co/oYmwTDng6p,140,10,2,0
1271154889037676544,AMLO defendió la propuesta para agrupar organismos reguladores en uno solo; cuestionó la utilidad del Sistema Nacio… https://t.co/ss2T9NWPth,140,49,18,0
1271145674688434177,"Y en medio del día de más contagios por COVID-19 en México, el presidente López Obrador  pidió “vencer el miedo” pa… https://t.co/h1mtywXBQ0",140,344,144,0
1271128883568533506,¿Debe ir el presidente López Obrador a Washington para reunirse con Donald Trump en agradecimiento por el T-MEC y l… https://t.co/h1SQ0DFP6h,140,14,3,0
1271091064816857090,"López Obrador señaló que ya es “mucho tiempo” de inactividad por parte de los poderes Legislativo y Judicial, deriv… https://t.co/wzqD4RBCvK",140,32,6,0
1271087215658127360,"""Es incapaz de ocultar cosas, de decir mentiras"", fueron las palabras de López Obrador al reconocer el trabajo de H… https://t.co/rEXj99eQHv",140,159,37,0
1271073772079132672,"""Nos conviene a todos el cambio. Es, por el bien de todos, primero los pobres"", señala López Obrador al recordar la… https://t.co/IlrEq3w0DF",140,10,3,0
1271069965437763585,"""¿Y los resultados?"", cuestiona López Obrador al presentar el organigrama del IFT. 

Afirma que mostrar dicha estru… https://t.co/QXgRWFAjh5",140,17,6,0
1271067678715846656,"Asegura López Obrador que los derechos humanos, y la atención a víctimas forman parte de los programas prioritarios… https://t.co/KXBchlXyQ6",140,12,1,0
1271066080518250496,"#AHORA ""Todo lo que signifique para ahorrar, lo vemos bien"", refiere el presidente López Obrador sobre la iniciativ… https://t.co/Wao13CO2e8",140,37,11,0
1271064605616492546,"""Mientras más se gaste en mantener al gobierno, menos se gastará en apoyar al pueblo"", afirma López Obrador sobre i… https://t.co/WQHj6CgXr1",140,16,2,0
1271062680644866049,"Pide López Obrador que que se queden los organismos ""indispensables"" para que no sean oficinas ""para darle amigos a… https://t.co/z0PpskEKyP",140,16,3,0
1271062390747074561,"""Si hay estas iniciativa y va a significar ahorros, 'adelante'"", señala López Obrador sobre los organismos autónomo… https://t.co/6WfvPIbSo8",140,13,2,0
1271060617466646529,"Afirma AMLO que el IFT ""tiene como 40 direcciones. Es un aparato burocrático excesivo. Pero no es el único caso. El… https://t.co/8jT4NA8WXf",140,27,12,0
1271060316626006018,"Sobre la iniciativa propuesta por Ricardo Monreal de fusionar órganos autónomos, afirma López Obrador que él no con… https://t.co/h31ZwP0zGj",140,11,5,0
1271053282857889792,"López Obrador confirma que 4 millones de jóvenes, estudiantes de Bachillerato, ahora podrán recibir su beca a travé… https://t.co/7DI4PMSlU9",140,11,9,0
1271052808037502976,"#AHORA Da inicio la conferencia matutina del presidente López Obrador. 

EN VIVO:  https://t.co/dpPz2f5WFo https://t.co/57ukur0NP8",130,44,4,0
1270912638512320512,RT @elpais_america: Tribuna | “El Gobierno de López Obrador debería actuar de inmediato para fortalecer los mecanismos de protección”. Por…,139,0,19,0
