id,text,len tweet,likes,rt,postura
1068938924238659584,Deseo de todo corazón que le vaya bien a México y al nuevo Presidente @lopezobrador_. La oposición debe cumplir con… https://t.co/FC0DTB4GMh,140,22227,3989,1
1064666140914401281,Felicito a @MarkoCortes por su toma de protesta como nuevo Presidente. Le deseo el mayor de los éxitos por el bien del PAN y de México.,135,2830,420,1
1011788231497564161,La violencia que vivimos en #México es inaceptable y debe terminar. Condeno el ataque en contra de Raymundo Carmona… https://t.co/nZswMimsEz,140,1160,380,-1
1011776478311116800,RT @IGCabezadeVaca: Desde #ElMante #Tamaulipas le decimos a todo #México #MéxicoVotaAnaYA por un Presidente que entiende el mundo como es h…,140,0,190,1
1011776458044215297,RT @IGCabezadeVaca: En #CdVictoria ¡Vamos #DeFrenteAlFuturo! ¡@RicardoAnayaC Presidente! #MéxicoVotaAnaYA #VamosAGanar! #MxEnPAZ https://t.…,140,0,256,1
1011742064197840896,"Las familias mexicanas merecen vivir en paz. Por eso hoy, aquí en #CiudadMante, les aseguro que seré un Presidente… https://t.co/8WYFfC6JDq",139,1372,529,1
1011060133810454529,"Con la fuerza de los veracruzanos, vamos a cambiar a #México y a recuperar la paz. El próximo domingo, a esta hora,… https://t.co/XcV5Bh4tnU",140,1703,676,1
1008753642789167105,"Voy a ser Presidente de #México para acabar con la corrupción, recuperar la paz y la tranquilidad, y tener una mejo… https://t.co/UDIdHDl46s",140,3562,1078,1
1008739180908765185,RT @EnfoqueNoticias: #Entrevista #AUDIO Quiero ser presidente para lograr la transformación que México demanda: Anaya | Enfoque Noticias -…,139,0,157,1
1008177214934978560,RT @kenialopezr: #AnayaPresidente2018 https://t.co/5WmcQhteFa,61,0,203,1
1008176621302493184,"RT @jesusortegam: #Aguascalientes
Jornada Nacional #PRDalFrente 
¡Vamos por un México mejor de Frente al Futuro! #VotaPRD #AnayaPresidente…",139,0,115,1
1007682269429940224,"López Obrador no es cambio, es todo lo contrario. Darle contratos a sus amigos de manera directa, se llama corrupci… https://t.co/UyEZXiRSWz",140,5569,2771,1
1006814494507618304,López Obrador se ha convertido en lo que tanto ha criticado. Aquí están los documentos que prueban que favoreció a… https://t.co/O8qF7hqbU7,139,9830,4709,1
1006741583574679552,"Le pregunto a López Obrador: ¿cambio es tu pacto con Elba Esther Gordilo, Bartlett y tu nuevo pacto con Enrique Peñ… https://t.co/CrACBoUNr1",140,4548,2083,1
1006734874600882176,"López Obrador, contesta sin chistes y sin payasadas: ¿a Rioboó se le otorgaron contratos de manera directa por 170… https://t.co/ng0b4vZtND",139,6894,3003,1
1006734575022702593,"Aquí se ve a López Obrador con su amigo, el ingeniero Rioboó, quien participó en el proyecto de las pistas del Nuev… https://t.co/R91VhfIhvp",140,2738,1796,1
1006733349996584960,En https://t.co/nTzXwzrcE6 van a encontrar las pruebas de que López Obrador le dio contratos de manera directa por… https://t.co/3gLE3excBQ,139,2986,1832,1
1006728975517810690,López Obrador miente. Esta es la votación del Congreso para aumentar el precio de la gasolina con fecha del 17 de o… https://t.co/nJ4pu8Tz2U,140,4687,2561,1
1006726814151032832,"Cuando sea Presidente, bajaremos el precio de la gasolina, que hoy afecta enormemente la economía de las familias.… https://t.co/4DbSoxDPz5",139,4788,1883,1
1005625944122392578,"Huehuetoca quiere un #México donde el Presidente escuche a la gente y atienda sus necesidades. Por eso, me comprome… https://t.co/EkCws2isix",140,2654,1013,1
1005247985746247680,"Agradezco la visita que me hizo el presidente de la comunidad judía de México, Moisés Romano. Tuvimos un muy fructí… https://t.co/bAg4IcewWx",140,4445,1162,1
1004912716501286912,"En #Huixquilucan, hay una exigencia histórica que mi gobierno les va a cumplir: aquí estaré, como Presidente de la… https://t.co/bWt7iCiFgM",139,1566,599,1
1004878771017547776,"RT @JosefinaVM: Recibimos con mucho gusto en #Huixquilucan a @RicardoAnayaC, futuro Presidente de México en compañía de @EnriqueVargasdV. ¡…",140,0,462,1
1004766971156713473,"En seguridad el gasto se ha triplicado, pero la violencia ha aumentado. Debemos cambiar la estrategia: atender las… https://t.co/8gvLehtngz",139,1541,458,-1
1004059630857646083,"RT @AlanAvilaMagos: Así es como jóvenes  de La Ibero reciben al próximo Presidente de México, @RicardoAnayaC. ¡Esa es la emoción del cambio…",140,0,679,1
1004059368516562945,"RT @Marce_Torres7: Asi despidieron a @RicardoAnayaC, en la @IBERO_mx. 👏🏻👏🏻
Sin duda, el próximo Presidente de México, ¡será Ricardo Anaya!…",139,0,963,1
1004059293182672896,"RT @damianzepeda: ¡Con todo el ánimo! Así recibe la @IBERO_mx a nuestro candidato y futuro Presidente de la República, @RicardoAnayaC, en e…",140,0,1140,1
1004033677716701184,"RT @Nacion321: #AHORA | #SinMiedoALaIbero

- ¿Cuál es la urgencia de ser presidente?: @jorgeramosnews 
- No es mía, es del país: @RicardoAn…",140,0,548,1
1003840182397747201,#SeSolicitaPresidente y Luisito Rey lo encontró. Les comparto nuestra entrevista. https://t.co/ErALMujeZ4,105,2258,833,1
1003818717451509761,"RT @luisitorey: ¡¡Nuevo vídeo!!
@RicardoAnayaC aceptó la entrevista, y hoy lo tenemos en #SeSolicitaPresidente🇲🇽 
https://t.co/2FUB9VhYmT h…",140,0,413,1
