id,text,len tweet,likes,rt,postura
1121442658113806337,"RT @ferbelaunzaran: Dirán misa, pero @VicenteFoxQue tiene una posición más liberal y progresista que el conservador @lopezobrador_ respecto…",140,0,115,1
1121275388284538880,"RT @ConsultaPara: Ante el cuestionamiento sobre el colosal olvido de #ElCerro d Santa Lucía, pueden adivinar la respuesta d @lopezobrador_?…",140,0,562,1
1121275250484961282,"Si AMLO, renuncia!! https://t.co/Qg8YbmkcC8",43,213,84,1
1121268525446905856,"RT @sometries: Maldita naturaleza vendida a la mafia del poder, ¿quién te crees para  obstruir la 4T? https://t.co/8QDZLW9srM",125,0,9,1
1121107911529435136,"RT @mileniotv: Para #AMLO, la exigencia de paz en México es exclusiva de los conservadores

Y la reacción de un reportero representó perfec…",140,0,25,1
1121063537680486400,"Ahora es ya Internacional la noticia.

Diario El Pais,
La violencia en México bate récords en los primeros meses de… https://t.co/ncyOrsSiH1",140,5383,2087,-1
1121061594841190400,"RT @elheraldo_mx: En estos cinco meses de gobierno, @lopezobrador_ se ha ido convirtiendo en #rehén de sus ocurrencias, #promesas de campañ…",140,0,21,1
1120853133956141057,"La seguridad es una Exigencia de todos,todos los Mexicanos 
Que le pasa Sr.Lopez.?
Trete de ser presidente. https://t.co/cMYQG9554X",131,465,161,1
1120851658865545216,RT @lasillarota: En 4 meses de gobierno de AMLO suman 367 asesinatos en multihomicidios https://t.co/sVPhq9yksB,111,0,20,-1
1120787529777733635,"Corre el tiempo, violencia, muerte y crímenes se disparan.
Ahora alcanza a los más inocentes. 
Basta de promesas!!… https://t.co/bQmkgQjQyk",139,272,131,-1
1120785487407517696,"Pues que esperaban?? 
Si @lopezobrador_ les da calurosa bienvenida y les
 ofrece empleo a todos!!
Esto puede llegar… https://t.co/xpW275somn",140,320,122,1
1120744985844957185,RT @MariaCorinaYA: EN DIRECTO en #Periscope #AHORA estamos #Contigo por @RCR750 https://t.co/41cOjSac4t,103,0,35,1
1120744021310230528,"Lo que no dice la mañanera!!

- Desempleo en México alcanza su nivel más alto en poco más de 2 años

- Peso retroce… https://t.co/yoVeCyPqws",140,960,407,1
1120735406914510855,"No hay un solo indicador de progreso mejorando. 
Lo único que hay es más mañaneras,más propaganda más engaños y ""at… https://t.co/nAVDm8NEHE",140,161,79,1
1120699428791308289,"Dicen una cosa y hacen otra en el delicado tema d migración y caravanas
Por lo que se ve con violencia y violación… https://t.co/PV0wSTKJz7",139,72,25,-1
1120358362548514816,"Aún no se da cuenta que ya es presidente.
No vocero, bateador de culpas siempre por la línea de faul https://t.co/2rBIbJiYWn",124,186,51,1
1120333492745920513,"Amlo, un de tus estrellas favoritas. El Noroñas. Moreno de Morena a mas no poder.
Que desgracia para México, no mer… https://t.co/LcYqrnazFA",140,502,155,1
1120124557980053504,"Claro, ""ofrecer no empobrece""
Resuelva señor presidente.

AMLO ofrece justicia para víctimas de ataque en Minatitlá… https://t.co/PS6iarhyKt",140,60,26,1
1120122735932387328,"Basta verle la cara, ni el mismo se la cree
Pesadumbre,incapacidad, equivocación arrepentimiento de un Presidente.S… https://t.co/tgFZ7dINAf",140,1695,707,1
1120121290180968448,"RT @RicardoAlemanMx: Vieron lo que dijo el inútil @lopezobrador_  sobre el fracaso de su gobierno en materia de violencia, al llegar a Vera…",140,0,363,-1
1120121109326761984,"Ponte atender el problema del salvaje ataque en minatitlan y corre a tu Gobernador ""bueno pa' nada""
Dejate de cuent… https://t.co/OEGF6ghLsP",140,269,93,1
1120120468864999425,"RT @reformanacional: ""Duele mucho enterarse y tener noticias como estos asesinatos viles de Minatitlán"", dijo @lopezobrador_  https://t.co/…",140,0,230,-1
1120120397368786944,RT @RicardoAlemanMx: #Entérate | Tunden a AMLO con sus propios tuits donde criticaba la violencia https://t.co/PYEXv4rQxv https://t.co/NUTV…,140,0,185,-1
1120120277445304322,"Pilatos López. Primero de fariseo culpando a los demás. Ahora lavandote las manos.
Cuando serás Presidente?? https://t.co/2IqgfSvqzk",132,128,41,1
1120119577244053505,RT @AristeguiOnline: “Aumento de la violencia en este gobierno es verdaderamente alarmante”: PAN https://t.co/s7sp575L41,120,0,181,-1
1120118827285647360,"RT @ferbelaunzaran: Debo reconocer que @lopezobrador_ ya está haciendo historia 👇

Confirmado: enero-marzo, el trimestre más violento de la…",140,0,105,1
1120117980870905856,RT @lasillarota: La cifra alcanza un numero de asesinatos nunca antes registrados en el inicio de sexenio de cualquier presidente en la his…,140,0,59,-1
1120116559853363200,RT @ferbelaunzaran: Y lo único que se le ocurrió a @lopezobrador_ es ensalzar al inútil e impresentable truhán pejeduartista de @Cuitlahuac…,140,0,56,1
1120112821608562689,"Cuando dejarás de culpar a otros y serás presidente.
Por lo que veo hasta hoy,  mi respuesta es nunca.
Pobre México. https://t.co/rhyepH2Z7J",140,488,178,1
1120101944436170752,"Asesinatos viles"" de Minatitlán son ""fruto podrido"" de gobiernos pasados: AMLO

Lopez otra vez descargas tus culpas… https://t.co/Et4XP2pf9T",140,6923,2195,-1
1120041776859971584,"Después del niño ahogado y la monumental tragedia de Minatitlan. Recordemos las promesas alegres de los 2 juntos.
C… https://t.co/wZFKLQiobS",140,588,270,1
1119987493036797954,"Genial y al punto.
Fariseo López en el púlpito de las mañaneras. https://t.co/BmbYyrW9y6",88,255,95,1
1119959985927139330,"Para cuando nos cumples López??
Ya son más de 4 meses y las cosas se agravan.
La mañanera no va a servir de mucho,… https://t.co/dkEU2Hrgs0",139,308,124,1
1119958229394624512,"11,000 plus los muertos de AMLO y creciendo.
Compromiso #1 de campaña, Pacificar al País
Guardia Nacional, Ejército… https://t.co/Ldeps6CCYz",140,338,150,1
1119953460273741825,"RT @RicardoAlemanMx: Con ustedes, el gobierno que solo da palos de ciego al avispero!!! Jaja, esa era la cantaleta de @lopezobrador_ para e…",140,0,59,1
1119952424377225216,"14 muertos más a la cuenta de López. 
1os 4 meses de López, los más violentos de la historia.
En la mañanera, debie… https://t.co/bn9aNF2F3D",140,401,199,-1
1119948164155478016,"Mismos Gobierno de Morena federal,local, mismos resultados. Fracaso en seguridad. 
Prometen y prometen y no cumplen. https://t.co/MpaNxyGY95",140,94,25,-1
1119947180456988672,RT @lasillarota: Critican silencio de AMLO ante masacre en Minatitlán https://t.co/I7RLhvgVd4,93,0,38,1
1119713183202025473,"Esto se lo debemos a López. 
Gobernar, no es solo cotorrear en la mañaneras.
Gobernar,  no es asunto de ideologías,… https://t.co/lsXBLKewK7",140,290,139,1
1119708972317982720,"""Sube a 14 cifra de muertos en Minatitlán""

""Hallan cuerpo embolsado en Edomex""

""Asesinan a pintor y su familia en… https://t.co/v7V3qVOekq",140,8778,3024,1
1119678625777844232,@dr_icastillo @lopezobrador_ Que pena Dr. que no tenga la objetividad para ver que lo hoy está uniendo a México es… https://t.co/UjuopNohLl,139,0,0,1
1119669165713846274,"Que vergüenza que hasta las tragedias las uses como trampolín para la agresión. 

No todo trata de ti AMLO, hablar… https://t.co/iILsqjDaIc",139,3604,1055,-1
1119391610641571844,"RT @El_Universal_Mx: “O el presidente actúa con dolo o realmente piensa que puede subvertir el orden constitucional, lo cual no le permitir…",140,0,56,1
1119389264482119680,RT @El_Universal_Mx: El expresidente Calderón Hinojosa apuntó que López Obrador protestó guardar y hacer guardar la Constitución de los Est…,140,0,207,1
1119388234025451521,"RT @eleconomista: Ya estamos hartos de la ambición desmedida de Morena de ser autoritarios, dictadores y de querer controlar los tres poder…",140,0,110,1
1119387458704162817,"RT @GMonroyEnergy: ""No se debe avergonzar @lopezobrador_ si le decimos que es un mentiroso, populista, doble cara, simulador, autoritario,…",139,0,1470,1
1119220434996801536,"El Universal.-
""Acatar memorándum de AMLO, delito penal: abogados""

Se vio muy novato.
. O se vio muy tramposo.
. O… https://t.co/KpcorHc0NF",140,3327,972,1
1118851180220887040,RT @GlodeJo07: ¿En qué momento México se convirtió en ese país en dónde es más importante defender los zapatos sucios del presidente que la…,140,0,946,1
1118628440184381440,"RT @JCRomeroHicks: Al margen de la ley, nada; por encima de la ley, nadie. ¿O cómo era? 

Gravísimo mensaje de @lopezobrador_ que nuevament…",140,0,1839,1
1118602971049103360,"RT @SergioSarmiento: Si Morena tiene mayoría para cambiar la Constitución, que lo haga y asuma la responsabilidad. Pero gobernar por decret…",140,0,883,1
1118602538796769280,RT @AristeguiOnline: Ola de rechazo al memorándum de AMLO vs reforma educativa (Resumen) https://t.co/33zTJS2VKb,112,0,117,1
1118601937639788544,"Finalmente descansaremos de tragar mañaneras y mentiras.
""Gracias López X dejarnos descansar"".
Lo merecemos estamos… https://t.co/2T6WycPtQt",140,5106,1113,1
1118600323910684672,"@lopezobrador_  se acabo la luna de miel, las cosas se agravan, la violencia se dispara.
Ahora si a cumplir!
Se aca… https://t.co/aSDjwX4U2P",140,36,21,-1
1118598511803523072,"RT @ferbelaunzaran: Querido @lopezobrador_:

Se llama Constitución, no tus calzones. https://t.co/lawErAcpiY",108,0,391,1
1118598177886597120,"El López de siempre. No tiene remedio.Necio,Soberbio
PREPOTENTE 

Defiende Presidente 'memorándum'
Cd. de México (1… https://t.co/Ri7Xv9NoQZ",140,145,53,1
1118505278679339009,RT @PatricioAuthor2: @VicenteFoxQue Soy solo yo? Pero siempre parece que Lopez Obrador está entre copitas. Alcólicos anónimos deberían ayud…,140,0,7,1
1118498909972656128,"Reyes Heroles dixit.
Y los Mexicanos nos espantamos de la temeridad de nuestro presidente.
Hay que limitarle los ab… https://t.co/q2MmyQCDLV",140,72,21,1
1118324626524762113,"RT @Lorenani3: @VicenteFoxQue @lopezobrador_ Presidente Fox, vayamonos uniendo todos,para preparar los juicios políticos que sean necesario…",140,0,25,1
1118301806717571072,"Lee uno los medios,periódicos,radio televisión, redes y todo son malas noticias para AMLO.
Suertudo, porqué será qu… https://t.co/KgDlZO2R7T",140,327,84,1
1118299521782439936,"RT @ferbelaunzaran: Y mientras tanto en Pejelandia, @lopezobrador_ le enmienda la plana a Kelsen 👇 https://t.co/m8H8xVbFKR",122,0,152,1
1118296855094292480,"Asesoría jurídica y en otras muchas materias: economía, campo, educación,  salud.....
Pa qu le cuento.
Amlo votante… https://t.co/bzqek6Itdq",140,48,10,1
1118293129088528384,RT @AristeguiOnline: Dio AMLO golpe a la Constitución con memorándum contra reforma educativa: @MiguelCarbonell  https://t.co/NbcLh0zeIc ht…,140,0,60,1
1118291495784554496,Valiente y claro desmentido a un presidente que nos ha mentido. https://t.co/BnCm6GyJrM,87,22,5,1
1118288907542523904,"Lázaro Cardenas Batel, miembro del equipo de @lopezobrador_ de verdad serás cómplice en esta burda violación a la c… https://t.co/l9E2EqUxmU",140,107,45,1
1118282541339799552,"Mañana saldrá por peteneras en la mañanera.
Le vale..M México.
Le vale..M  la constitución. 
Le valemos....M los Me… https://t.co/bppVC5OsGj",140,43,11,1
1118282044994285568,"RT @ValeriaMoy: La declaración sobre empleo del presidente @lopezobrador_ hoy en la mañanera es falsa. De hecho, la creación de empleo form…",140,0,3422,1
1118281967118610432,"El messi supremo en plena acción.
La constitución por el Arco del Triunfo.
Hablase visto???
AMLO instruye a secreta… https://t.co/juOmDlzDL3",140,37,15,1
