id,text,len tweet,likes,rt,position
1271428618594455552,RT @getFANDOM: #PS5 vs. Xbox Series X — Which next-gen console has the better look? 🤔 https://t.co/CDARdz5VGH,109,0,226,0
1271374323211743237,RT @getFANDOM: #PS5 slate of games is looking ridiculous 😱 https://t.co/ksj00DU5Dv,82,0,463,0
1271223196000403456,"Capcom's newest IP 'Pragmata' takes the action from Earth to the moon, coming 2022 🌏🌕

(via @PRAGMATAgame | #PS5)
",137,194,38,0
1271218260005064705,#PS5 slate of games is looking ridiculous 😱 https://t.co/ksj00DU5Dv,67,1341,463,0
1271214743009652736,"'Destruction AllStars' smashes vehicles left and right in explosive #PS5 reveal trailer 💥

(via @LucidGamesLtd |… https://t.co/1Kq2IydEWO",137,97,13,0
1271212149835100161,"'GTA V' is really gonna be on PS3, PS4, and PS5 ... https://t.co/q48n1RYGyC",75,2769,454,0
1271210336834555905,"#PS5 in black lookin' nice tho 🤞

(via @Bosslogic | #PS5Reveal) https://t.co/xa8rq3ojPI",87,1960,394,0
1271207248639868928,#PS5 vs. Xbox Series X — Which next-gen console has the better look? 🤔 https://t.co/CDARdz5VGH,94,1596,226,0
1271192451911307264,"Closer look at the #PS5 console reveal video 😍

",71,2991,1042,0
1271191830432907264,RT @getFANDOM: 'Spider-Man: Miles Morales' is coming to #PS5 this holiday 🕸 https://t.co/07m49XFTfk,99,0,6828,0
1271191797067374598,RT @getFANDOM: Breaking: First look at the #PS5 console 👀 https://t.co/Bipc6R3jOm,81,0,1924,0
1271189121441005568,"The #PS5 will come with a discless version, no price yet https://t.co/xidv2H14Vm",80,3488,1131,0
1271188584192593920,Breaking: First look at the #PS5 console 👀 https://t.co/Bipc6R3jOm,66,6507,1924,0
1271188301802684418,Aloy returns for 'Horizon: Forbidden West' announced for #PS5  🏹 https://t.co/Y21V8uBA3W,88,1845,588,0
1271187180409348096,'Resident Evil VIII: Village' coming to #PS5 in 2021 https://t.co/u9qk3BcU3e,76,1703,571,0
1271183840002764800,'NBA 2K21' footage is looking ridiculous on #PS5 😳 https://t.co/E8M9ctGaM4,74,895,235,0
1271182514921472000,"Agent 47 returns for 'Hitman III' coming to #PS5 January 2021

(#PS5Reveal)
",99,905,292,0
1271180543665688576,"First stunning trailer for Square Enix's new Luminous Productions game, 'Project Athia' on #PS5

(#PS5Reveal)
",133,490,179,0
1271179998989217792,"'Oddworld: Soulstorm' revealed for #PS5 , no release date yet https://t.co/Gz0YW2TNxd",85,493,125,0
1271177723633778688,'Sackboy: A Big Adventure' announced during #PS5Reveal https://t.co/BF11J8jyUK,78,618,160,0
1271175347719958528,"Full reveal trailer for 'Spider-Man: Miles Morales' on #PS5

",84,7984,2730,0
1271174447672619008,First look at 'Ratchet and Clank: Rift Apart' coming to #PS5 https://t.co/hGsxINc1Yp,84,1654,510,0
1271173300824096768,'Spider-Man: Miles Morales' is coming to #PS5 this holiday 🕸 https://t.co/07m49XFTfk,84,25375,6828,0
1271132110611337216,PS4 ➡️ #PS5 — The legacy continues today https://t.co/IPc2OIV3IY,64,507,87,0
1271067098505252868,What game announcements are you hoping for in the #PS5 event today? 👇,69,726,45,0
1270808929765711872,"RT @getFANDOM: Dead Space writer @AntonyJohnston teases a new game to be announced during the #PlayStation5 event tomorrow, hinting that 'y…",140,0,91,0
1270680923005165570,"Dead Space writer @AntonyJohnston teases a new game to be announced during the #PlayStation5 event tomorrow, hintin… https://t.co/71M4LfzT1s",140,662,91,0
