id,text,len tweet,likes,rt,position
1271428618594455552,RT @getFANDOM: #PS5 vs. Xbox Series X — Which next-gen console has the better look? 🤔 https://t.co/CDARdz5VGH,109,0,237,0
1271374323211743237,RT @getFANDOM: #PS5 slate of games is looking ridiculous 😱 https://t.co/ksj00DU5Dv,82,0,473,0
1271223196000403456,"Capcom's newest IP 'Pragmata' takes the action from Earth to the moon, coming 2022 🌏🌕

(via @PRAGMATAgame | #PS5)
",137,197,39,0
1271218260005064705,#PS5 slate of games is looking ridiculous 😱 https://t.co/ksj00DU5Dv,67,1382,473,0
1271214743009652736,"'Destruction AllStars' smashes vehicles left and right in explosive #PS5 reveal trailer 💥

(via @LucidGamesLtd |… https://t.co/1Kq2IydEWO",137,97,13,0
1271212149835100161,"'GTA V' is really gonna be on PS3, PS4, and PS5 ... https://t.co/q48n1RYGyC",75,2839,464,0
1271210336834555905,"#PS5 in black lookin' nice tho 🤞

(via @Bosslogic | #PS5Reveal) https://t.co/xa8rq3ojPI",87,1986,397,0
1271207248639868928,#PS5 vs. Xbox Series X — Which next-gen console has the better look? 🤔 https://t.co/CDARdz5VGH,94,1660,237,0
1271192451911307264,"Closer look at the #PS5 console reveal video 😍

",71,3005,1044,0
1271191830432907264,RT @getFANDOM: 'Spider-Man: Miles Morales' is coming to #PS5 this holiday 🕸 https://t.co/07m49XFTfk,99,0,6893,0
1271191797067374598,RT @getFANDOM: Breaking: First look at the #PS5 console 👀 https://t.co/Bipc6R3jOm,81,0,1932,0
1271189121441005568,"The #PS5 will come with a discless version, no price yet https://t.co/xidv2H14Vm",80,3499,1133,0
1271188584192593920,Breaking: First look at the #PS5 console 👀 https://t.co/Bipc6R3jOm,66,6548,1932,0
1271188301802684418,Aloy returns for 'Horizon: Forbidden West' announced for #PS5  🏹 https://t.co/Y21V8uBA3W,88,1855,589,0
1271187180409348096,'Resident Evil VIII: Village' coming to #PS5 in 2021 https://t.co/u9qk3BcU3e,76,1717,575,0
1271183840002764800,'NBA 2K21' footage is looking ridiculous on #PS5 😳 https://t.co/E8M9ctGaM4,74,900,235,0
1271182514921472000,"Agent 47 returns for 'Hitman III' coming to #PS5 January 2021

(#PS5Reveal)
",99,908,292,0
1271180543665688576,"First stunning trailer for Square Enix's new Luminous Productions game, 'Project Athia' on #PS5

(#PS5Reveal)
",133,492,179,0
