id,text,len tweet,likes,rt,postura
1121543287343591434,"RT @NoticiasMVS: #AHORA Las plazas y la nómina son del Estado, eso siempre lo ha dicho Andrés Manuel @lopezobrador_: @emoctezumab, titular…",139,0,1,1
1120808259236126722,"RT @ObsNalCiudadano: #EnBreve nuestro director general 
@frarivasCoL platicará con @anafvega sobre la #Violencia que se vive en el país.
17…",140,0,4,-1
1120309571531214848,"Que es “volada de la prensa fifí”, dice el presidente @lopezobrador_ en la conferencia matutina. https://t.co/A9yPnP0aoK",120,122,43,1
1116479278135357440,"RT @NoticiasMVS: #AHORA Carlos Martínez Velázquez, Director del @Infonavit, habla #EnDirecto sobre la solicitud de @lopezobrador_ de cesar…",139,0,3,1
1116475082761809920,RT @NoticiasMVS: #AHORA Vemos muy importante que vengan 5 o 6 miembros del gabinete ampliado y el Presidente para generar confianza en el s…,140,0,4,1
1116383093999509505,"RT @RuidoEnLaRed: ¿Revelar las fuentes?, ¿qué pasaría si un periodista tuviera que hacerlo como lo pide el presidente @lopezobrador_ ? http…",140,0,40,1
1116316729892851712,"RT @NTelevisaPuebla: En #vivo @lopezobrador_ arranca su #ConferenciaPresidente con el anuncio de quién encabezará la Guardia Nacional.

htt…",140,0,5,1
1116126080753123329,RT @NoticiasMVS: #AHORA @ezshabot habla #EnDirecto con @anafvega sobre las contradicciones de @lopezobrador_ con su gabinete por el 102.5 F…,140,0,4,1
1116096725477986309,"RT @XavierVelasc0: Qué chucho más lindo, caray‼️ https://t.co/9Y4tBE3ium",72,0,8,1
1115998414980956163,El subsecretario Seade dice que nunca escuchó a @lopezobrador_ decir que respondería a cada tuit ofensivo de Trump.… https://t.co/zbiJvAzVPR,140,2684,771,1
1115759660630409217,RT @NoticiasMVS: #AHORA Yo le pido al presidente @lopezobrador_ dejar el apoyo de las estancias infantiles como esta antes. El apoyo que me…,140,0,1,1
1115623154519506944,"RT @RuidoEnLaRed: La oposición mexicana, antes despreocupada por la diversidad sexual, ahora señala que AMLO es un conservador. 
Escribe @g…",140,0,21,1
1115606323452755970,"El presidente López Obrador no solo desmiente al subsecretario Herrera sobre la tenencia. Más significativamente, d… https://t.co/hP5rwq141x",140,3003,918,1
1115396421216342017,RT @NoticiasMVS: #AHORA Tenemos una CNTE que está negociando con la @SEP_mx y otros que quieren negociar con @lopezobrador_: @PonchoRobledo…,140,0,4,1
1114313839988940805,"RT @NoticiasMVS: #AHORA A la gente le cuesta creer que los militares no disminuirán la violencia, eso se debe a la poca confianza que hay e…",140,0,1,1
