id,text,len tweet,likes,rt,position
1271271084583608320,"RT @latinus_us: Hoy en #Loret Capítulo 2, México polarizado. En el estudio, dos señalados en ""la Boa"". Y Peña Nieto y la 4T comparten contr…",140,0,732,0
1271127571908919297,"López Obrador avaló la ocurrencia de Ricardo Monreal de extinguir al IFT, a la COFECE y a la CRE y crear el Institu… ",140,577,239,0
1270868628175495171,AMLO se divierte mucho exhibiendo a los presuntos protagonistas de un supuesto compló llamado BOA. Ya hay más infor… ,140,1775,587,0
1270778400131743746,La 4T le cumple a Mario Villanueva y podrá cumplir su condena en prisión domiciliaria. La buena nueva le fue comuni… ,140,731,327,0
1270493389243461632,"López Obrador insistió en que el modelo de Afores resultó dañino para los trabajadores y para el país, advirtió que… ",140,1546,721,0
1270415900039090181,"Exhibe AMLO le existencia de un supuesto bloque opositor amplio. Sin corroborar su autenticidad, leen un documento… ",139,2845,912,0
1270128734482444288,México postula a Jesús Seade para dirigir la Organización Mundial de Comercio. AMLO instruye a Ebrard para que se l… ,140,153,22,0
1269855433423978497,Alfaro acusa que la violencia en las calles de Guadalajara se fraguó desde los sótanos del máximo poder. AMLO le co… ,140,466,92,0
1269826508119515137,"Además de las medidas en materia de salud, AMLO cree que “estar bien con nuestra conciencia, no mentir, no robar, n… ",140,1024,293,0
1269023714487697408,"Dicen que AMLO redoblará su apuesta en PEMEX. Se espera que durante su visita a Veracruz, anuncie audaces planes pa… ",140,355,87,0
1268953246258823168,Alfaro acusa que la violencia en las calles de Guadalajara se fraguó desde los sótanos del máximo poder. AMLO le co… ,140,1070,267,0
1268936166377533441,⚡️GALERÍA #127: COVID MÉXICO /PROYECTOS DE AMLO: TREN MAYA Y SANTA LUCÍA/ PROTESTAS EN ESTADOS UNIDOS 🔴GALERÍA COMP… ,140,895,240,0
1268631117348966403,"Además de las medidas en materia de salud, AMLO cree que “estar bien con nuestra conciencia, no mentir, no robar, n… ",140,1579,483,0
1268291381551865858,"En presencia del secretario de la Defensa, López Obrador informó que el Grupo Interdisciplinario de Expertos Indepe… ",140,168,42,0
1267856069163986946,"Los rumores se confirmaron, AMLO anunció la salida de Ricardo Rodríguez como titular del Instituto para Devolverle… ",139,296,88,0
1267282232965767170,La Sociedad Interamericana de Prensa advirtió que López Obrador incita a la violencia con sus sistemáticos ataques… ,139,2425,901,0
1267206742040952832,"El empresario y consejero de AMLO, Ricardo Salinas pregunta en redes: ¿cuándo hay que salir del encierro? ¿Hasta qu… ",140,936,289,0
1266399594067267585,⚡️GALERÍA #126: MENSAJE DE SALINAS/ AMLO QUIERE REGRESAR A LA GIRA/ FATALIDAD DEL COVID EN MÉXICO 🔴GALERÍA COMPLETA… ,140,1293,421,0
1266071757192073217,La Sociedad Interamericana de Prensa advirtió que López Obrador incita a la violencia con sus sistemáticos ataques… ,139,1211,540,0
