id,text,len tweet,likes,rt,postura
1121585806471323649,"Liberan bajo fianza al expresidente de Renault-Nissan Carlos Ghosn, acusado de malversación, debido a una insuficie… https://t.co/sJfP6RbxFK",140,7,1,1
1121584111703994369,El 25 de cada mes se conmemora el día internacional de la erradicación de la violencia hacia las mujeres. El… https://t.co/BMLoOMkw78,133,2,0,-1
1121574712180523008,"#PorSiTeLoPerdiste López Obrador anunció que se sembrarán 200,000 hectáreas de café, lo cual generará 80,000 empleo… https://t.co/D6YEtgROyx",140,10,5,1
1121572100504821760,"El exvicepresidente de Estados Unidos, Joe Biden, anunció este #FelizJueves su candidatura por el Partido Demócrata… https://t.co/hI01PujidP",140,7,2,1
1121559514505859072,"El presidente francés, Emmanuel Macron, disminuirá impuestos, sobre todo a la clase media y trabajadora, iniciativa… https://t.co/7TdHRhOpCg",140,36,16,1
1121554484209995776,"Así fueron las primeras conversaciones cara a cara entre el líder norcoreano, Kim Jong-Un y el presidente ruso, Vla… https://t.co/cJRvQXd3vT",140,7,2,1
1121549558012497921,"#PorSiTeLoPerdiste López Obrador hará un nuevo análisis de la producción petrolera nacional, tras ser cuestionado s… https://t.co/qXrLICzben",140,2,2,1
1121522475110629376,Los futuros del crudo Brent cayeron 22 centavos y el crudo en Estados Unidos bajó 68 centavos. https://t.co/4t0sZwimFC,118,2,0,1
1121511778863632384,El presidente López Obrador dijo que se llevará a cabo un nuevo análisis de la producción petrolera nacional tanto… https://t.co/kKBENiTtTi,139,3,3,1
1121509144312332289,"Alfonso Durazo propone alternativa para enfrentar la inseguridad y violencia, atendiendo las causas económicas y so… https://t.co/Re844sjHTs",140,6,5,-1
1121499115869749248,"""El caldo y las albóndigas: ¿Cuánto costará el aeropuerto de AMLO?"", por Luis Miguel González, Director General Edi… https://t.co/ODVH5ViLiK",140,11,8,1
1121494287298916352,"El presidente López Obrador celebró la aprobación de la Reforma Educativa. 
https://t.co/h8GdFetPGz",99,5,4,1
1121484481544839169,El presidente Bolsonaro canceló el horario de verano y explica que se debe a que afecta el reloj biológico de las b… https://t.co/nbrlEzx1Jf,140,43,22,1
1121478985399980032,"El streaming termina por sepultar al formato físico. 
https://t.co/bc4t5AV7pJ",77,12,7,1
1121439425483935744,El presidente López Obrador aseguró que se llevará a cabo un nuevo análisis de la producción petrolera nacional tan… https://t.co/23b9yRI5lL,140,1,3,1
1121429571407110149,"En caso de que el Congreso retrase la aprobación de la Ley de Austeridad, el poder ejecutivo emitirá un memorándum… https://t.co/RCeqhhUNBA",139,8,5,1
1121421263031951362,El presidente López Obrador aplaudió la decisión de la Cámara de Diputados de “cancelar la mal llamada reforma educ… https://t.co/5gugqKfhWH,140,5,7,1
1121403487374340103,El presidente López Obrador dijo que el próximo lunes 29 de abril iniciará la construcción del nuevo aeropuerto en… https://t.co/fS64yvPTK7,139,4,1,1
1121403023819980800,"El exvicepresidente Joe Biden anunció su candidatura para la Casa Blanca.

https://t.co/5Fs65M0NnL",98,12,2,1
1121386766345261056,RT @Nerilicon: El cerro. #SantaLucia #Cerro #Aeropuerto #JimenezEspriu #SCT #AMLO #CuartaTransformacion https://t.co/b7JNDklu71,127,0,344,1
1121244499911565312,"#Morena presentó una iniciativa para desincentivar el consumo excesivo de bebidas alcohólicas, basada en vender las… https://t.co/TlKwzDYadA",140,23,13,1
