id,text,len tweet,likes,rt,postura
1124098493780459526,.@lopezobrador_ publica fotografía junto a Alfredo del Mazo en #Twitter luego de pedir disculpas a su familia ➡️… https://t.co/vJTBPUg8Dl,137,2,0,-1
1124068294967873536,Rector agradece intervención de @lopezobrador_ para descongelar cuentas de la @UAEH_OFICIAL ➡️… https://t.co/QtcouEJnFY,119,4,0,-1
1124028029834076161,.@lopezobrador_ publica fotografía junto a Alfredo del Mazo en #Twitter luego de pedir disculpas a su familia ➡️ … https://t.co/XIl5PQja77,138,4,1,-1
1124001645975748609,.@lopezobrador_ indicó que a Alfredo Del Mazo González se le relacionó equivocadamente con la construcción del aero… https://t.co/7yZZborLMu,140,1,0,-1
1123988201322971136,"Los eventos de los últimos días parecen indicar que la realidad empieza a alcanzar a la #4T, opina @jorgeacast ➡️ … https://t.co/0B2UFtuf6i",139,19,13,-1
1123982428173893632,".@lopezobrador_ : El turismo también es prioridad. Urge un Pacto Nacional a favor del #turismo, expresa… https://t.co/aRLaNgoS11",128,1,0,-1
1123969176786354186,¿Por qué razón @lopezobrador_ no conmemorará en #Puebla el 5 de mayo? ➡️ https://t.co/jUK8jUKU7b https://t.co/vb02Bv1n7Z,120,1,0,-1
1123960127206436866,"Por si te lo perdiste, estos fueron los temas de @lopezobrador_ en #LaMañanera ➡️ https://t.co/8GvWaTPeK9 https://t.co/6E6lMyjNc3",129,6,1,-1
1123945879763857411,"#LaMañanera | @lopezobrador_ afirma que la economía en #México marcha bien y no hay subejercicio, sino ahorro. ""¡No… https://t.co/y0wqL1PiWo",140,5,3,-1
1123944446104567808,"""Posible crecimiento económico del 4 % incluso #Slim lo ha dicho"", insiste @lopezobrador_ ➡️ https://t.co/zYeops1Gdr https://t.co/x3BYh2vEFu",140,4,0,-1
1123944226889166848,.@lopezobrador_  afirma que en su sexenio se acabaron las empresas favoritas ➡️ https://t.co/fFOVeUddUb https://t.co/SHhejyAGb3,127,3,0,-1
1123943863062810624,.@C5_CDMX #alerta por 9 manifestaciones este jueves ⚠️➡️ https://t.co/wkhp4tbD2g https://t.co/JlVrMOx6Vp,104,3,0,-1
1123941711288389632,"#LaMañanera | ""El peso está más fuerte que nunca, no habrá depreciación""; @lopezobrador_
aseguró que la #economía d… https://t.co/df5iyOrX3p",140,4,2,-1
1123940026587537410,Germán Larrea envía carta a @lopezobrador_ para apoyar en el rescate de los cuerpos de Pasta de Conchos ➡️… https://t.co/xca1OeNPzT,131,3,0,1
1123939197306327040,#LaMañanera | @lopezobrador_ puntualiza que el #crecimiento económico sin inflación ni deuda se logrará combatiendo… https://t.co/74B772zXLe,140,0,0,0
1123937150679048192,"#LaMañanera | @lopezobrador_ encabezará conmemoración del 5 de mayo en Piedras Negras, Coahuila, donde nació Ignaci… https://t.co/nX40x0VqgB",140,6,4,1
1123936640794333184,#LaMañanera | @lopezobrador_ anunció que recibió una carta del empresario Germán Larrea en la que indica su disposi… https://t.co/W0fQjNIhse,140,0,1,-1
1123933080119599108,"#LaMañanera | ""Se va a crecer al doble de lo que se creció en el periodo neoliberal""; @lopezobrador_ aseguró que en… https://t.co/uF5Hu2bxQp",140,3,0,-1
1123931564130304005,El #PND nos adelanta la agenda de #riesgos y #amenazas globales que prevé esta administración: conflictos armados;… https://t.co/Ip1DZ660La,139,12,10,-1
