id,text,len tweet,likes,rt,position
1271140449298690049,"Escribe @julioastillero:
Con miras a las elecciones de 2021, AMLO aprieta el escenario: No es tiempo de simulacione… https://t.co/HlbIX1ITM3",140,165,98,0
1271123446999760897,"Se organizan para tumbar a AMLO. 
Están en su derecho.Aquí hay x 1era vez un gobierno democrático que respeta a los… https://t.co/hzsPCmESp3",140,343,235,0
1271115686467657730,Productores de Chihuahua no se quedarán sin agua. AMLO niega que haya corte de suministro por ser un convenio suscr… https://t.co/Zw0y7dEvA4,140,111,66,0
1271115113685123073,AMLO dio a conocer el documento del presunto Bloque Opositor Amplio (BOA) porque concierne a todos. Estima que sus… https://t.co/hcGrPuSQJe,139,234,120,0
1271079607954014208,"Quieren tumbar a AMLO,revertir las reformas constitucionales,volver al poder. Tienen a columnistas,medios, político… https://t.co/BUHKqyBNre",140,1865,1195,0
1271046953628053504,RT @_VicenteSerrano: El presidente @lopezobrador_ dijo que durante la entrevista con @epigmenioibarra  hay una parte en la que agradece a l…,140,0,273,0
1270895370977959936,"RT @SOLECITORMZ: #Presente
#PaseDeLista1al43
#TuLuchaEsLaMía mi caballero @epigmenioibarra junto a nuestro Presidente @lopezobrador_ exijim…",140,0,33,0
1270894929158397952,"RT @alxrdz3: Invito a todos mis seguidores al #PaseDeLista1al43 con nuestro amigo @epigmenioibarra 
#NiPerdonNiOlvido 
Con la #4T
#Transfor…",140,0,28,0
1270809083948306438,Desde su afectada superioridad nos tildan de ignorantes; somos el “rebaño” al que ellos: el “círculo rojo” guían. E… https://t.co/3obXVcU4TY,140,382,258,0
1270746093744058368,AMLO pide a embajador de Canadá en México colaborar para que compañías mineras de ese país que operan en territorio… https://t.co/sofjhaT2uM,140,195,107,0
1270734700500283398,"AMLO dio a conocer un documento adjudicado a un ""Bloque Opositor Amplio"" que, afectado en sus intereses por una pre… https://t.co/6CXAM0FSls",140,154,92,0
1270708051566186497,"RT @lopezobrador_: El mejor remedio es la transformación. Cero corrupción, cero impunidad. Conferencia matutina. https://t.co/JSergZkYby",136,0,2824,0
