id,text,len tweet,likes,rt,position
1271196899010371584,RT @muoz_abel: @gibranrr @lopezobrador_ #MorenaSalDeTuMarasmo...,64,0,2,0
1271131395587559424,"RT @ea_puerto: @luisghernan @alesal3 @RompevientoTV @JJRENDON @lopezobrador_ @EnriqueAlfaroR Así es, yo soy responsable de esa información.…",140,0,53,0
1271126506153086977,"Coincido contigo, Jorge Luis https://t.co/4tdIvo2WpV",52,42,11,0
1270949271467065344,RT @SREBECACORREA: #UnPactoDesdeAbajo @gibranrr fortalecer la base para apuntalar a @lopezobrador_ #YoConAMLO https://t.co/1vWarOMcrO,133,0,36,0
1270894534050951168,.@lopezobrador_ se divierte de estructurar el espacio político en dos polos. El mensaje de gobierno y de opositores… https://t.co/IfZUmnmqCN,140,71,25,0
1270879026954080257,@peritoriodico @lopezobrador_ @MLopezSanMartin Aquí las encuentras https://t.co/CceeukrpSu,90,7,5,0
1270852032359010306,"RT @julioastillero: ¿Para qué tantos partidos?, solo debería existir el liberal y el conservador: AMLO (nota de SinEmbargo)
",140,0,475,0
1270829384967106560,"La concepción política de @lopezobrador_ es un reflejo de las estructuras desiguales de nuestro país, y eso se mani… https://t.co/kxd3hHLwJn",140,175,77,0
1270812392755265536,Parte de las prioridades del movimiento obradorista se han estructurado en el orden en que @lopezobrador_ las ha at… https://t.co/iGdOtCuUub,140,90,42,0
1270796519449427969,A Morena le va ir bien en las elecciones tan solo por la aprobación de @lopezobrador_ pero le podría ir mucho mejor… https://t.co/Pr8p9FrcKf,140,2177,859,0
1270774490935541762,"RT @OscarGR93: ¿Para qué tantos partidos?, dice AMLO. Sugiere que sean dos: el “conservador” y el “liberal” https://t.co/1XYkCRQD06",131,0,161,0
1270769844791672832,"Cuando @lopezobrador_  habla de estar con la transformación o estar en contra, pretende modificar las viejas estruc… https://t.co/TpBgxuBS3t",140,171,66,0
1270759975082766336,"RT @Milenio: No permitiré que “ninguneen” investidura presidencial, dice AMLO https://t.co/LdUco8SXJO https://t.co/jWIFNxP12u",125,0,81,0
1270758717726896130,"La sociedad ya estaba polarizada por la desigualdad que existe en el país. 

Cuando @lopezobrador_ habla de las cau… https://t.co/C0LFPRp3AI",140,279,131,0
1270736627640516609,"RT @CISS_org: Sobre el anuncio del presidente @lopezobrador_ de la necesidad de una reforma pensional, la CISS reitera su propuesta de un m…",140,0,78,0
1270562341655130114,Esta política entre dos de @lopezobrador_ se puede normalizar y derivar en una nueva forma de representación políti… https://t.co/mZ3Z9g746F,140,181,58,0
1270554979619745794,Se trata de una aspiración. @lopezobrador_ quiere que el proyecto político se dirima entre dos. Da cuenta de un hec… https://t.co/wN461FriBL,140,288,94,0
1270554977451364355,No se trata de puro discurso; la forma en que @lopezobrador_ da cuenta de la política es un reflejo de la estructur… https://t.co/eJwIibhLWJ,140,1831,653,0
1270547311358287872,"RT @luisghernan: ¿Medios a favor de la #4T?

¿Intelectuales a favor de la #4T?

A ver... díganme nombres (serios, por favor) para conocerlo…",140,0,200,0
1270499183221452806,"RT @JorgeRamosBarr3: @Eliolvera18 @gibranrr @lopezobrador_ Me sumo por mi país, por un deseo de entrégale un mejor futuro a mis hijos! Yo #…",140,0,26,0
1270421978495815680,"RT @ramirezvillela: Por esto voté❤️

Afores perjudicaron; vamos a revertir.- AMLO - Vía @reforma https://t.co/qNaHr5p92F",120,0,91,0
1270414856693350401,"RT @Eliolvera18: #UnPactoDesdeAbajo con nuestro Presidente @lopezobrador_  
La 4T más fuerte desde sus bases.
Carta a las y los militantes…",139,0,21,0
1270362106706243584,"RT @Mercede290713: A los que dicen que es difícil rescatar Morena les decimos como dice AMLO: lo difícil, lo logramos! Necesitamos #UnPacto…",140,0,54,0
1270162908664791040,"RT @siriasaldana: #UnPactoDesdeAbajo
#AmloElMejorPresidenteDelMundo 
#AMLOSeQueda https://t.co/0Rt6YyPkOi",105,0,17,0
1270161545541177345,RT @Mercede290713: Dentro de la militancia y los que apoyamos a la 4T existe todo el talento para consolidar la transformación. Tenemos los…,140,0,9,0
1270160504523194369,"RT @moralesoyarvide: No todos en la 4T y MORENA están pensando solo en los cargos y no en los encargos, especialmente de cara al futuro.…",137,0,13,0
1270159161653936129,"RT @ulisesmx: Este documento es el mayor análisis y crítica puntual a MORENA y el significado de la 4T, pero también da una guía general -d…",140,0,18,0
