id,text,len tweet,likes,rt,postura
1123243831384780814,Esto dice el gobierno de México @lopezobrador_ sobre la situación en Venezuela: https://t.co/IkV9fj7Fjo,103,323,115,-1
1122560753100369920,"RT @ValaAfshar: If you travel a lot, then these folding techniques are exactly what you need https://t.co/tE1zhMSL4t",116,0,1241,-1
1121967050660962304,"RT @Reforma: Ante el alza de homicidios en el primer trimestre del año, el Presidente @lopezobrador_ aseguró que la violencia en el País em…",140,0,90,-1
1121864850429267968,Hoy en Noticiero Univision la primera entrevista de Beto O’Rourke para un medio Latino. Toda la entrevista fue en e… https://t.co/ct4tlKd0lY,140,478,97,-1
1121776678508752896,RT @jenarovillamil: Importante reflexión de @AristeguiOnline en el periódico @Reforma: el presidente @lopezobrador_ “ha elegido de manera e…,140,0,1720,0
1121570380953423873,"Aquí en Las Vegas con @ReikMx en nuestra primera entrevista. Hablando de “Duele”, de AMLO, de no temerle a mezclar… https://t.co/mEldC5Euvb",139,168,17,-1
1120756096149413888,"Muy bien los reporteros hoy en “la mañanera”. Los mejores cuestionamientos se logran con las repreguntas, comparand… https://t.co/iX6vLfjjn7",140,11919,2315,1
1120674125415108608,"RT @AlPunto: #Opinión de @jorgeramosnews sobre AMLO:  ""Cuestionar a un presidente cuando sus sumas y restas no salen...no es pasarse, ni ex…",140,0,215,-1
1120047482090582016,RT @jorgeramosnews: Aquí va mi columna de cuando fui a “la mañanera”.Reconozco que tuve total libertad para preguntar. Eso no pasa en otros…,140,0,2718,1
1119980349965004802,"RT @AlPunto: En el 2018, hubo más de 3,000 víctimas de feminicidios en México. ¿Qué debe hacer AMLO para enfrentar este problema? 

@jorger…",140,0,66,-1
1119631839205969920,Aquí va mi columna de cuando fui a “la mañanera”. Reconozco que tuve total libertad para preguntar. Eso no pasa en… https://t.co/GOXsxiagsk,139,712,174,1
1119622688908034052,Aquí va mi columna de cuando fui a “la mañanera”.Reconozco que tuve total libertad para preguntar. Eso no pasa en o… https://t.co/j6re6qxx0N,140,9022,2718,1
1118522520443944961,"RT @warkentin: En la lista de las 100 personas más influyentes del mundo, según la revista @TIME, está @lopezobrador_. Su perfil fue escrit…",140,0,411,0
1118521672162738176,Aquí va mi texto (en inglés) en la revista TIME sobre @lopezobrador_ y su designación en la lista de los 100 más in… https://t.co/yABLRyxcol,140,449,181,-1
1118518993948688385,"@lopezobrador_ en la lista de los 100 más influyentes del mundo (TIME) 

Andrés Manuel López Obrador is on @TIME's… https://t.co/9IcH5rhkJ1",139,92,38,-1
1118518059457744897,"AMLO @lopezobrador_  es uno de los 100 personajes más influyentes del mundo, según acaba de anunciar la revista TIME https://t.co/LSpxscTOK3",140,1136,388,-1
1118477705735962629,RT @AristeguiOnline: AMLO “no es intocable”: Jorge Ramos en el ‘NYT’ https://t.co/grFk3xfO2S,92,0,307,-1
1118477565012926465,RT @jorgeramosnews: Aquí mi columna para el New York Times sobre lo que pasó en la “mañanera” con @lopezobrador_ https://t.co/4XN6IGBFmx,136,0,3357,1
1118314274043068417,Aquí mi columna para el New York Times sobre lo que pasó en la “mañanera” con @lopezobrador_ https://t.co/4XN6IGBFmx,116,8866,3357,1
1118115827834871808,"RT @jorgeramosnews: Más allá de las formas, de las críticas y de la reacción en las redes, la pregunta a @lopezobrador_  se sostiene y toda…",140,0,8579,0
1117903483888234497,"Más allá de las formas, de las críticas y de la reacción en las redes, la pregunta a @lopezobrador_  se sostiene y… https://t.co/u8dWGSxxRO",139,24112,8579,-1
1117847711753969664,"RT @LeonKrauze: Además de ser un ejercicio periodístico notable, el intercambio entre @jorgeramosnews y @lopezobrador_ permitió conocer los…",140,0,1610,1
1117564456760950784,RT @JMVivancoHRW: Este vídeo de @jorgeramosnews después de hacerle preguntas directas a @lopezobrador_ habla del rol del periodismo frente…,139,0,352,-1
1117514779583815681,RT @jorgeramosnews: A lo largo de mi carrera he entrevistado en varias ocasiones a @lopezobrador_  Siempre hemos tenido una relación profes…,140,0,826,1
1117460014397054976,"RT @jorgeramosnews: Una cosa más. Detrás de los 8,524 asesinatos de mexicanos en los primeros 3 meses de AMLO en la presidencia, de los 128…",140,0,9721,-1
1117116177430581248,"Una cosa más. Detrás de los 8,524 asesinatos de mexicanos en los primeros 3 meses de AMLO en la presidencia, de los… https://t.co/8kMABtfu9J",140,30875,9721,-1
1117101048026554368,RT @reformanacional: El periodista @jorgeramosnews dijo que le preocupan los ataques a la prensa en México y advirtió a @lopezobrador_ que…,139,0,258,-1
1117093269601751040,A lo largo de mi carrera he entrevistado en varias ocasiones a @lopezobrador_  Siempre hemos tenido una relación pr… https://t.co/nOHgrei5w0,140,3426,826,0
1117083287342678016,"Aquí el reportaje de Animal Político
@dmorenochavez 

El Sabueso: AMLO presumió baja en inseguridad, pero los datos… https://t.co/6jgolIzKbC",140,4305,2077,-1
1117082447227883520,Aquí va mi columna de hoy en Reforma con los datos que le presenté al presidente López Obrador ayer en la “mañanera… https://t.co/j5jtYfEJOH,140,976,367,-1
1117081404028985345,Aquí va mi columna de hoy en Reforma con los datos que le presenté al presidente ⁦@lopezobrador_⁩ ayer en la “mañan… https://t.co/IRqSQIKWKt,140,7293,3150,-1
1117049447106715649,"RT @penileyramirez: Les recomiendo esta entrevista de @jorgeramosnews con @lopezobrador_ de mayo de 2017 sobre México, su presidencia, Trum…",140,0,152,-1
1116909478576893953,"RT @jorgeramosnews: Para que no haya dudas, aquí están las fuentes que usé en “la mañanera” para decir que en los primeros 3 meses de @lope…",140,0,23483,1
