id,text,len tweet,likes,rt,postura
1115746027217272833,O Elba Esther no entendió que la soberbia frente a los presidentes son una pésima idea o está dizque desmarcándose… https://t.co/W5RN87jaPO,139,708,249,1
1115603092567875584,¿Ruptura de Elba Esther Gordillo con AMLO? https://t.co/4xKfHIeH9K,66,117,47,1
1115230808317382657,Una Suprema Corte a la medida del Presidente https://t.co/RFDA36y4AQ,68,603,346,1
1114419038443266048,RT @Foro_TV: ¿Las redes sociales deben ser un contrapeso a la agenda mediática del presidente? Mira la opinión de @fmartinmoreno en #EsLaHo…,140,0,30,1
1114145207912665088,"RT @Foro_TV: En #EsLaHoraDeOpinar con @leozuckermann, @laloguerrero analiza el incremento de la violencia en la #CDMX y en el país. https:/…",140,0,14,-1
1113785545069662208,AMLO y la destrucción de una de las joyas de la corona https://t.co/yU9JGJx8JO,78,379,188,1
1113784213034156032,"RT @MaguMonero: Mientras la 4T consume sus energías en consolidarse a base de puro BLA BLA BLA, la vida para los mexicanos sigue transcurri…",140,0,160,1
1113560410819571713,Se iría un Presidente que ganó su puesto en las urnas para quedar un Presidente que se lo ganó en una votación en e… https://t.co/Awrg985Vez,140,348,153,1
1113043000303775744,"RT @Foro_TV: En #EsLaHoraDeOpinar, @leozuckermann @JorgeGCastaneda @aguilarcamin y Javier Tello analizan el perdón que ha solicitado AMLO a…",140,0,8,1
1112902226408701952,"Hace muy bien el presidente @lopezobrador_ en no engancharse con el presidente @realDonaldTrump 

Pero...
https://t.co/QAdKo16wEx",129,126,24,1
1112205131590848512,"RT @Foro_TV: Para entender el tema de la violencia en la capital mexicana, @hdemauleon y @Sandra_Romandia analizan cuándo comenzó a salirse…",140,0,22,-1
1111245019019644929,"RT @Foro_TV: En #EsLaHoraDeOpinar con @leozuckermann, @Fedenavarrete analiza el tema de la carta enviada por AMLO a España para solicitar p…",140,0,47,1
1111101283623231489,"RT @clomnitz: Ningún Presidente de México tiene autoridad moral para erigirse en sujeto de los agravios de los indios, porque el Estado nac…",140,0,957,1
1109919166729994240,"La libró ⁦@realDonaldTrump⁩

Según el fiscal especial, no hay elementos para perseguir judicialmente al Presidente… https://t.co/TTAnE20sxI",139,69,14,1
1108972928396189696,"RT @Foro_TV: Los diputados aprobaron la figura de revocación de mandato, ¿este es el primer paso en el camino a la reelección de AMLO, como…",140,0,17,1
1108916907753828352,AMLO y la CNTE: choque de poderes https://t.co/lhEQsbfn9m vía @Excelsior,72,71,20,1
1108705117535158273,AMLO y la CNTE: choque de poderes https://t.co/lhEQsbfn9m,57,178,67,1
1108556997887213568,¿La oposición será lo suficientemente taruga para darle la revocación del mandato a @lopezobrador_ en las eleccione… https://t.co/ri3hrRdLbf,140,1634,925,1
1108353475262513158,"¿Qué quiere AMLO con la revocación del mandato? 

Reelección o nueva Constitución?
https://t.co/IeIScY0UhL",106,396,231,1
