id,text,len tweet,likes,rt,position
1271560432982069255,"Investigación de allegados a Cuauhtémoc no afecta a gobierno federal: AMLO
",122,29,5,-1
1271547932026834946,"Descarta AMLO intervención de EU en caso Susana Prieto

",103,13,2,-1
1271545326361620480,"Prisión domiciliara para Villanueva, por razones humanitarias: AMLO
",115,22,8,-1
1271542822882213888,"Media AMLO entre Argentina y BlackRock para negociar deuda

",107,19,6,-1
1271497752451649539,"Incumplió EU en plan de inversión en el sureste: AMLO

",102,24,5,-1
1271495011721453571,"Niega AMLO afectaciones ecológicas por el Tren Maya

#Video 👉 https://t.co/3ba3wWVbpB https://t.co/zeHsT8RQjd",109,160,35,-1
1271473959486345216,"Reporta AMLO 345 mil empleos perdidos en mayo

",94,26,8,-1
1271459905216622601,"Descarta AMLO plan para nacionalizar ferrocarriles

",99,21,5,-1
1271452893925826560,"AMLO anuncia gira por Veracruz, Tlaxcala, Puebla, Hidalgo y Morelos

",116,49,10,-1
1271419628670136321,"AMLO y la prensa, ¿irregularidades fiscales en la 4T? | #ColumnasPolíticas de este viernes

",139,28,11,-1
1271301214936973320,"Plantea AMLO SNA con sala única; busca modificar estructura | #Entérate
",119,24,5,-1
1271258430523805696,"Propone AMLO sala nacional única para Sistema Anticorrupción
",108,43,19,-1
1271159092300701696,"Organismos autónomos se ‘servían con la cuchara grande’: AMLO

",110,209,43,-1
1271155414671912961,"Llama AMLO a una reactivación económica con equilibrio

",103,30,11,-1
1271145205220233224,"Cuando queda una vacante en organismos autónomos, me tomo mi tiempo: AMLO

",122,39,12,-1
1271135143357538304,"Exhorta AMLO a respetar la ley en conflicto sindical de Notimex

#Video 👉 https://t.co/JbuCuDpw9x https://t.co/FByVmLllax",121,36,12,-1
1271128880854831105,"Poderes Judicial y Legislativo llevan mucho tiempo parados: AMLO 

👉 https://t.co/B92O83YtjF https://t.co/TQsgrN1kWl",116,29,8,-1
1271122558855806977,"No conocía iniciativa para fusionar al IFT, Cofece y CRE: AMLO

",111,17,4,-1
1271068145931956224,La propuesta de Monreal y el calendario electoral de AMLO | #ColumnasPolíticas de este jueves… https://t.co/CCmWSgZkc4,118,13,5,-1
1271063229423333384,"#Titulares🇲🇽 | 4T quiere eliminar a reguladores: IFT, Cofece y CRE

",115,31,12,-1
1270920139152805889,Presidenta de la Cámara de Diputados pide a AMLO que implemente Ingreso Mínimo Vital de Emergencia… https://t.co/1IYtpwFsFP,123,53,20,-1
1270913776045510656,"Documento del BOA es espurio y AMLO lo usa para propaganda política: Mesa de Análisis
",133,443,159,-1
