id,text,len tweet,likes,rt,position
1270426721901133824,"Ya le dan validez hasta a un post-it que diga ""Plan para derrocar a AMLO: NO DIFUNDIR TOP SECRET"". https://t.co/u3mjqVXPic",122,5185,639,-1
1270399182902190080,"A la 4T le importa kilos de verga la ecología. Y al arte. Y la ciencia.

Se dice y no pasa nada.",96,40540,7752,-1
1270396319408861184,@FCA2021 @OficialFrenaaa @FONacionalMX @ChalecosMxAC @SocCivilMx @MXvsCORRUPCION @lopezobrador_ @CarlosLoret… https://t.co/UshBEaWhvC,133,9,0,-1
1270210875698208768,"AMLO: ¿Por qué los ambientalistas no reclamaron cuando el tren se hizo hace 80 años?

Los ambientalistas: Porque na… https://t.co/QD4AvMNSlQ",140,13147,2995,-1
1270183893157548032,AMLO del 2011 ya le hubiera hecho un cagadero al déspota de AMLO del 2020. https://t.co/VTsTT1MQo8,98,15653,3387,-1
1270168862244212736,"Cuando te conviertes en lo que juraste destruir: La 4T se vuelve contra Aristegui.

Mames la poca tolerancia a la c… https://t.co/zjvwTnDMB6",140,6809,1410,-1
1269457526405443585,"“Proceso es una revista neoliberal”.
—AMLO, en la mañanera del lunes. https://t.co/tiXdfAg1k3",93,8274,1673,0
1269446476398198786,"@GatitosVsDesig Estos programas clientelare… SOCIALES no eran derechos. Pero la 4T los hizo.
A lo mejor por eso me confundí.",124,95,5,0
1269354245259587584,@RealAlexGarciia @EnriqueAlfaroR Tienes razón. AMLO y Alfaro son igualitos.,75,32,0,-1
1269152365359230977,@AntonioAttolini Vaya. Parece que en la 4T lo único incluyente son los putazos.,79,311,22,-1
1268228639927091200,RT @YourAnonCentrar: CHUMIBEBÉ works for AMLO,45,0,1908,-1
