id,text,len tweet,likes,rt,position
1271571732214808578,#Video 📹 AMLO aseguró que Estados Unidos no ha cumplido con el compromiso de invertir 4 mil 800 millones de dólares… https://t.co/Tx1yQzBpbV,140,18,8,-1
1271566698911416320,#Video 📹 El presidente Andrés Manuel López Obrador descartó que en la Ciudad de México haya un rebrote de la pandem… https://t.co/M0J58vA8iF,140,17,7,-1
1271562927724728327,"En Palacio Nacional, el presidente López Obrador señaló que todo lo que hagan sus opositores se sabe, “lo digo para… https://t.co/VeG42nylc8",140,61,21,-1
1271561665583202310,#Video 📹 El presidente Andrés Manuel López Obrador estimó esta mañana que en el mes de mayo se perdieron 345 mil em… https://t.co/WALA0Tu3KV,140,12,4,-1
1271556632632270848,#Video 📹 El presidente Andrés Manuel López Obrador rechazó pretenda nacionalizar o transformar el sistema ferroviar… https://t.co/IL3z7d51RT,140,15,3,-1
1271551599698042880,#Video 📹 AMLO señaló que la reforma que alistan en materia de pensiones no es para meter miedo ni quitar las Afores… https://t.co/HdOkCJGRAG,140,26,5,-1
1271536499817881602,"#Video 📹 El presidente Andrés Manuel López Obrador anunció este viernes una nueva gira para la siguiente semana, en… https://t.co/YOxtgSOP6Y",140,12,4,-1
1271521400432427008,"Ante llamado de AMLO de salir de confinamiento; OMS pide ""mensajes coherentes"" de líderes latinoamericanos… https://t.co/ACprSBT3WB",131,290,92,-1
1271516367196286976,"El presidente Andrés Manuel López Obrador reveló que, a solicitud de su homologo de Argentina, Alberto Fernández, h… https://t.co/H3wUgXvV31",140,21,5,-1
1271491201569452033,. @lopezobrador_ acusó que las empresas privadas de este sector “se les pasó la mano” y que “tenían contratos leoni… https://t.co/eGDiVq38P5,140,6,5,-1
1271486168232681474,"El presidente López Obrador adelantó que el viernes 19 de junio, junto con la Jefa de Gobierno, Claudia Sheinbaum,… https://t.co/1QZFwNDpCW",139,37,8,-1
1271481135089008642,El presidente López Obrador insistió en que poco a poco y con las precauciones necesarias se deben retomar las acti… https://t.co/BedqBk5rqT,140,17,0,-1
1271461358693789696,#Moment ⚡️ “Prepara la 4T golpe a empresas ferroviarias” de @El_Universal_Mx https://t.co/qs6fkr7OWi,100,122,96,-1
1271450936280408064,"Es ahora cuando, obligadamente, el presidente AMLO debe dar la mejor demostración de su grandeza, visión y amor por… https://t.co/FuaYLzhOF7",140,11,9,1
