id,text,len tweet,likes,rt,position
1271498938466668544,"RT @DrNetas: ¿Y que tal si AMLO inicia su propia Afore para que quienes quieran confiarle su cuenta individual, lo hagan voluntariamente?",137,0,3009,-1
1271467261321191424,"RT @elisaalanis: Indica López Obrador que, como lo explica López Gatell, ya vamos para abajo. 🧐

Pero en entrevista a EFE, López Gatell aho…",140,0,75,-1
1271464789655633928,Razones para el optimismo de @lopezobrador_ https://t.co/ttlvOhglBO,67,41,14,-1
1271463218339291145,"RT @PagesBeatriz: #Editorial | Con la frase amenazante: “O están conmigo o están en mi contra”, @lopezobrador_ nos revela, por fin, su verd…",140,0,1161,-1
1271446884851298306,"Esto es parecido a la “ensalada de locos”. 

#COVIDー19 
#AMLOesUnPeligroParaMexico https://t.co/iVjGw7gw7X",106,60,15,0
1271443263925506048,"RT @elsoldepuebla1: #ALMOMENTO 🔴 Rompe #AMLO cuarentena de @MBarbosaMX, vendrá a #Puebla https://t.co/Qsr8lRu7lP",112,0,83,-1
1271441568394891266,"RT @MafaldaQuotes: Debes seguir siempre la senda del bien...

#MafaldaQuotes https://t.co/QQAQ43nq4t",100,0,119,1
1271437683370459142,"RT @MarioMal: “No creer mentiras falsas.” 

@lopezobrador_, 12 de junio, 2020",77,0,160,-1
1271435837977362433,"Basta con ver la reacción del presidente López Obrador, esta mañana, en relación con la nota principal de… https://t.co/CDZPHo2Wsz",130,856,466,-1
1271291599259987970,RT @GustavoSoteloV: La esquizofrenia de la #4T en tiempos de pandemia...,72,0,36,-1
1271291502770044931,"RT @ferdoval: AMLO jamás ha sido un demócrata. Nunca reconoció una derrota electoral y siempre denostó a quien no estaba a su lado. 

No sé…",140,0,287,-1
1271275432818638849,"RT @JesusZaldivarB: Es irresponsable esta declaración de @lopezobrador_ que pone en peligro a 🇲🇽. 
Todos los dias se incrementan los contag…",140,0,76,-1
1271255519551008768,"RT @pedroferriz3: Hace unos días @JesusRCuevas destapaba una especie de plan de Tuxtepec con LA BOA 

Hoy recita... 

Solo en la 4T 

Ojalá…",140,0,41,-1
1271248721964122113,RT @EjeCentral: #ElSexenioPerdido El gobierno de @lopezobrador_ pasará a la historia por ser el primer presidente en decrecer la economía e…,140,0,72,-1
1271248247160483851,"RT @JTrianaT: Según el mini Presidente, si no han salido de sus casas es por que les da miedo... increíble 🤦‍♂️

AMLO llama a superar miedo…",140,0,922,-1
1271239087228440576,"¡Qué poca madre! Primero, mentirosos, por decir que era un crédito que se solicitó desde el año pasado. Segundo, cí… https://t.co/6ftUN74tWK",140,1117,659,-1
1271233852753797123,"RT @aracelibs: López Obrador no entiende nada.

“Algunos sospechan que no le importa aumentar la pobreza, porque eso aumentaría su control…",139,0,180,-1
1271227034245697536,"RT @ferbelaunzaran: ¿Por qué @lopezobrador_ incluyó al @INEMexico y al @TEPJF_informa en el delirante texto de la BOA?

Para amedrentar a l…",140,0,410,-1
