id,text,len tweet,likes,rt,position
1271557135726292993,"""Los mexicanos debemos entender con toda claridad la lógica perversa que lleva AMLO en su quehacer cotidiano, es un… https://t.co/9TYc7jJz08",140,77,33,-1
1271546817725911040,Piden a #AMLO ingreso mínimo vital para trabajadores afectados por #coronavirus https://t.co/QzdfJOZQV7 https://t.co/r1dT9luK0X,127,21,5,-1
1271513599014404096,Afores son un problema gravísimo; cambios no son para meter miedo: #AMLO https://t.co/67RdA7tyXr https://t.co/3D0JvwuMee,120,31,6,-1
1271497492933357568,AMLO va contra 'factureras' y pedirá a contribuyentes que se regularicen ante el #SAT https://t.co/598qK98tsy https://t.co/RndMmPBe4f,133,9,2,-1
1271493466367733761,"Adversarios me acusan hasta con el Papa, pero no les cree, dice #AMLO https://t.co/8qV9JTF3B4 https://t.co/V7NLMMxxPf",117,33,6,-1
1271488433559449600,#AMLO colabora en renegociación de deuda de Argentina https://t.co/kofPrpChGq https://t.co/QbxoGbIm4H,101,7,7,-1
1271487432148414464,"""Los mexicanos debemos entender con toda claridad la lógica perversa que lleva AMLO en su quehacer cotidiano, es un… https://t.co/f01NIJKyvo",140,109,64,-1
1271482896792956928,#EU incumplió compromiso de inversión en Centroamérica para reducir migración: #AMLO https://t.co/tlsjYIzCc1 https://t.co/WLkwvcsY8v,132,10,1,-1
1271479373300822016,Sheinbaum propone que #CdMx empiece a regresar a 'nueva normalidad': AMLO https://t.co/YINKrQHq7E https://t.co/RebI1OVfma,121,12,3,-1
1271475346982858753,Vamos a defender intereses de la nación: #AMLO sobre freno a acuerdo de centrales eólicas https://t.co/RYRLG6dNNd https://t.co/OdcN7Qa6eE,137,26,4,-1
1271459241094606848,#AMLO descarta rebrote de coronavirus en México https://t.co/DfFetIiiRL https://t.co/p0Xr7ZF60N,95,63,10,-1
1271453201028579330,"Reino Unido se centra en levantar su economía tras ""histórica"" caída del #PIB https://t.co/VBZrjNf4TS https://t.co/yrylO8tuAJ",125,13,1,0
1271452194273931264,"""Tocamos fondo"" 

#AMLO asegura que México se paralizó completamente por pandemia de coronavirus… https://t.co/CdXNv9zLhD",121,10,3,-1
1271448167834214401,México se paralizó completamente por pandemia de #Covid19: #AMLO https://t.co/9rW0F5oorD https://t.co/yxjIShlT99,112,10,2,-1
1271446154597859329,#AMLO visitará cinco estados la próxima semana y viajará por carretera para minimizar riesgos por #Covid19… https://t.co/JgSVhgQDWl,131,9,3,-1
1271432062101225474,"#AMLO anuncia nueva gira la próxima semana

Iniciará en #Veracruz  https://t.co/8NPin3t53Q https://t.co/OAzhPS1Q70",114,9,2,-1
