id,text,len tweet,likes,rt,position
1269116209015873536,RT @ivonnemelgar: Esta carta del senador @DanteDelgado al Pdte @lopezobrador_ da cuenta de una polarización que escaló ante la miopía de un…,140,0,159,0
1268676578474463233,"RT @damianzepeda: El manejo de la crisis del #COVID19 ha sido un desastre por parte del gobierno de @lopezobrador_: ocultan información, no…",140,0,244,0
1267318404890783744,"RT @acostanaranjo: Ese Eruviel es un pícaro...

Mira que hacer un montaje de autos negros, y disfrazarse de @lopezobrador_ 

#YaNoHayMoral…",139,0,458,0
1267131946532065281,"En tiempos de la 4T, ¿cómo le hace una empresa para conseguir contratos millonarios días después de ser creada?",111,1575,573,0
1267116769908387841,¿De verdad piensas que @lopezobrador_ no sabía esto? https://t.co/Jo4b2PFeSH,76,722,329,0
1266780211175141377,". @greenpeacemx metió freno a política de confiabilidad de @SENER_mx. 

A pesar de la 4T, el futuro está en las ene… https://t.co/BY9Hl2SFlu",140,421,159,0
1265709339328704512,"RT @MiguelPenaflor: Es inaceptable que el gobierno de AMLO maquille las cifras de quienes se han infectado por #Covid_19. Y que, lamentable…",140,0,154,0
1265707818201432065,"RT @alarcondibujos: La 4T odia usar cubrebocas
pero ama poner bozales. 🙃
#TalCual",81,0,1875,0
1265700825533280256,"RT @kenialopezr: Urge que @lopezobrador_ y @HLGatell entiendan que los mexicanos #QueremosPruebas de Covid19!

No hay inteligencia en este…",139,0,1190,0
1265646395295436800,"1,2,3,4,5,6,7,8,9,10..., oootra vez la 4T demuestra que no entiende la gravedad de la violencia contra las mujeres.… https://t.co/owJ3QDmMXs",140,72,40,0
