id,text,len tweet,likes,rt,position
1271134340685066241,@FulgorSedano420 @AntonioAttolini #RedAMLO jajajaja ni siquiera el block mereces. https://t.co/1KBLusWshu,105,1,0,0
1270576917956030466,"Carlos Loera es lo más podrido de lo podrido de la 4T en Chihuahua, se sabe, se huele. https://t.co/bOPy3BwyIt",110,242,18,0
1270465096695742465,"BOA. 

Está tan culero el nombre de ""Bloque Opositor Amplio"" que hasta parece que se lo puso AMLO.",98,6181,784,0
1270125285975998467,"@Notimex @AristeguiOnline @Notimex_TV ""Todos están mal, menos yo"" -La 4T.",73,3830,231,0
1269772649917411329,"@AdrinArchila1 Claro, aparte la están promoviendo en todas las páginas Pro-AMLO de Facebook. O sea, es una autochupada de huevos nomás.",135,32,0,0
1267923215734714374,@lopezobrador_ https://t.co/TJVGJ4GXqx,38,427,10,0
1267323304987123712,Me salió una foto de la caravana de AMLO y por un momento pensé que era la protesta Anti-AMLO.,94,2675,232,0
1266873940237930496,"No mamen, hasta a mí me da coraje lo bien que me sale ser AMLOver.",66,764,9,0
1266856566793240576,"@FedericoArreola @epigmenioibarra @lopezobrador_ Un poco sí, la verdad.",71,103,3,0
1266134801544667136,"@ChumelTorres @rikymoreno No bajó la gasolina pero si hubo crecimiento económico. Bien ahí, AMLO.",97,488,17,0
1265035580116594688,"@pavlog_ Al contrario, estoy incumpliendo mi promesa, justo como AMLO, mi guía.

AVEDÁ.",87,51,0,0
1265010183941447680,"Hoy voy a tuitear como si fuera REDAMLO.
Entenderé sus unfollows.",65,1451,28,0
