id,text,len tweet,likes,rt,position
1271566000119480329,"RT @latinus_us: La OMS pide a México “mensajes coherentes” tras llamado de AMLO a dejar confinamiento. #COVID19 #Coronavirus
#Latinus #Info…",140,0,351,-1
1271270502468911106,"RT @latinus_us: Hoy en #Loret Capítulo 2, México polarizado. En el estudio, dos señalados en ""la Boa"". Y Peña Nieto y la 4T comparten contr…",140,0,1502,-1
1271084853031768065,"RT @latinus_us: Actividad industrial en México se desploma 25.1% en abril, reporta Inegi.
#Latinus #InformaciónParaTi 
",140,0,62,-1
1271032819989581825,"RT @El_Universal_Mx: #EnPortada Proyectos energéticos de la 4T preocupan a la ONU
",129,0,80,0
1270691210479505408,RT @El_Universal_Mx: ¿Con qué derecho el presidente nos exige a los mexicanos definirnos a partir de él? Sabemos que @lopezobrador_  tiende…,140,0,715,-1
1270673411010945030,El que se tiene que definir es él. (⁦@lopezobrador_⁩ ) #MiColumna ⁦@Univ_Opinion⁩ en ⁦@El_Universal_Mx⁩  https://t.co/0HJleRugyV,128,3445,1336,-1
1270564528326090752,🤦🏻‍♂️ https://t.co/QD4TTo2LlD,29,2490,723,0
1270439212966436865,"RT @WRADIOMexico: AL AIRE | Entrevista con @RPerezGay, analista y escritor  #AsiLasCosasConLoret @CarlosLoret 

📌 El BOA de AMLO

•Por el 9…",140,0,22,-1
1270311129114345476,"RT @postopinion_es: Cuando era opositor, AMLO hablaba de “los muertos de Calderón” o “los muertos de Peña Nieto”.

Quién lo iba a pensar: a…",140,0,658,-1
1270019096470568961,"RT @latinus_us: Préstamo de mil mdd del Banco Mundial es “una operación de rutina”: AMLO. #COVID19 #Coronavirus 
#Latinus #InformaciónParaT…",140,0,256,-1
1270019079793971201,"RT @latinus_us: No me hago la prueba de #COVID19 porque no tengo síntomas, dice AMLO. #Coronavirus 
#Latinus #InformaciónParaTi 
",140,0,129,-1
1269957451975200769,"#otras plumas: La piedra en el zapato de ⁦@lopezobrador_⁩, texto de ⁦@aaguirre_g⁩  https://t.co/r0Uxszpzyt",106,1161,532,-1
1269949313305792513,Los muertos de ⁦@lopezobrador_⁩ en México. #MiColumna en ⁦@postopinion_es⁩ del ⁦@washingtonpost⁩  https://t.co/MX4knNsh6A,121,4679,2207,-1
