id,text,len tweet,likes,rt,position
1271522330192347138,#VideosLaJornada @lopezobrador_ aseveró que #EU no cumplió su compromiso de generación de empleos en el contexto de… https://t.co/cAxC3TiQpw,140,5,2,-1
1271495292098097155,"#LaMañanera ""No termina de sorprenderme el tamaño de la corrupción que imperaba, aún encuentro cosas"", dijo #AMLO.… https://t.co/1rq06jSSs9",139,108,60,-1
1271482261859426305,#VideosLaJornada @lopezobrador_ desmintió la nacionalización del sistema ferroviario. Aseguró que no se ha plantead… https://t.co/Xe5XyMw2Wt,140,51,28,-1
1271464902553632769,#LaMañanera @lopezobrador_ dijo que la caída del 30% de la producción industrial (en abril) es resultado lógico de… https://t.co/j9pdCRKQ5c,139,22,5,-1
1271448745398407168,"#AMLO por conciliar en el caso @Notimex 

Mediarán vocero presidencial y @STPS_mx en el conflicto laboral. 
Respeto… https://t.co/SjPQNTrDAM",140,64,22,-1
1271434676692037633,"Hay que vencer la #epidemia y a nuestros miedos: #AMLO

Ingresar a la #NuevaNormalidad no sólo es asunto de autorid… https://t.co/Qs5y3RIajO",140,15,10,-1
1271421825558470656,"#LaMañanera El lunes, #AMLO irá a Xalapa, Veracruz; el martes, en Tlaxcala; para el miércoles en Puebla; el jueves,… https://t.co/mhKzr6h44b",140,38,15,-1
1271192987783974913,"La presidenta del Sistema Nacional Anticorrupción, @CruzLesbrosR señaló que buscará a @lopezobrador_ para dialogar… https://t.co/2zpUOhli4U",139,15,4,-1
1271185440150704128,"El presidente @lopezobrador_  y el gobernador mexiquense, @alfredodelmazo revisaron el plan de interconexión entre… https://t.co/rkzKtk3ZRE",139,14,7,-1
1271163177842216962,"#VideosLaJornada @lopezobrador_ dijo que “si es para ahorrar”, está de acuerdo con la iniciativa que propuso… https://t.co/ktuawkU0CL",133,22,8,-1
1271154300211863552,"#Astillero, columna de @julioastillero.

AMLO: definir los campos | El estratega electoral necesita confirmar la di… https://t.co/FstGagnvdD",140,10,2,-1
1271123261242425346,#LaMañanera @lopezobrador_ dijo que hay buenas relaciones con #EU para coordinar lo que sucederá en esta zona. Subr… https://t.co/clVd1pc0ud,140,13,6,0
1271100956676165638,"#LaJornadaOpina Organismos autónomos en la #4T | Existe una necesidad de cuestionarlos, no sólo porque son ajenos a… https://t.co/982VS7QuTv",140,9,11,-1
1271097146830446594,"#LaMañanera Se crearon, dijo @lopezobrador_,  muchos organismos “innecesarios y casi todos muy costosos”. 
""Ojalá q… https://t.co/6IA7Pq1c6R",140,46,6,-1
1271093528777691136,"#LaMañanera ""Hay que buscar el diálogo con apego a la legalidad y a lo que es justo"", dijo @lopezobrador_. 
Informó… https://t.co/uKHm4b6Fb2",140,67,27,-1
