id,text,len tweet,likes,rt,position
1271562933126955011,"AMLO defenderá su reforma eléctrica pese a suspensión de juez. 
#Latinus #InformaciónParaTi 
",116,54,24,-1
1271544832872325121,La OMS pide a México “mensajes coherentes” tras llamado de AMLO a dejar confinamiento. #COVID19 #Coronavirus… https://t.co/qhZUWwqaFC,133,709,409,-1
1271519926793252865,"Prisión domiciliaria a exgobernador de Quintana Roo, Mario Villanueva, fue una cuestión humanitaria, dice AMLO.… https://t.co/vSzOIbXgzP",136,60,14,-1
1271505089040089088,"Pese a datos sobre #COVID19 en México, AMLO asegura que no habrá rebrote. #Coronavirus 
#Latinus #InformaciónParaTi 
",140,179,60,-1
1271486665022943232,"RT @latinus_us: Hoy en #Loret Capítulo 2, México polarizado. En el estudio, dos señalados en ""la Boa"". Y Peña Nieto y la 4T comparten contr…",140,0,1509,-1
1271452460717092870,"Se debe resolver el problema de las Afores antes de que sea “gravísimo”, dice AMLO. 
#Latinus #InformaciónParaTi 
",137,211,62,-1
1271446656446279681,"No soy tapadera, dice AMLO sobre investigación a equipo del “Cuau”.
#Latinus #InformaciónParaTi 
",120,119,30,-1
1271433478974902272,"AMLO anuncia gira la próxima semana por el centro del país. 
#Latinus #InformaciónParaTi 
",113,65,21,-1
1271289886100738048,"Movimiento Ciudadano acusa a Morena y la 4T de “lucrar con la tragedia” del caso de Giovanni López. 
#Latinus… https://t.co/qRetNmOLOQ",134,145,33,-1
1271264104561414144,"Hoy en #Loret Capítulo 2, México polarizado. En el estudio, dos señalados en ""la Boa"". Y Peña Nieto y la 4T compart… https://t.co/jCyzFvkv1S",140,3912,1509,-1
1271260967326945280,"Aarón Padilla tiene #COVID19 y su estado de salud es delicado. #Coronavirus
#Latinus #InformaciónParaTi
",127,58,16,-1
1271194246612234248,"Combate a la corrupción baja en el gobierno de AMLO, según estudio.
#Latinus #InformaciónParaTi 
",120,148,53,-1
1271115742369505287,"Pese a nuevo récord de contagios en México, AMLO llama a superar los miedos y salir. #COVID19 #Coronavirus
#Latinus… https://t.co/SFG9judFdv",140,282,140,-1
1271094372394729477,"“Si es para ahorrar estoy de acuerdo”, dice AMLO sobre fusión de IFT, Cofece y CRE. 
#Latinus #InformaciónParaTi 
",137,35,13,-1
1271080427818749954,"Actividad industrial en México se desploma 25.1% en abril, reporta Inegi.
#Latinus #InformaciónParaTi 
",126,124,62,-1
1271076216062312448,"AMLO presenta plan para aperturar cuentas bancarias a menores de edad y depositarles beca. 
#Latinus… https://t.co/iAQtLvkiSi",125,199,61,-1
1270834683857842177,"Veamos quién ha estado saboteando a @lopezobrador_ todo este tiempo...

#SátiraSurrealista de @vampipe
#Latinus… https://t.co/qMjdj1K4K0",136,3662,1557,-1
1270737382812332034,"Estoy en contra del racismo y la discriminación, dice AMLO sobre caso Floyd.
#Latinus #InformaciónParaTi 
",129,34,7,-1
1270726351000043520,"“Es legítimo ser opositor”, dice AMLO y defiende difusión de la “BOA”. 
#Latinus #InformaciónParaTi 
",124,54,14,-1
1270718542682324993,"AMLO destaca aumento en recaudación de impuestos durante 2020 pese a pandemia. #COVID19 #Coronavirus 
#Latinus… https://t.co/cDi3tCiyN5",135,37,8,-1
