id,text,len tweet,likes,rt,position
1271284958229823488,"RT @Foro_TV: ‘A favor o en contra de la 4T’, el análisis de @magalonik @eledece y @sabinobastidas sobre la declaración del presidente López…",140,0,14,0
1271284833629736961,"RT @Foro_TV: En #EsLaHoraDeOpinar, @leozuckermann @magalonik @sabinobastidas y @eledece analizan la postura de AMLO sobre quienes están a f…",140,0,13,0
1271284691111489537,RT @MAM_Rytv: 103.3 FM - Grupo Fórmula/ José Cárdenas Informa/ Opina @leozuckermann que el gobierno del presidente @lopezobrador_ busca con…,140,0,9,0
1271176012097679360,RT @DeniseDresserG: Al difundir el “Proyecto “Boa” el presidente @lopezobrador_ decidió diseminar noticias falsas porque forma  parte de un…,140,0,2727,0
1270948310245752832,RT @Foro_TV: ¿Existe realmente un bloque opositor contra el Gobierno federal como lo asegura el presidente López Obrador? @leozuckermann @D…,140,0,29,0
1270948229710929920,RT @Foro_TV: Sigue el análisis de @DeniseDresserG @pablo_majluf y @marriagad sobre ‘A favor o en contra de la 4T’ en #EsLaHoraDeOpinar con…,139,0,16,0
1270560298538278912,RT @Foro_TV: ¿Es positivo para el país que el presidente López Obrador divida a los mexicanos en dos polos opuestos? @leozuckermann @paulet…,140,0,35,0
1270558985440104448,RT @Foro_TV: Sigue el análisis de @pauletta_sofia @carlosbravoreg y @gibranrr sobre la declaración del presidente López Obrador sobre la tr…,140,0,15,0
1270524438472085508,"@lopezobrador_ no puede contar más del dos. O conmigo o en contra

Vieja historia: políticos fanáticos que creen qu… https://t.co/EoyTiiWboi",140,85,28,0
1270350555693473792,"RT @Foro_TV: En #EsLaHoraDeOpinar, @leozuckermann @JorgeGCastaneda y Javier Tello analizan las declaraciones de AMLO sobre quienes están a…",139,0,20,0
1270350383894781954,El llamado de AMLO al fanatismo https://t.co/W0Q4tDyEqs,55,295,107,0
1270239384634187780,RT @Foro_TV: ¿AMLO busca conseguir el triunfo para #Morena en las próximas elecciones en Jalisco? @leozuckermann @JorgeGCastaneda y Javier…,139,0,26,0
1266228995441319937,RT @Foro_TV: ¿Por qué el presidente López Obrador no quiere usar el indicador de crecimiento del PIB? @leozuckermann @ValeriaMoy @sabinobas…,140,0,56,0
1265176972126089218,RT @Foro_TV: ¿Hay contradicción en los mensajes del Gobierno de AMLO frente a la pandemia del coronavirus? @leozuckermann @aguilarcamin @Jo…,140,0,26,0
1263694684917907457,"RT @Foro_TV: ¿Hay corrupción en los contratos para energía limpia, como ha señalado AMLO? @leozuckermann @magalonik @sabinobastidas y @eled…",140,0,23,0
1255733856184852480,"RT @Foro_TV: En #EsLaHoraDeOpinar, @leozuckermann @DeniseDresserG @marriagad y @pablo_majluf analizan la iniciativa propuesta por AMLO de m…",140,0,26,0
1255649792396410880,RT @leozuckermann: @lopezobrador_ no ha perdido su genio comunicativo con la población que lo apoya y le cree en la presente crisis sanitar…,140,0,36,0
1255649334076436480,@lopezobrador_ no ha perdido su genio comunicativo con la población que lo apoya y le cree en la presente crisis sa… https://t.co/GmqkJND2rK,140,114,36,0
1255514783589294083,"López Obrador convence a la población, no a los inversionistas https://t.co/xzjyCgtxfV",86,390,114,0
1255225840117432324,"Ya lo sabemos: a @lopezobrador_ le gusta la pelea

Cada día, en su conferencia matutina, encuentra a un supuesto vi… https://t.co/F09IDFjvVv",140,1223,461,0
1255000768311988224,RT @Foro_TV: ¿Cómo es la relación de los empresarios con AMLO? @leozuckermann @JorgeGCastaneda @aguilarcamin y Javier Tello lo examinan en…,139,0,15,0
