id,text,len tweet,likes,rt,position
1271559863756369920,"¡Las noticias! 

AMLO asegura que en México no se espera rebrote de COVID y que ya vamos para abajo, las cifras van… https://t.co/NKnRn3Bjit",140,104,39,-1
1271513853554094081,El impacto del COVID-19 provoca que muchos niños entren en el mundo laboral empujados por la crisis económica y la… https://t.co/bcmwfDm4To,139,19,3,-1
1271513222718332938,"El lunes inicia López Obrador una nueva gira. Se va a ir toda la semana. Estará en Veracruz, Tlaxcala, Puebla, Hida… https://t.co/IRQioHEEY6",140,77,27,-1
1271479879180132358,"#AHORA ""Vamos a defender intereses de la nación"", señaló López Obrador, quien confirmó que su gobierno litigará acu… https://t.co/kOWceVIS29",140,12,10,-1
1271478677247836165,"#AHORA El presidente López Obrador estima que se perdieron, durante mayo, 345 mil empleos a causa de la pandemia de… https://t.co/MTuuH6gHGH",140,12,7,-1
1271475115595833344,"La epidemia no ha terminado y puede repuntar; todo el país sigue en semáforo rojo, afirmó el subsecretario Hugo Lóp… https://t.co/4THuYODhSz",140,69,27,-1
1271469501729693696,"El presidente López Obrador informó que, en próximos días, dará a conocer la manera en que empresas “factureras” re… https://t.co/loahna9Np7",140,74,21,-1
1271449031663812610,"Confirma López Obrador que se le otorgó la prisión domiciliaria al exgobernador de Quintana Roo, Mario Villanueva,… https://t.co/rduS2Q3IqI",139,13,7,-1
1271439402284302336,#AHORA El presidente López Obrador volvió a insistir que los contagios de COVID-19 van a la baja en el país y que l… https://t.co/s1MbLUZtYe,140,882,309,-1
1271436383404597250,#AHORA Niega el presidente López Obrador que se busque nacionalizar los ferrocarriles https://t.co/fT0K9agVTp,109,70,22,-1
1271435148165287939,"Afirma López Obrador que ayer, en reunión con autoridades sanitarias, avanzó la propuesta de la Jefa de Gobierno, C… https://t.co/YLGApbm39e",140,16,9,-1
1271434957341278208,"AHORA:  ""Ya vamos para abajo, en descenso. Nos han costado trabajo, pero vamos trabajando"", señala López Obrador al… https://t.co/Sb5bqRj7Kj",140,16,8,-1
1271426819506540553,No considera López Obrador que el gobierno de Estados Unidos tenga alguna implicación en la detención de Susana Pri… https://t.co/Elg8F25KmQ,140,6,3,-1
1271425790433992704,"Afirma López Obrador que su gobierno está pendiente del caso Susana Prieto.

Advierte que ""no se puede inventar o f… https://t.co/LKcFdtcvE2",140,6,4,-1
1271424558206238721,López Obrador confirma que hoy a mediodía el IMSS dará a conocer el resultado de los empleos que se perdieron en el… https://t.co/M2MOB9xERB,140,4,5,-1
1271423187050430465,"#AHORA Las Afores van a convertirse en un problema grave y tenemos que resolverlo, afirmó López Obrador. 

Detalles… https://t.co/ihYiOndhbC",140,163,77,-1
1271422213040807936,"López Obrador afirma que su gobierno va a ir contra 'facturemos' y pedirá, a toda la gente que 'fue sorprendida' ut… https://t.co/86XKVPMOex",140,6,5,-1
1271419540971364354,"""Yo estoy haciendo lo que di a conocer durante campaña"", señala López Obrador. Afirma que en su libro 'La Salida' a… https://t.co/0oh0fC931F",140,11,2,-1
1271418723786727424,"#AHORA Confirma López Obrador que saldrá de gira la próxima semana. Esta vez será en cinco estados del país.

Detal… https://t.co/Q8hjdT00NF",140,65,23,-1
1271415594211061760,López Obrador afirma que los trabajadores podrían recibir la mitad de lo que les corresponde por haber ahorrado par… https://t.co/VTgUCgeYuU,140,10,6,-1
1271413901347954689,Confirma López Obrador que las reuniones del Gabinete de Seguridad la próxima semana tendrán lugar el lunes en Xala… https://t.co/RI0K3CsdVu,140,8,5,-1
1271413459951984641,"#AHORA Da inicio la conferencia matutina del presidente Lopez Obrador. 

EN VIVO: https://t.co/LHpEzH0kSc https://t.co/UBtw0BleKS",129,41,4,1
1271280310383185920,"No está confirmada la visita del presidente López Obrador a Estados Unidos; aquí la entrevista con @r_velascoa

",135,30,7,-1
1271192986668478464,"No está confirmado el viaje de López Obrador a Washington, explica Roberto Velasco, nuevo director para América del… https://t.co/1KvIdq0MHW",140,26,2,-1
