id,text,len tweet,likes,rt,position
1271488919293644806,"En la #Mañanera, AMLO afirmó que su gobierno irá a tribunales luego de que empresas emprendieron batalla legal sobr… https://t.co/ZgCOBIWp4a",140,0,0,0
1271484017704079360,"AMLO llamó a los mexicanos a prepararse para salir.
Aseguró que se debe recuperar plenamente las libertades que se… https://t.co/gjgTGqio5l",139,0,0,0
1271477234096799755,"AMLO aclaró que su gobierno nunca ha planteado la nacionalización de ferrocarriles, pues apuntó que el expresidente… https://t.co/14P5JK8cUV",140,4,3,0
1271471291091034112,AMLO recordó que #EUA no ha cumplido con su compromiso de invertir en el desarrollo sur-sureste de #México.… https://t.co/4mMpDkYKOb,132,1,0,0
1271465290333896711,"En la #Mañanera, AMLO rechazó que su gobierno vaya a reformar las Afores. https://t.co/GMXTOOTad7 https://t.co/mDRbOBMQQT",121,1,1,0
1271460857613094915,"AMLO cerró la semana con la #Mañanera.
Entérate de lo más relevante de su mensaje: https://t.co/u26LE7Qx52 https://t.co/4aJU00Suzg",130,0,1,0
1271459447039234048,AMLO ya anunció cuándo y dónde será su gira de la próxima semana. Entérate de los detalles aquí:… https://t.co/8UIBu1sS5X,121,1,0,0
1271456970009202690,"AMLO ya habló sobre la prisión domiciliaria de Mario Villanueva.
Según el presidente, ""es una situación especial"" y… https://t.co/bwbv50UCji",140,5,4,0
1271451782691131392,"Según AMLO, algunos empresarios fueron con el papa Francisco para acusarlo; de acuerdo al presidente, el pontífice… https://t.co/h1r3hCLGUc",139,3,2,0
1271450777266028547,"En la #Mañanera, AMLO afirmó que su gobierno irá a tribunales luego de que empresas emprendieron batalla legal sobr… https://t.co/eXs5U4PDJi",140,1,1,0
1271446021357346817,AMLO dijo apoyar la propuesta de @Claudiashein para reabrir actividades ante la disminución de casos por #COVID19 e… https://t.co/SAqEQ7CP8H,140,5,2,0
1271444309288550400,"#Actualizado | En la #Mañanera, AMLO indicó que ya se están instalando antenas y fibra en varias regiones para cone… https://t.co/R5wf1ayhpo",140,4,3,0
1271442762215436288,"AMLO llamó a los mexicanos a prepararse para salir.
El presidente aseguró que se debe recuperar plenamente las libe… https://t.co/DNZ4kHpLmV",140,1,0,0
1271440355641171968,"De acuerdo con AMLO, no habrá rebrotes de #COVID19 en #México, ya que el comportamiento de la pandemia es favorable… https://t.co/QTek36Pgk3",140,7,9,0
1271439813405786113,"AMLO indicó que el presidente de #Argentina, Alberto Fernández, le marcó para que lo ayudara con el manejo de la de… https://t.co/tEHoHRWw6A",140,4,4,0
1271437981275041793,#Actualizado | AMLO indicó que debería delimitarse las actividades que ya pueden realizarse durante la pandemia del… https://t.co/cPxgpmRa3Q,140,1,0,0
1271436461280239618,"#Actualizado | En la #Mañanera, AMLO pidió regresar poco a poco a las actividades y respetando las medidas sanitari… https://t.co/4wwQxeOVKv",140,0,0,0
1271434785680838657,#Actualizado | AMLO rechazó que #México tenga rebrotes de #COVID19. https://t.co/6XLglPdT1K https://t.co/C86fF0sM4G,115,0,0,0
1271434138751578117,"AMLO reveló que su hijo menor le cuestionó sobre el Tren Maya, luego de que un maestro le comentara que el proyecto… https://t.co/hLaU21FNtI",140,32,12,0
1271429756295184384,AMLO recordó que durante abril se redujo el consumo de gasolina en un 70 %. https://t.co/eLJMuadltu https://t.co/RxkJeknP9R,123,4,0,0
1271428775717322753,"#Actualizado | AMLO reveló que su propio hijo Ernesto l pidió una explicación del Tren Maya, porque de acuerdo a un… https://t.co/6Aj1cRM2tR",140,1,1,0
1271428720386027521,"AMLO estima que en mayo, sean 345 mil empleos perdidos a consecuencia de la pandemia del #COVID19.… https://t.co/ZmrHyYO62A",123,1,1,0
1271427887372079104,"#Actualizado | ""No cumplió el gobierno de #EUA con el ofrecimiento de destinar inversión al sur- sureste"": AMLO.… https://t.co/upISnZjnar",137,0,0,0
