id,text,len tweet,likes,rt,position
1271566748249141248,"#LoMásVisto

La @opsoms pidió a AMLO y a los líderes del mundo enviar mensajes coherentes a la población en torno a… https://t.co/bZxbcsEtHq",140,115,56,-1
1271523894214692866,"#Covid_19 Escucha el apoyo de @lopezobrador_ al plan de reapertura de #CDMX, los contagios de funcionarios en Chiap… https://t.co/SWNN96wTFw",140,9,10,-1
1271519368506224640,La @opsoms pidió a AMLO y a los líderes del mundo enviar mensajes coherentes a la población en torno a la pandemia… https://t.co/hOp0EoIkSi,139,429,204,-1
1271507597888192512,"#LoMásVisto

El Presidente @lopezobrador_ respaldó el plan de la Jefa de Gobierno, Claudia Sheinbaum, para iniciar… https://t.co/pMGCXGPDDf",139,7,3,-1
1271472235379916801,"¿De qué habló el titular del Ejecutivo @lopezobrador_ en la conferencia de este 12 de junio?

-Cambio en Afores no… https://t.co/sxxYGxRHqP",139,9,2,-1
1271460314685616128,"El Presidente @lopezobrador_ respaldó el plan de la Jefa de Gobierno, Claudia Sheinbaum, para iniciar la reactivaci… https://t.co/H8pdP0MQV7",140,12,5,-1
1271431489864032256,"Ante indagatorias de UIF y FGR a círculo cercano a Cuauhtémoc Blanco, AMLO dijo que no es 'tapadera de nadie' y que… https://t.co/M2U4z42E83",140,89,38,-1
1271427017427353600,Cambio en Afores no es para generar miedo.- AMLO https://t.co/Ta3Mu0CAXB,72,116,59,-1
1271415809471123467,"El Presidente López Obrador alista nueva gira de trabajo para la próxima semana por Veracruz, Tlaxcala, Puebla, Hid… https://t.co/H5rINJtbhG",140,20,7,-1
1271260681409626112,"El Presidente @lopezobrador_ pidió a ciudadanos vencer el miedo a salir mientras el País inicia #reapertura, luego… https://t.co/g8nfnMIhsK",139,21,11,-1
1271239736359899137,"El activista Alfredo Lecona acusó a la titular de CNDH, Rosario Piedra, de estar al servicio de AMLO al no presenta… https://t.co/JHXBsAZvOc",140,744,345,-1
