id,text,len tweet,likes,rt,position
1270817248010096640,"RT @Viri_Rios: Ahora sí, ya se les acabó! #AMLO hará que los millonarios paguen sus impuestos 😏

Escribí en @El_pais sobre cómo funcionará…",139,0,174,0
1269988997826113536,"RT @Nubia_SCG: ¿Por qué AMLO no es merecedor de las halagadoras líneas del ilustre @EnriqueKrauze? 

Se me ocurren un millón de razones....",139,0,956,0
1267161764690407424,RT @Britovsky: Cosas que descolocan: la oposicón denunciando a AMLO de comunista cuando (lamentablemente) no está en agenda ni siquiera una…,140,0,60,0
1267089438695321601,AMLO sí ha sido explícito. Lee sus libros. Igual no te gusta o sí. https://t.co/ykkaFYiSoo,90,426,80,0
1267077454398537731,"Te pregunté cuál es la propuesta de los golpistas, aparte de tumbar a @lopezobrador_,  y me contestas esto. 

Es de… https://t.co/HrlVgOVh5q",140,249,47,0
1267071419126444033,Te digo: lo único q proponen es AMLO no. Suerte con los electores. https://t.co/IVxCxbDY2A,90,64,16,0
1267069592309919744,Este es el problema. Su alfa y omega es AMLO. En medio no hay nada. https://t.co/mZGwoICTSC,91,43,9,0
1267068476390326272,"Yo no defiendo a @lopezobrador_ No soy de Morena. Pero la Derecha, uds, me dan pánico, por el vacío q proponen, un… https://t.co/8X3gURvr6s",139,2527,676,0
1267053799509594112,Lo dicen en cada ocasión. Quieren quitar a López Obrador. Ese es el alfa y el omega del proyecto. No hay más.… https://t.co/e7WCwQnorn,134,260,79,0
1266608626023596033,RT @luisreyva: @sabinaberman @faleg @JLozanoA @lopezobrador_ Porque mejor no dejan de pelear por tonterías y se ponen las pilas. Más de 9 m…,140,0,6,0
1266488754815959040,Estimado @JlozanoA En este parte @lopezobrador_ está narrando lo que le dijo el líder de los Conservadores a Santa… https://t.co/vV1reuFbFF,139,4889,2205,0
1266453305439338497,"RT @nncattan: Remember how #AMLO shamed Elektra and Coppel for staying open despite the coronavirus?

And how he said both companies FINALL…",140,0,69,0
1266436255304126464,RT @Ccabrera_24: @ii57766194 @sabinaberman @lopezobrador_ Para variar tienes que ser bot. Ahorita te mando bloquear @ii57766194,127,0,1,0
