id,text,len tweet,likes,rt,position
1271464904495706112,RT @vampipe: El presidente @lopezobrador_ nos dice en la mañanera que @Claudiashein recomienda que empecemos a salir en la CDMX poco a poco…,140,0,723,0
1271464204940316673,"@dj_hiram @Esa1d @hdma0415 @Claudiashein Todo mundo sabe que voté por AMLO, pero tengo la mente tan abierta que logré ver lo malo en él.",136,1,0,0
1271459714975612932,@pir0tecnia @Claudiashein La boca de AMLO diciendo las palabras de Sheinbaum. ¿Qué no viste el video?,101,1,0,0
1271458992292855809,@MariaJoseCadena @lopezobrador_ En vista de satélite sale todo verde. https://t.co/a5GMVTWNLc,93,51,7,0
1271453283396263936,@PeatonDelSur @lopezobrador_ @Claudiashein Lo han hecho mal por varios meses... y faltan más. En lugar de haberlo h… https://t.co/WrUe6YjB2d,140,46,9,0
1271452438558576647,@AbrahamKingRom @lopezobrador_ @Claudiashein Están poniendo en riesgo la vida de los mexicanos... pero ahí les va e… https://t.co/woXxLDQic0,140,171,8,0
1271439410895245313,"@pir0tecnia @Claudiashein Que poco a poco, pero sí. Eso dijo AMLO.",66,0,0,0
1271438978655322112,@Clovisortiz @lopezobrador_ @Claudiashein ¿Dices que el presidente es un mentiroso?,83,79,3,0
1271437228254932995,El presidente @lopezobrador_ nos dice en la mañanera que @Claudiashein recomienda que empecemos a salir en la CDMX… https://t.co/D1wTzoJPBY,139,2097,723,0
1271154535201935364,"@Enea_Salgado @lopezobrador_ @LOVREGA Es hasta criminal pedirle a la gente eso. 

Ya sabemos que los que lo necesit… https://t.co/Bj09bKYQoG",140,25,4,0
1271098814498291712,@GuadalupanoT @MRAngelmoreno80 @lopezobrador_ https://t.co/PFhbT0NMzD,69,0,0,0
1271098421538062336,@AdrianSolca @AfgJesus69 @JLozanoA @JesusRCuevas @lopezobrador_ Hay que mandar CV.,82,21,1,0
1271068994691309569,@veronicalderon @JesusRCuevas @lopezobrador_ https://t.co/9plpP4VsxZ,68,8,0,0
1271066111581224963,"Póngase un curita, @lopezobrador_. Cuídese. https://t.co/eOVzz4x0ea",67,1770,299,0
1270875197613256704,"RT @latinus_us: Veamos quién ha estado saboteando a @lopezobrador_ todo este tiempo...

#SátiraSurrealista de @vampipe
#Latinus #Informació…",140,0,1555,0
1270811877560516609,"El sketch de la 4T. 

Una comedia que no termina nunca. https://t.co/gZkavm06YR",79,697,147,0
1270476693724151809,"Bueno, pues hoy @lopezobrador_ se inventó supuestos ataques de una BOA. https://t.co/vgyJO8EG4X",95,12892,3115,0
1270445112670261248,"- El presidente @lopezobrador_ me mandó una carta felicitándome por mis memes.

- ¿Y cómo sabes que sí es real?

-… https://t.co/pqZ0jqF3Bc",139,6398,882,0
1270352789961572354,"@AdrianSolca @lopezobrador_ Jajaja, buena idea.",47,176,3,0
1270349376205066248,Dice @lopezobrador_ que ya empezó el concurso... ¡Suerte a todos! https://t.co/shmXNKfE7L,89,5472,1025,0
1269850513954275334,"El Banco Mundial nos prestó 1,000 millones de dólares. 

Hace apenas 13 días @lopezobrador_ había dicho que no ende… https://t.co/CdkZxKDbHs",140,13086,5255,0
1268398370802020353,"RT @latinus_us: Pobre @lopezobrador_, ya tiene bien graffiteado su tren.

#SátiraSurrealista de @vampipe
#Latinus #InformaciónParaTi https:…",140,0,2978,0
