id,text,len tweet,likes,rt,position
1271292537706147845,La Facultad de Ciencias de la #UNAM está lista para iniciar la fabricación de millones de pruebas rápidas para dete… https://t.co/6pMv7AG4tH,140,18,14,0
1271282881369976833,.@salmahayek y @RealGDT apoyan el uso del Fondo de Emergencia Audiovisual para ayudar a trabajadores de la industri… https://t.co/4tF8NlsJqZ,140,3,1,0
1271269589486362630,".@Silvano_A, gobernador de #Michoacán, pidió al presidente #AMLO no suspender el servicio básico de luz, durante la… https://t.co/2894oqcIVP",140,2,0,0
1271234054155878400,".@Silvano_A, gobernador de #Michoacán, solicitó a AMLO invertir el préstamo del Banco Mundial para enfrentar el… https://t.co/oDZ4MoJORM",136,4,2,0
1271206891109179392,.@Laura_Rojas_ declaró que está de acuerdo con AMLO sobre retomar actividad legislativa e hizo un “llamado a todos… https://t.co/N60P7YMfYi,139,2,0,0
1271197094129385475,"Dante Delgado asegura que ""AMLO está metido de lleno en proceso electoral ya que Morena no tiene la capacidad de se… https://t.co/2CH6M8xao9",140,5,2,0
1271194569728720897,"Familiares de desaparecidos exigieron una reunión con AMLO, @M_OlgaSCordero y @A_Encinas_RH para exponer las dificu… https://t.co/xYfOeGJeky",140,6,3,0
1271191792784990208,.@INEMexico recibió una queja del #PAN contra AMLO porque presuntamente utiliza los recursos públicos indebidamente… https://t.co/LFfbooiqgY,140,7,3,0
1271176657760669707,"Según AMLO, poco a poco se dará la apertura de la frontera entre #México y #EUA, luego de que esta fuera cerrada de… https://t.co/g6f1zkAZAZ",140,5,1,0
1271127237857808385,"RT @politicomx: “Ya comenzó el proceso de reapertura a la #NuevaNormalidad"": AMLO.
El presidente llamó a la gente a vencer sus miedos a la…",139,0,12,0
1271121814618550274,"AMLO aprovechó la #Mañanera para llamar a los legisladores a resolver los pendientes en el Congreso, pues apuntó qu… https://t.co/XuOgsJ59rA",140,0,0,0
1271118169961267205,AMLO habló sobre la iniciativa de @RicardoMonrealA para fusionar a la Cofece y CRE. Entérate de lo que dijo en nues… https://t.co/CiN4seuHMt,140,0,0,0
1271098143329996801,AMLO dio a conocer que cerca de 4 millones de estudiantes de prepa podrán recibir su beca a través de una cuenta ba… https://t.co/ytjfHo2C1i,140,1,1,0
1271093295876313088,¡Ya es jueves! No te pierdas de lo más relevante de la #Mañanera de AMLO en nuestro resumen. https://t.co/5IkcOkgnVt https://t.co/mJyly9jYz9,140,3,1,0
1271090375202086912,"Buenas noticias en Tokio, #Japón.
Levantará alerta por #COVID19, tras la disminución de nuevos casos.… https://t.co/Am4tWkMZwr",126,3,1,0
1271088182101237761,"“Ya comenzó el proceso de reapertura a la #NuevaNormalidad"": AMLO.
El presidente llamó a la gente a vencer sus mied… https://t.co/fCOolHpkrQ",140,12,12,0
1271086529386070016,"Según AMLO, poco a poco se dará la apertura de la frontera entre #México y #EUA, luego de que esta fuera cerrada de… https://t.co/Q0oO7xVSRr",140,3,2,0
1271084103081906176,"Estas son las tres posibles rutas del #AMLOTour2020🚗: https://t.co/7SpSVWtYGB
",101,6,5,0
1271083814761234433,El #AMLOTour2020 sigue en espera de autorización de la @SSalud_mx para reanudarse; el presidente dice que tiene tre… https://t.co/glslpGEvYy,140,7,3,0
1271083444890632192,"El gobierno de AMLO reconoció que hay un incremento en la incidencia delictiva en Sonora, la cual atenderá en caso… https://t.co/wNGtN0ithr",139,0,1,0
1271079672361684993,AMLO informó que revisará la acusación contra el alcalde de Coatzacoalcos por violencia política de género.… https://t.co/eiOlw2WoPz,132,1,3,0
