id,text,len tweet,likes,rt,position
1271464836015276034,"More PS5 game reveals are coming, says PlayStation boss https://t.co/1LB1P7w2tw https://t.co/ubRofGuGXD",103,765,136,0
1271443501318799364,Sony clarifies PS5's Spider-Man: Miles Morales is an 'expansion' https://t.co/bDHAFXBjFS https://t.co/I7FwLlz9rq,112,2843,351,0
1271434595381190660,Grand Theft Auto 5 confirmed for PS5 in 2021 https://t.co/4PrXqasqDS https://t.co/4xWFzuRO8c,92,758,93,0
1271419491080077312,PlayStation's Jim Ryan explains the striking design of the PS5 https://t.co/oZ1aik7BnY https://t.co/O1RabO1kJ4,110,467,50,0
1271396846653579265,Every game shown during the PlayStation 5 reveal event https://t.co/1saYzyDm2e https://t.co/o0PXEF1y2S,102,527,60,0
1271381750762086400,"The PS5 reveal gave us a strong taste of next-gen, but it's a familiar flavor https://t.co/6IH0DeXQAC https://t.co/PObYKlsF9v",125,1033,119,0
1271313802718400512,PlayStation 5 discless Digital Edition announced https://t.co/6fdjG0J03k https://t.co/UvhygDnNUt,96,1953,217,0
1271291188876738561,High PS5 price listings on Amazon were errors https://t.co/KFvLwfUCKE https://t.co/IdvK384GAa,93,693,98,0
1271275908863836160,Here's every PS5 fame shown during Sony's PS5 reveal event https://t.co/HYs9ASeqSj https://t.co/RSuDDLtAdB,106,346,39,0
1271264729848328192,GhostWire: Tokyo gets a creepy and action-packed gameplay trailer at #PS5Reveal https://t.co/QICc7FTRZQ https://t.co/CSUha7vVHi,127,416,63,0
1271257193099264001,NBA 2K21 confirmed for PS5 w/ stunning graphics https://t.co/FYgiQmVOqA https://t.co/qvI16gznTK,95,578,62,0
1271249637920460800,Kena: Bridge of Spirits has you fighting with the aid of a woodland spirit in a lush and vibrant world #PS5Reveal… https://t.co/uAxLoRdql9,138,376,58,0
1271245866855260160,"Square Enix's new game, Project Athia, gets a fantastical debut at #PS5Reveal today https://t.co/QmM1i6D7oK https://t.co/MdJnA84BxG",131,260,26,0
1271242072448733188,The Octodad devs have a new game about talking food that's coming out this year #PS5Reveal https://t.co/Taa2HU1N9B https://t.co/lNLHCEK479,138,114,11,0
1271238311764508674,The internet reacts to PS5's design 😂 https://t.co/tHj0UWN0Dk https://t.co/0phJsSMgIq,85,2276,247,0
