id,text,len tweet,likes,rt,position
1271463436069855233,"Retweet for #PlayStation, Like for #Xbox
Video: Sony/Microsoft https://t.co/UgMOon0tpm",86,290,142,0
1271211486430576642,RT @PlayStation: A stunning Demon's Souls remake is coming to #PS5. Watch the full trailer here: https://t.co/k4h7lZIagn https://t.co/GzTIs…,140,0,5367,0
1271211462862819329,"RT @PlayStation: Announced today, Marvel’s Spider-Man Miles Morales is coming to #PS5 #BeGreater https://t.co/ERaEvB7X6A",120,0,21397,0
1271211445070462979,RT @PlayStation: Just revealed – the future of gaming on #PS5: https://t.co/RcqrXBC4Fs https://t.co/IeCOAL54Ih,110,0,4515,0
1271211421213364226,"RT @PlayStation: Aloy returns in Horizon Forbidden West, from Guerrilla Games. Coming to #PlayStation5. More #PS5 details: https://t.co/3OC…",140,0,10793,0
1271203023075848199,Current mood: #PS5 https://t.co/6PRPYJ9sH6,42,369,108,0
1271202853890207749,"The #PS5 has finally been revealed in all its glory. How much are you willing to spend on the new console?
Video: P… https://t.co/VK7vefJjMH",140,1886,503,0
1271195900355006466,RT @PlayStation: ...and here it is. Thanks for watching! #PS5 https://t.co/pOzHc31X3G,85,0,96300,0
1271194305793871874,#PS5,4,50,15,0
1271190161238433793,How much do you think the #ps5 will cost?,41,467,24,0
1271188739738517504,"The #official #PS5Reveal #ps5 
Photo: #sony https://t.co/dn0C5AGL6x",67,5424,2071,0
1271187889766969345,"#HorizonForbiddenWest #PS5Reveal #ps5 
Photo: #Guerilla https://t.co/F4YWuPAfBh",79,180,43,0
1271186474105528322,"Who's excited for #ResidentEvil #Village? #PS5Reveal #ps5 
Photo: #Capcom https://t.co/9i4qN3ncie",97,213,50,0
1271185693772046336,"#DeathLoop #PS5Reveal #ps5 
Photo: Bethesda Softworks https://t.co/BmtNNGYbHs",77,79,20,0
1271184765232824323,"#GranTurismo7 #PS5Reveal #ps5
Photo: #polyphonydigital https://t.co/DOSW7OzxyU",78,204,50,0
1271184404635942913,"#DemonSouls #PS5Reveal #ps5
Photo: Japan Studios https://t.co/GAfQtUZqAV",72,112,24,0
1271183132549615619,"#nba #2k21 #PS5Reveal 
Photo: #2kgames https://t.co/l9np2XbXdA",62,376,78,0
1271181970626748419,"Lets go!!! #Hitman3 #PS5Reveal 
Photo: Square Enix https://t.co/FEVI9IqGCK",74,310,97,0
1271181021086724096,"#GodFall, who's excited? #ps5
Photo: Gearbox Software https://t.co/3FzUH5rE1U",77,75,16,0
1271180274504806402,"#GTAV will be free at launch with the #ps5.
Photo: #RockstarGames https://t.co/BDRRIeRvfx",89,686,110,0
1271179921570893833,#Ghostwiretokyo #ps5 #sony https://t.co/fP7E0ZZbc5,50,124,16,0
1271179422767501317,RT @insomniacgames: Excited to reveal Ratchet &amp; Clank: Rift Apart! A brand new dimension spanning adventure coming exclusively to PS5. #Rat…,144,0,2140,0
1271179398713094145,"RT @insomniacgames: Announcing Marvel’s Spider-Man: Miles Morales coming Holiday 2020! 🕸  #MilesMoralesPS5 #SpiderManPS5

",140,0,5459,0
1271178680882978816,"Sony PlayStation 5 ""Future of Gaming"" Stream Event Is Now Live! #ps5 #Sony 
",99,50,10,0
1271178114069073920,Who's ready for Ratchet and Clank Rift Apart? #ps5 #sony https://t.co/LVjabYA4rj,80,319,51,0
1271177607208243200,What PS5 game are you looking forward to the most?,50,263,10,0
1271171090790875144,RT @PlayStation: You're invited! The show is about to begin: https://t.co/XYzHJLRjSH #PS5 https://t.co/ngdqitt1CX,113,0,5632,0
