id,text,len tweet,likes,rt,position
1271450440882958336,"PS5 revealed, great new PS5 games, and takeaways from yesterday's showcase: https://t.co/RcqrXBktNU https://t.co/IywJGnWiBy",123,25721,2958,0
1271294907836035073,Defend the realm from giants and other mythical beasts when Tribes of Midgard makes its console debut on PS5 next y… https://t.co/BlCZ1bGCsf,140,3380,324,0
1271279808568123397,"Announcing Pragmata from Capcom, a new #PS5 game set to launch in 2022. https://t.co/FZjcE9mbfS",95,11233,1949,0
1271276033715482625,Survive a hostile planet that changes with every death. Returnal is coming to #PS5 from developer Housemarque:… https://t.co/9iFdaTxGA7,135,5615,806,0
1271272258644959234,"Hope for the future is among the stars. Blast off as an interstellar scout in Jett: The Far Shore, coming to #PS5 a… https://t.co/SyfysXjQEe",140,2934,392,0
1271264708910350336,"As an era ends, a love story begins. Goodbye Volcano High is coming to #PS5: https://t.co/eHPotqH187 https://t.co/0uBVVi532i",124,3142,411,0
1271257159184121858,"You're a cat. Prowl a mysterious, neon-drenched cybercity in Stray. Coming to #PS5 next year:… https://t.co/QCNo2SYVji",118,13917,2822,0
1271253384192876544,"Fight, sneak, and sabotage your way out of an endless cycle in Deathloop. Making its console debut on #PS5 this hol… https://t.co/67YOdJhQLA",140,4431,737,0
1271249609407385600,"Step through the Ultravoid into Solar Ash, a #PS5 adventure from the creators of Hyper Light Drifter. Watch the ful… https://t.co/nYRA20LtzQ",140,4104,631,0
1271245837310386176,"Announcing Project Athia, Square Enix’s new other-worldly adventure coming to PS5. First details:… https://t.co/6dtZ3EePFO",122,9821,2243,0
1271242060193021952,"Become a godlike Valorian Knight in Godfall, a melee-focused adventure launching on #PS5 this holiday:… https://t.co/XIePa0xYQw",127,5544,1090,0
1271239543245746176,"Kena: Bridge of Spirits is set in a lush, enchanting world. First details on this new #PS5 action adventure from Em… https://t.co/OnG0K8hyaa",140,10266,2300,0
1271237026512240642,The otherworldly adventure of Ghostwire: Tokyo is making its console debut on #PS5 in 2021. More info from Shinji M… https://t.co/90AFihET38,140,6728,1478,0
1271230738051014656,"Grab a DualSense Controller and embark on a tactile journey in Astro’s Playroom, coming to #PS5 https://t.co/19GpE8mXG7",119,6450,1013,0
1271226960195141633,"Next-gen graphics hit the court in NBA 2K21, built from the ground up for #PS5 https://t.co/ZBg7xJcAIc",102,11328,2357,0
1271224443763908609,It's official: Gran Turismo 7 is coming to #PS5. https://t.co/sV23jKTXBx,72,22740,6082,0
1271219410708111374,"GTA5 comes to #PS5 in 2021, expanded and enhanced with new features, content, and technical improvements. Watch the… https://t.co/dxyDrUcRc3",140,24430,3874,0
1271215638103678982,"Announcing Resident Evil Village, an ambitious first-person horror game from Capcom. Coming to #PS5 in 2021. Full t… https://t.co/kO6tsadmw1",140,22109,5080,0
1271210602455801856,A stunning Demon's Souls remake is coming to #PS5. Watch the full trailer here: https://t.co/k4h7lZIagn https://t.co/GzTIsuF2cW,127,23271,5357,0
1271208106567938048,"Announced today, Marvel’s Spider-Man Miles Morales is coming to #PS5 #BeGreater https://t.co/ERaEvB7X6A",103,74593,21330,0
1271205941820579840,Just revealed – the future of gaming on #PS5: https://t.co/RcqrXBC4Fs https://t.co/IeCOAL54Ih,93,21036,4509,0
