id,text,len tweet,likes,rt,position
1271438058517340165,RT @geoffkeighley: Thanks to over 1.1 million who watched live on @YouTubeGaming for our pre and post shows around #PlayStation5: Future of…,140,0,66,0
1271437976581660672,"From nostalgic to next-gen, which #PS5 game titles are at the top of your list? Or is it something else? Let us know!",117,133,10,0
1271200365275381766,It's all about the specs! Which features from the new #PS5 are you most excited about?,86,148,18,0
1271197538679500804,"What do y'all think? Is this it, chief? Let us know your thoughts about the #PS5's design down below! https://t.co/cUixRDPPEE",125,295,29,0
1271190687262953472,RT @LaurenzSide: Finally seeing the #PS5 for the first time... and wow I LOVE IT!! 😍🔥👏🏻 So sleek &amp; gorgeous. LOVING the white &amp; black color…,148,0,28,0
1271190384635449344,RT @Valkyrae: The #playstation5 is hot.,39,0,699,0
1271189186649952259,RT @geoffkeighley: This is PlayStation 5 https://t.co/OHGsGmtOWh,64,0,6090,0
1271177598773624832,RT @LamarrWilson: This show is #E3 quality. #PS5,48,0,7,0
1271169182709829633,RT @GabSmolders: Ps5 reveal... Resident Evil 8? New Silent Hill? Anything horror really 🙏 I’m so super excited for this next hour! What are…,140,0,124,0
1271162392005705729,RT @OMGitsAliA: What do YOU want to see from the #PS5 stream?,61,0,93,0
1271157258148347907,RT @RayndayGaming: Excited to be on! Make sure to tune in! Who’s hype for #PlayStation5 👀 https://t.co/wowkUDj0bG,113,0,3,0
1271155240428060673,RT @geoffkeighley: Almost time for our live #Playstation5 coverage on @YouTubeGaming - tune in at top of the hour! https://t.co/azx0EQ0nR3,138,0,108,0
1271151187920814087,RT @LamarrWilson: It's nice to be able to de-stress and talk about video games for a moment! Join us for some Playstation fun! Waiting room…,140,0,11,0
1265364620203536384,"RT @dungeonsgame: Adventurers, the day is finally here: Minecraft Dungeons arrives on Nintendo Switch, PlayStation 4, Windows, Xbox One, an…",140,0,1382,0
1261353584710397952,@PlayStationUK @PlayStation https://t.co/YageErDm6R,51,99,2,0
1261023482617487361,Today's @PlayStation's State of Play is all about Ghost of Tsushima. Tune in now: https://t.co/btEtYHUD7z… https://t.co/nBQTrzkbDW,130,51,6,0
