id,text,len tweet,likes,rt,position
1271471823742398464,PlayStation 5 is a hefty chonk of a console https://t.co/qFXRDj1Run,67,62,8,0
1271427685210886144,The internet reacts to the PlayStation 5 https://t.co/KEisXgcw7l,64,114,14,0
1271421530908643328,PlayStation 5 is a hefty chonk of a console https://t.co/qFXRDiKgCP,67,223,34,0
1271393824573657095,Destruction AllStars is a PS5 exclusive from some of the key people behind WipEout https://t.co/JfbrJ3LB75,106,162,29,0
1271376913806888962,"It turns out Spider-Man Miles Morales on PS5 is an ""expansion"" to Spider-Man on PS4 https://t.co/anqHFv2s42",107,815,152,0
1271365623726080000,LittleBigPlanet returns on PlayStation 5 in... Sackboy: A Big Adventure https://t.co/iZe5eZGUgO,95,55,5,0
1271365382557913089,"Here it is again, our first look at the PlayStation 5. And yes, you can lay it on its side #PS5 https://t.co/Z0vA9mnWld",119,117,16,0
1271338948158271490,Here's your first look at Gran Turismo 7 on PlayStation 5 https://t.co/sDHKQCFqUm,81,23,1,0
1271203663344799744,Deathloop and GhostWire: Tokyo are timed PS5 console exclusives https://t.co/D77eYWeTPl,87,118,29,0
1271201292673855493,Square Enix turns a few heads with Project Athia for PS5 and PC https://t.co/B0jjnEDKi4,87,109,30,0
1271197796134158337,"Oddworld: Soulstorm coming to PS5, PS4 and PC https://t.co/RBuAWLeocW",69,77,18,0
1271193303376171010,"Demon's Souls getting a long-awaited remake on PlayStation 5, courtesy of Bluepoint https://t.co/054HtuVwGz",107,114,19,0
1271192061711126531,Here's your first look at the PlayStation 5 console - what do you think? https://t.co/Z0vA9mnWld,96,385,47,0
1271191358322216967,Here's your first look at Gran Turismo 7 on PlayStation 5 https://t.co/sDHKQCFqUm,81,59,10,0
1271188221574119428,PS5 game Little Devil Inside looked marvellous https://t.co/Z907QzoELr,70,98,15,0
1271181305758339074,Housemarque reveals PS5 science-fiction mind-bender Returnal https://t.co/ea6svmmwaQ,84,37,7,0
1271179452727394305,LittleBigPlanet returns on PlayStation 5 in... Sackboy: A Big Adventure https://t.co/iZe5eZGUgO,95,41,12,0
1271178166858649600,Ratchet &amp; Clank: Rift Apart for PS5 announced https://t.co/RmFqOi57QJ,73,83,19,0
1271174863160573953,GTA 5 will launch on PlayStation 5 in 2021 https://t.co/3Lpr3WzGj8,66,47,10,0
1271174459223916545,Spider-Man: Miles Morales launches for PlayStation 5 this year https://t.co/2EW3wrcb4L,86,128,27,0
1271165172216889353,🔴 We are also live with our Sony #PlayStation5 live report now now now. Come join us for a merry old watch-n-chat https://t.co/t31QprCKa3,137,19,3,0
1271164045824086016,🔴 LIVE IN TEN MINUTES! @IanHigton @AoifeLockhart and @zoe_dels are getting extremely excited for the #PlayStation5… https://t.co/GUYmNbX9gG,139,51,7,0
1271083515191255041,"Ahead of tonight's reveal event, here's every confirmed #PlayStation5 game so far: https://t.co/EPDgCCoycj",106,51,11,0
1270251784510963715,"It looks like Sony's rescheduled PS5 games reveal livestream will happen this Thursday, according to a new Twitch a… https://t.co/d32XsoamYW",140,138,14,0
1270030359590244352,"It looks like Sony's rescheduled PS5 games reveal livestream will happen this Thursday, according to a new Twitch a… https://t.co/5gLBK0FYkq",140,153,29,0
1268899256829648896,Sony fined £1.9m by Australian court over PlayStation refund policy https://t.co/TEI6YC3jWI,91,51,12,0
1268116969213100033,"PlayStation's Days of Play deals are now live on the PSN Store

",111,24,5,0
1267715069497888768,UPDATE: Sony has postponed this Thursday's PlayStation 5 games reveal livestream https://t.co/JlZKB7cLJH,104,111,10,0
