id,text,len tweet,likes,rt,position
1271291848863039488,Thanks to over 1.1 million who watched live on @YouTubeGaming for our pre and post shows around #PlayStation5: Futu… https://t.co/sWdkXrY7pk,140,896,66,0
1271257708172152832,How would you grade the #playstation5 Future of Gaming stream today? #SummerGameFest,84,1124,163,0
1271238038589337600,So many images of games today. So here's a thread of  screenshots from #PlayStation5 you can check out. Starting wi… https://t.co/2J3kAWgQFo,140,8470,1685,0
1271190846453342209,Ratchet PS5!!! https://t.co/50HwcodTAX,38,10894,1757,0
1271189286553923584,A bit of news I’m hearing: Bethesda’s Death Loop and Ghost Wire Tokyo are console exclusive to #playstation5 for a… https://t.co/D23Z2IouJG,139,3065,489,0
1271188491506823168,This is PlayStation 5 https://t.co/OHGsGmtOWh,45,47724,6088,0
1271184540837371904,Demon’s Souls remake confirmed #playstation5 https://t.co/lCReo5i4WC,68,8814,1267,0
1271153660693630976,Almost time for our live #Playstation5 coverage on @YouTubeGaming - tune in at top of the hour! https://t.co/azx0EQ0nR3,119,735,108,0
1271145726882361344,Today we are excited to hear from @youtube creators around the world about #playstation5 too - some great videos fr… https://t.co/ecMUHE0WIZ,140,1102,106,0
1271144142769287170,@BeastBoyShub Looking forward to seeing you on the @YouTubeGaming live show for #playstation5 #summergamefest  Watc… https://t.co/nAXQZcZT9c,140,2,0,0
1271143930566868992,@gattuGAMING Looking forward to seeing you on the @YouTubeGaming live show for #playstation5 #summergamefest  Watch… https://t.co/5hLeTj8DTf,140,12,1,0
1271143890989355008,@Jack_Septic_Eye Looking forward to seeing you on the @YouTubeGaming live show for #playstation5 #summergamefest  W… https://t.co/QOTV8Ou9LW,140,75,9,0
1271143792230322177,@YoSoyAntrax Looking forward to seeing you on the @YouTubeGaming live show for #playstation5 #summergamefest  Watch… https://t.co/9fe6d8kXky,140,5,1,0
1271143658952114176,@RayndayGaming Looking forward to seeing you on the @YouTubeGaming live show for #playstation5 #summergamefest  Wat… https://t.co/VVBw8zTmzp,140,15,1,0
1271143624562978818,@LuzuGames Looking forward to seeing you on the @YouTubeGaming live show for #playstation5 #summergamefest  Watch l… https://t.co/jfKMUBVY7Y,140,1083,23,0
1271143567927332864,@JakeBaldino Looking forward to seeing you on the @YouTubeGaming live show for #playstation5 #summergamefest  Watch… https://t.co/quAMkUJxEk,140,112,9,0
1271143504731762689,@Valkyrae Looking forward to seeing you on the @YouTubeGaming live show for #playstation5 #summergamefest  Watch li… https://t.co/8C2HbzUvhP,140,69,3,0
1271143416634593280,@MatPatGT Looking forward to seeing you on the @YouTubeGaming live show for #playstation5 #summergamefest  Watch li… https://t.co/dVLXxDgN2w,140,17,3,0
1271143362045722624,@egoraptor Looking forward to seeing you on the @YouTubeGaming live show for #playstation5 #summergamefest  Watch l… https://t.co/3Ih4sX8S1R,140,96,6,0
1271143318739496961,@dannyodwyer Looking forward to seeing you on the @YouTubeGaming live show for #playstation5 #summergamefest  Watch… https://t.co/58AC33PVaW,140,29,4,0
1271143265950003200,@LaurenzSide Looking forward to seeing you on the @YouTubeGaming live show for #playstation5 #summergamefest  Watch… https://t.co/RUhcmXo27i,140,168,7,0
1271143213915467776,@KyleBosman Looking forward to seeing you on the @YouTubeGaming live show for #playstation5 #summergamefest  Watch… https://t.co/ahxZZuvACM,139,65,6,0
1271143168445014023,@LamarrWilson Looking forward to seeing you on the @YouTubeGaming live show for #playstation5 #summergamefest  Watc… https://t.co/4hAARvN6UD,140,26,2,0
1271143098203074560,@OMGitsAliA Looking forward to seeing you on the @YouTubeGaming live show for #playstation5 #summergamefest  Watch… https://t.co/GdeCzb45yV,139,31,5,0
1271141211957391361,Getting ready for #SummerGameFest stream for #playstation5 at top of hour! https://t.co/FVqqTJwdUf,98,1364,171,0
1271111541329260545,Here's the live link for our pre-show and full coverage of #playstation5 The Future of Gaming on YouTube. Show begi… https://t.co/BfuxZFSK9g,140,1031,162,0
1270913272787529728,Thought I'd share a few #playstation memories leading into tomorrow. PS1: E3 1995. First time I played it and $299… https://t.co/lKSaL5QKCe,139,4876,492,0
1270880833679749120,Here's the link for tomorrow's #PlayStation5: Future of Gaming pre-show and #summergamefest stream on @youtube. Cov… https://t.co/RM6PpDakMD,140,1671,289,0
1270748174190174208,And yes @kylebosman will be doing a special PS5: Dos and Don'ts too. We brought him back!!!,91,1672,121,0
1270603085585346562,#PlayStation5  👀,16,17902,1498,0
1270486015782707200,Back in 2013 @hofftv and I put @KyleBosman on camera for the first time for his PlayStation 4 Meeting: Dos and Don'… https://t.co/rvjNmw5sad,140,1802,213,0
1270053887395782656,The PlayStation 5: Future of Gaming event has been rescheduled for this Thursday. #SummerGameFest https://t.co/evoUofjPwI,121,4682,414,0
1260656365933965314,"@gurgleinnsmouth Check my timeline, it's someone playing on a PS5",65,23,0,0
1260588388878438400,"So honored to have @TimSweeneyEpic and Epic join me to discuss PlayStation 5, Unreal, the future of Fortnite and mo… https://t.co/dHFh81ELa6",140,959,83,0
1260587589280559104,This. Is. PlayStation 5. In Real Time. And it’s gameplay of a new demo created by @epicgames https://t.co/4jariz10zg,116,193113,45823,0
