id,text,len tweet,likes,rt,position
1271262203581104133,The design of the #PlayStation 5 has been revealed. https://t.co/vxjrOr4qbb,75,3816,240,0
1271085031931305987,Today join @geoffkeighley live on @YouTube for coverage of the #playstation5 reveal event as part of #summergefest… https://t.co/mJct2si4j3,139,423,52,0
1270821427088744448,"If you could just have one game announced tomorrow at #ps5 The Future of Gaming, what’s your hope? https://t.co/Vy7Xlwed1A",122,829,77,0
1270054632136404992,The PS5: Future of Gaming event will now stream live this Thursday. https://t.co/IFADSkh2ky,91,1891,196,0
1266540333162061824,"Next Thursday, PlayStation will reveal new details on PS5 with a special global livestream. https://t.co/5vDWwosEuL",115,1882,210,0
1261785236834148353,15 years ago today the PlayStation 3 was revealed at E3 2005. Here's a link to that full press conference: https://t.co/W1j6liyu5m,130,615,83,0
1260617940468027393,"Your first look at PlayStation 5 in real time, with a demo from @epicgames as part of @SummerGameFest https://t.co/2MeWnPqH1J",125,2160,305,0
1260590730361188353,RT @geoffkeighley: This. Is. PlayStation 5. In Real Time. And it’s gameplay of a new demo created by @epicgames https://t.co/4jariz10zg,135,0,45823,0
1260213318549028864,Brand new @playstation studios logo animation. What do you think? https://t.co/PZoEz4oXCZ,89,4396,535,0
1258047380072480768,"Here's the new story trailer for The Last Of Us Part II which arrives on June 19 for PlayStation 4.
",123,302,18,0
1247631988481114114,Meet the PlayStation 5 controller the DualSense https://t.co/s37zJ56vq5,71,4745,436,0
1245792996043264000,THE LAST OF US PART II has been indefinitely delayed due to the ongoing COVID-19 pandemic. But PlayStation has rele… https://t.co/KKLFwkk5GR,140,5869,856,0
1241750864991141888,"15 years ago, the original GOD OF WAR was released for @PlayStation 2. Who remembers playing Kratos' first adventur… https://t.co/nTUtct4Wcy",140,4061,640,0
1240267204609708032,In less than 3 hours @cerny will host a deep dive on @playstation 5 to discuss the system architecture. What are yo… https://t.co/UcLc1DcCXs,140,2160,289,0
1235618582102339584,GHOST OF TSUSHIMA is coming to PlayStation 4 on June 26. https://t.co/3xKaztMyRy,80,1972,227,0
1235223066600337412,"Since the PlayStation 2 launched 20 years ago today, what are your four favorite PS2 games? Some of ours: https://t.co/uHdjuUzj3J",129,7539,926,0
1233025072442597376,🎂 11 years ago today KILLZONE 2 launched for the @PlayStation 3 https://t.co/WQq0JiZ6L2,87,2355,285,0
1214361050805440512,RT @geoffkeighley: PlayStation 5 logo has been revealed. https://t.co/9UohNvduex,80,0,5160,0
