id,text,len tweet,likes,rt,position
1271483223336456192,Insomniac confirms Spider-Man: Miles Morales is a standalone PS5 game https://t.co/ywICgL9Ud9 https://t.co/4ulkOvIKV8,117,177,27,0
1271442155471593477,Sony’s surprise PS5 Digital Edition sets up a next-gen price war https://t.co/DOdY3mVmxU https://t.co/JIpGicRQM8,112,310,45,0
1271428215362457601,Sony’s PS5 reveal was the best look yet at next-gen gaming https://t.co/nBYfTQiLLJ https://t.co/sdWDkentOt,106,340,40,0
1271375198328160257,Watch the 24 biggest trailers from the PS5 event https://t.co/MrFrXqBuMD https://t.co/c56Uv80Yuy,96,184,22,0
1271216148680445957,The PlayStation 5’s design is being relentlessly mocked on Twitter https://t.co/vxdpjgDznz https://t.co/dOvn9SSqbq,114,798,131,0
1271200208282628099,Watch the 24 biggest trailers from the PS5 event https://t.co/xMLg7BOcVm https://t.co/T4ovkD7O3N,96,220,44,0
1271195287940456449,"The PS5 is getting a camera, charging dock, headphones, and media remote accessories https://t.co/N2NKPOSn1q https://t.co/BApeu602J9",132,1274,346,0
1271195277106524162,This is the PlayStation 5 https://t.co/xIKkfS3qDD,49,1914,497,0
1271192015443759110,Sony announces PlayStation 5 Digital Edition with no disc drive https://t.co/JRgr4aZdMY https://t.co/EYZHkvE90F,111,1298,337,0
1271190710348328960,Resident Evil Village revealed at Sony’s PlayStation 5 event https://t.co/qlHIEKtFjz https://t.co/OlZU1dMASF,108,206,32,0
1271190199519887360,This is the PS5 https://t.co/xSCf5dM10p https://t.co/vzLbzL5wSI,63,1728,526,0
1271188336456204288,Demon’s Souls is being remade for the PS5 https://t.co/NR005VQRoB https://t.co/8XYeK7Mocn,89,77,15,0
1271188309616873472,Breaking: This is the PlayStation 5 https://t.co/v6InJ7iRsJ https://t.co/NBmSJyGdx3,83,3233,964,0
1271188004682575875,"Horizon Zero Dawn is getting a PS5 sequel, Horizon Forbidden West https://t.co/QkcDL73MOB https://t.co/mkTxqlbjNp",113,304,72,0
1271184314856869888,The creators behind Sword &amp; Sworcery return on the PS5 with Jett: The Far Shore https://t.co/edIlZMduRy https://t.co/z0nUgduUaq,131,54,5,0
1271174325052280834,Grand Theft Auto V is coming to PS5 next year https://t.co/711qoH5RFR https://t.co/6HgnMDxqWx,93,359,69,0
1271174312641339392,Gran Turismo 7 announced for PlayStation 5 https://t.co/WNOUfg1R7a https://t.co/YXACLwwFm3,90,127,40,0
1271172859604471813,Spider-man: Miles Morales is coming to the PS5 this year https://t.co/cTmyUQcHJr https://t.co/wtj3ZcTx62,104,613,155,0
1271160748274745346,RT @camfaulkner: we’re going to learn more about ps5 games today (and possibly more!) here’s how to watch the stream that starts at 4pm ET…,139,0,20,0
1271079768985874432,How to watch Sony’s PS5 game live stream https://t.co/1fHB99B8kj https://t.co/K5UFs7JD7C,88,320,93,0
1270405151782821890,"Bungie details Destiny 2’s next-gen future, including free PS5 and Xbox Series X upgrades https://t.co/qiFfsy76RU https://t.co/dkm0F5Mun4",137,130,27,0
