id,text,len tweet,likes,rt,postura
1124047262320144388,"En su conferencia, el Mandatario @lopezobrador_ reconoció un error al señalar a un presunto asesor del Nuevo Aeropu… https://t.co/JcNY5NRVzi",140,8,2,-1
1124041019190910977,"#Entérate Por instrucción del Presidente @lopezobrador_, la @SHCP_mx exigió a titulares de dependencias despedir al… https://t.co/wNilYwL6zA",140,103,105,-1
1124001765504974852,"En la conferencia matutina, Carlos Domínguez Ramírez, hijo del periodista Carlos Domínguez Rodríguez, asesinado en… https://t.co/K0C4nf1aCi",139,11,3,0
1124001760710995974,"¿Qué sucedió hoy en la #Mañanera del Presidente @lopezobrador_ ? Echa un vistazo ? 👇

- Ve posible crecimiento de 4… https://t.co/nOthMxEAkp",140,13,7,1
1123953810689466368,Plantea AMLO 'quién es quién' para jueces https://t.co/7ZbIf0NJMx,65,17,7,-1
1123939837923426304,"El Presidente López Obrador informó que Germán Larrea, dueño de Grupo México, ofreció colaborar en el rescate de lo… https://t.co/JqKjI23J73",140,23,6,0
1123933172893409280,Se disculpa AMLO por señalamiento de SCT https://t.co/tfWJIbnOdw,64,12,8,-1
1123932591386693633,Es posible crecer al 4%.- AMLO https://t.co/MmJkdYUl8t,54,20,1,-1
1123890829758816257,"El Gobierno del Presidente Andrés Manuel López Obrador estableció como meta, para el año 2024, reducir prácticament… https://t.co/MjXEBAm5ZL",140,34,11,-1
1123780740309815296,"Como resultado de la implementación de las estrategias del Plan Nacional de Desarrollo, la actual Administración es… https://t.co/xWSurJtkIC",140,17,8,-1
1123780735708672001,"En comida por el #DíaDelTrabajo, el Mandatario @lopezobrador_ pidió a líderes obreros que se respete la ley y no ex… https://t.co/XwMt3dF9tC",140,4,2,-1
1123754118227615745,"#LoMásVisto El Mandatario @lopezobrador_ trata de gobernar por decreto e intimidación, expandiendo el papel militar… https://t.co/3707Qw3W2s",140,672,450,-1
1123749599645184003,El senador @NapoleonGomezUr celebró el anuncio del Presidente @lopezobrador_ sobre que serán rescatados los cuerpos… https://t.co/o2eCX3vaz8,140,18,4,-1
1123715362154061825,Líderes de la CNTE alertaron que congelar la nueva reforma educativa educativa en el Senado afectará el próximo cic… https://t.co/oumdjWjnaq,140,11,3,-1
1123715360241389569,"En comida por el Día del Trabajo, el Presidente @lopezobrador_ pidió a líderes obreros que se respete la ley y no e… https://t.co/UEXD0HcC2P",140,28,6,-1
1123678638661087234,"Este lunes, en Santa Lucía, el Presidente @lopezobrador_ dijo que se cumplirá en tiempo y forma con el nuevo aeropu… https://t.co/pgflz3Ls5x",140,14,3,0
1123677942712807429,"A Palacio Nacional acuden a una comida con el Presidente López Obrador, líderes sindicales del CT y la UNT, así com… https://t.co/ssSzosYL4M",140,33,27,0
1123665093726699520,El Plan Nacional de Desarrollo del Gobierno que encabeza el Presidente López Obrador apuesta por despenalizar el co… https://t.co/dhe7OjtWdX,140,35,16,0
1123648442507649024,"#PorSiNoLoViste El Mandatario @lopezobrador_ dijo que 'a lo mejor' una facción del conservadurismo, para confrontar… https://t.co/uN856QzzNc",140,74,38,1
1123647687025360896,"Mario Delgado y Ricardo Monreal, acudieron este miércoles a desayunar a Palacio Nacional con el Presidente López Ob… https://t.co/M4tP6BvoqR",140,92,41,-1
1123645874192646144,El Presidente @lopezobrador_ informó que se harán excavaciones en mina Pasta de Conchos para recuperar restos de mi… https://t.co/iIbpMP3dQP,140,0,1,-1
1123645873295114241,.@lopezobrador_ celebró que este miércoles fue publicada en el Diario Oficial de la Federación la reforma laboral a… https://t.co/GsJXp65ScE,140,1,1,-1
1123645872108183553,"Tras no aprobarse en el @senadomexicano la reforma educativa, el Jefe del Ejecutivo @lopezobrador_ manifestó que es… https://t.co/wBHJak56bU",140,1,0,-1
1123645869432213504,"¿De qué habló el Presidente @lopezobrador_ este #1deMayo? Aquí te decimos 
👇

-Vamos muy bien, dice ante frenón
-Af… https://t.co/XKLdHcyvN0",140,17,9,1
1123639792179322880,"Cuando no se logró sacar la reforma educativa en el @senadomexicano, la Oposición acusó que Morena y sus aliados to… https://t.co/zqOnyEaqOO",140,19,10,-1
1123596181282668545,Afirma AMLO que ahorros serán para programas https://t.co/7UdU1w4K1L,68,14,16,-1
1123582571898703874,"Vamos muy bien, dice AMLO ante frenón https://t.co/pWqhUijRw5",61,81,70,1
1123580594615738370,Critica AMLO 'bloque' contra reforma educativa https://t.co/8qqXfhsxKh,70,21,9,-1
