id,text,len tweet,likes,rt,position
1271233820436594689,"El activista Alfredo Lecona acusó a la titular de CNDH, Rosario Piedra, de estar al servicio de AMLO al no presenta… https://t.co/3Px7f0g2Bz",140,0,0,0
1271210699369349125,RT @mexicotoday: A judge issued an injunction that halts changes by the AMLO administration in Mexico's electric market that critics say gi…,140,0,22,0
1271201418213384193,.@Silvano_A pidió a López Obrador ser solidarios con familias que no pueden pagar su recibo de luz durante la conti… https://t.co/fBWefwPcmZ,140,4,2,0
1271143333864386561,"RT @Reforma: #Covid_19 Escucha qué estados seguirán en semáforo rojo la próxima semana, qué pide @lopezobrador_ a ciudadanos, además de cui…",140,0,10,0
1271112744054534145,"AMLO pidió a ciudadanos vencer miedo a salir mientras que País inicia reapertura, luego de medidas por contingencia… https://t.co/RR289cBX9E",140,3,1,0
1271112726580998149,"En medio de críticas por la estrategia para enfrentar la pandemia de Covid-19, el Presidente López Obrador dio un e… https://t.co/75bEk82BGM",140,29,18,0
1271083323901837312,"Tras acusar que se simuló con la creación del Sistema Nacional Anticorrupción, el Presidente López Obrador adelantó… https://t.co/QJkgsikvbu",140,4,5,0
1271079118558375938,"El Presidente Andrés Manuel López Obrador dijo que, si la fusión del IFT, la Cofece y la CRE en un solo regulador e… https://t.co/cjP4VaQyR1",140,13,9,0
1270870365842145282,La dirigencia nacional del PRD acusó que Morena y el Gobierno federal se empeñan en atentar contra la democracia y… https://t.co/Bd74twJveY,139,64,34,0
1270821788122058752,"RT @mexicotoday: ""AMLO feels somewhat morally superior and immune to the coronavirus. For ordinary Mexicans however -especially the poor he…",140,0,14,0
1270777785347342337,AMLO aseguró que Gobernador de Jalisco cometió imprudencia al acusarlo de tener injerencia en protestas realizadas… https://t.co/Iatkfvv8Uh,139,5,5,0
1270745196419076101,El Presidente López Obrador reconoció que el exhibir las supuestas intenciones electorales de la Oposición es algo… https://t.co/2NQWI9Ekwu,139,9,5,0
1270726614544977920,"El Presidente López Obrador afirmó que en la democracia es conveniente actuar con transparencia, y pidió a sus opos… https://t.co/Dpv6CDRPyq",140,4,4,0
1270721958544433154,El Presidente López Obrador dijo que no permitirá que 'ninguneen' la investidura presidencial con 'politiquería' https://t.co/LhG6MkNt73,136,25,8,0
1270720121254764546,Estamos tocando fondo con la crisis.-AMLO https://t.co/wXmszpEgQ2,65,5,0,0
1270499485857316865,Ricardo Monreal exhibió espectaculares con consignas contra AMLO colocados en calles de Guadalajara y llamó al Gobi… https://t.co/t20Mg6S5CP,140,35,17,0
1270482301571522560,"A tono con el Presidente Andrés Manuel López Obrador, el senador Ricardo Monreal afirmó que el sistema de ahorro de… https://t.co/Lk2lSsGTe0",140,156,88,0
1270453207844585473,"Luego que AMLO exhibió que se impulsa bloque opositor, Monreal consideró normal que surjan esos grupos y dijo que e… https://t.co/8wurJbyThv",140,44,11,0
1270388323094315008,"Tras considerar que modelo de Afores resultó dañino para el País, el Presidente López Obrador advirtió que impulsar… https://t.co/v2rW9V4tE2",140,20,12,0
1270368651988938752,Propone AMLO grupos de paz en protestas https://t.co/HD2TtKjt1X,63,4,1,0
1270368636558086144,"AMLO exhibió documento, no confirmado, que propone 'Bloque Opositor Amplio' que busca derrotar a Morena en 2021 y r… https://t.co/PkrFY9Dj1X",140,166,54,0
1270360675093807107,El Presidente Andrés Manuel López Obrador dijo que 'desea con toda el alma que termine la pesadilla' de la pandemia… https://t.co/pBnbNz5Bat,140,5,0,0
