id,text,len tweet,likes,rt,postura
1124053474482827279,"CNTE Michoacán libera casetas; exige abrogación total de la reforma educativa 
https://t.co/Lqpdi7pQTs",102,7,6,-1
1124004358692200449,Hijo de periodista asesinado en Tamaulipas pide justicia a López Obrador https://t.co/XXMn1liwqI,96,90,47,-1
1123993072197603330,"Pese a datos de contracción, @lopezobrador_ insiste que la economía crecerá 4%  https://t.co/9GduZhORB8",103,78,41,-1
1123985529656291330,"No echamos las campanas al vuelo, pero los homicidios van a la baja: @lopezobrador_ https://t.co/Pr7y04Rtd7",107,158,46,1
1123970435996180480,Larrea colaborará en el rescate de cuerpos en Pasta de Conchos: @lopezobrador_ https://t.co/UwFVvX0gF3,102,23,6,1
1123962895849676800,@lopezobrador_ se disculpa por involucrar a Del Mazo González con el #NAIM https://t.co/EJwpUDi160,98,9,5,-1
1123955331317547009,"Tras faltar a votación por reforma educativa, sacan a Salomón Jara de la Comisión Permanente https://t.co/eQdYDMnDZN",116,244,78,-1
1123927719341907968,El gobierno de @lopezobrador_ pretende que el 95 por ciento de la población de México tenga acceso a internet al fi… https://t.co/oIXHmjvnxe,140,317,128,-1
1123804686862168069,Plan Nacional de Desarrollo propone crecimiento equilibrado  https://t.co/DXeOr554yL,84,46,12,1
1123801188451930113,El PND presume que los pueblos indígenas ya autorizaron el Tren Transístmico https://t.co/N0WmNW26ks,100,32,17,-1
1123796766149758977,El Plan Nacional de Desarrollo #PND establece que política exterior tiene como principal prioridad la relación bila… https://t.co/8kmQSlqTVt,140,23,10,0
1123789217539264512,La propuesta para el deporte que el presidente @lopezobrador_ presentó este miércoles en su Plan Nacional de Desarr… https://t.co/P14bzAczYl,140,64,44,0
1123784219132604416,#Video El 1 de Mayo en tiempos de la 4T: entre nuevos aires y resabios #DíaDelTrabajo https://t.co/gDmpgOpEuG,109,16,10,1
1123782924791439362,El gobierno de @lopezobrador_ se compromete a sacar de la pobreza a 20 millones de personas y a 5 millones de perso… https://t.co/OPliLBjhiu,140,550,250,-1
1123779151998140416,"Índices delictivos se reducirán 50% para 2024, vaticina el Plan Nacional de Desarrollo de @lopezobrador_ https://t.co/h6Lg2nqzLj",128,91,28,-1
1123776657075130369,"Gobierno de @lopezobrador_ presume cambio en política migratoria, pero ONG acusan “criminalización” https://t.co/1rNM4BeohW",123,38,24,-1
1123771603182133251,Plan Nacional de Desarrollo prevé ampliar cobertura de internet a 95% en 2024 https://t.co/ohI2HqNG57,101,54,21,0
1123761847310737409,"“Los lujos, dispendios y opulencia” en el ejercicio del poder han llegado a su fin: @lopezobrador_ https://t.co/sornRCJ1Dr",122,420,163,1
1123756437631586304,"Mediante esta medida, anunciada en el Plan Nacional de Desarrollo, el gobierno pretende que los #migrantes permanez… https://t.co/74gYjepLBx",140,45,38,-1
1123710481825447936,#ReportajeEspecial El gobierno de @EPN “dejó un conflicto a punto de estallarle al presidente @lopezobrador_. Es gr… https://t.co/Q3Vs3V3wwe,140,84,101,-1
1123696117449920512,"Tras faltar a votación por reforma educativa, sacan a Salomón Jara de la Comisión Permanente https://t.co/wcIQLSQIBr",116,394,244,-1
1123686090811088900,"El Día del Trabajo, la #CNTE ratifica su demanda de abrogación de la reforma educativa
https://t.co/NGbv8lsn3y https://t.co/gYXzqKwCT8",134,15,11,0
1123643749542838274,"López Obrador: se tiene que limpiar al Poder Judicial
https://t.co/fNQlvqVoKy",77,445,199,-1
1123638245596848129,@lopezobrador_ niega estancamiento económico y afirma que la austeridad en el gobierno beneficiará a la gente https://t.co/o00v7qMs0s,133,32,9,-1
1123627072205787136,Listo el PND; romperá esquemas mentales y el adoctrinamiento neoliberal: @lopezobrador_  https://t.co/EEwbfViIhS,112,72,40,-1
1123623141924855813,@lopezobrador_ apuesta por periodo extraordinario… y “un milagro” para sacar la reforma educativa https://t.co/LPDPmDRwe5,121,17,11,-1
1123618173599797248,"“Tengan para que aprendan”, dice @lopezobrador_  al vitorear la aprobación de la reforma laboral https://t.co/PvIeIazoM9",120,166,88,-1
1123610562041131015,Hoy inicia el rescate de cuerpos en Pasta de Conchos; “es un acto de justicia”: @lopezobrador_  https://t.co/5Bvsnz99rE,119,655,386,-1
1123592944429281280,La reforma educativa se queda a un voto de ser aprobada; senadores la regresan a San Lázaro https://t.co/JWJjCFgJ1E,115,40,24,-1
1123577863641468928,"Sin exigir indemnización, la empresa del compadre de @lopezobrador_ renuncia a contrato https://t.co/9kWuf8H3Df",111,123,65,-1
1123572936630243334,.@lopezobrador_ anuncia más austeridad: no comprará vehículos y él autorizará los viajes internacionales https://t.co/pJr1m9SZWI,128,325,96,-1
1123565343618760706,Este 30 de abril la dirigencia del PAN exigió al gobierno de @lopezobrador_    reconocer y respaldar al denominado… https://t.co/0jxh2DIWNd,139,119,51,-1
1123441929084121089,El Infonavit debe evitar la corrupción y trabajar con honestidad: @lopezobrador_ https://t.co/OblogrkY9u,104,97,37,-1
1123425572477186048,Relevo en la Conago: propone reconciliación a @lopezobrador_ y busca marco legal https://t.co/9cO79kQ8ng,104,20,12,-1
1123414272590139392,"Sin exigir indemnización, la empresa del compadre de @lopezobrador_  renuncia a contrato https://t.co/DImOqnIi0z",112,94,51,-1
1123391634689994757,La dirigencia del PAN exigió al gobierno de @lopezobrador_ reconocer y respaldar al denominado “presidente encargad… https://t.co/XbD2KnisXA,140,177,82,-1
