id,text,len tweet,likes,rt,postura
1124053815836258316,"¿A qué economía se parecerá la de México al final de la 4T? ¿A la de Cuba, Canadá o China? La Sria. de Economía, Gr… https://t.co/kJOr3AjXXV",140,11,4,0
1123767444361875457,"¿Cuál es el plan económico de la 4T y quiénes en el gabinete están ejecutándolo? La Sria. de Economía, Graciela Már… https://t.co/48TJud5eC3",140,15,4,1
1123630669618401280,"¿A qué economía se parecerá la de México al final de la #4T? ¿A la de Cuba, Canadá o China? La Sria. de Economía, G… https://t.co/B2yrozgtwU",140,11,5,0
1123610516725743617,"@NFer_Cervantes Vi a Monsivais dialogar con la Derecha, respetuosamente. Lo vi disentir de AMLO, a quién en general… https://t.co/3XLGlNbPYP",140,53,2,-1
1123349451366588417,"RT @sabinaberman: ¿A qué economía se parecerá la de México al final de la 4T? ¿A la de Cuba, Canadá o China? La Sria. de Economía, Graciela…",140,0,6,0
1123348135084949504,"¿A qué economía se parecerá la de México al final de la 4T? ¿A la de Cuba, Canadá o China? La Sria. de Economía, Gr… https://t.co/x8KlG9v4wr",140,14,6,0
1123307291929927682,RT @AristeguiOnline: Cae 13.8% venta de publicidad de Televisa; la empresa se lo achaca al gobierno de AMLO https://t.co/VaLYWLMn9r https:/…,140,0,177,-1
1123305360314511361,RT @ElCambioVieneTV: ¿Cuál es el rumbo económico que tomará México durante el sexenio del Pdte. #AMLO? Todos los detalles esta noche con @S…,140,0,4,-1
1123059461684432898,"¿A qué economía se parecerá la de México al final de la 4T? ¿A la de Cuba🇨🇺, Canadá🇨🇦 o China🇨🇳?

 La Sria. de Econ… https://t.co/wN1CepJi80",140,20,7,0
1123044336936132608,"¿A qué economía se parecerá la de México al final de la 4T? ¿A la de Cuba, Canadá o China? La Sria. de Economía, Gr… https://t.co/QRJ8xKL5G9",140,24,8,0
1122999067020283904,"¿Cuál es el plan económico de la 4T y quiénes en el gabinete están ejecutándolo?

 #EstaNoche La Sria. de Economía,… https://t.co/XODoGL2t4o",140,11,2,1
1122983959913226240,"¿A qué economía se parecerá la de México al final de la 4T? ¿A la de Cuba, Canadá o China? La Sria. de Economía, Gr… https://t.co/ING0Tw8Qv2",140,48,11,0
1122937973102784513,"¿A qué economía se parecerá la de México al final de la 4T? ¿A la de Cuba, Canadá o China?

 La Sria. de Economía,… https://t.co/GjSJwgGbxQ",139,7,1,0
1122611404815642624,"RT @sabinaberman: ¿A qué economía se parecerá la de México al final de la 4T? ¿A la de Cuba, Canadá o China? La Sría de Economía Graciela M…",140,0,17,1
1122555476137222144,"Resumen de la indignación liberal contra la 4T. ""No necesitamos (escucharlos) p saber qué piensan en el gobierno.""… https://t.co/Wzbctsr5Zw",139,195,83,-1
1122542090209021957,¿Cuál es el plan económica de la 4T y quiénes en el gabinete están ejecutándolo? La Sría de Economía Graciela Márqu… https://t.co/7KT0wOhPWE,140,11,4,0
1122541947355140096,"¿A qué economía se parecerá la de México al final de la 4T? ¿A la de Cuba, Canadá o China? La Sría de Economía Grac… https://t.co/FjShSLJdc2",140,64,17,0
