id,text,len tweet,likes,rt,position
1180215280800272384,"The latest patch for Torchlight 2 introduced more accessible button mapping for Xbox One, PlayStation 4, and Ninten… https://t.co/36tFqhgPqE",140,69,3,0
1168933895129227266,"RT @PlayTorchlight: ⚔️ #TorchlightII is now available on all consoles! Download now and relive the glory! ⚔️

#PlayStation4 #XboxOne #Ninte…",140,0,75,0
1154876130995900416,"RT @wolfenstein: #Wolfenstein: Youngblood is available NOW on PC, PlayStation 4, Xbox One, and Nintendo Switch! https://t.co/D5WQJL41e9",135,0,338,0
1154059385322319872,"RT @bethesda: #Wolfenstein: Youngblood launches July 26, 2019 on PC, PlayStation 4, Xbox One, and Nintendo Switch. Watch the official launc…",140,0,218,0
1097772405613871104,"RT @SubnauticaPS: Subnautica updated on @PlayStation! Less crashing, more reliable Seamoth docking, no more false-walls in the Aurora: http…",140,0,38,0
1092860587107704832,"It's TO THE TOP Tuesday - Play online tonight on PlayStation VR, with the developers of the game! https://t.co/LtTYWeN406",121,2,0,0
1092600152953667584,Time's running out - Get this cooperative / competitive / parkour / platforming game for @PlayStation Virtual Reali… https://t.co/ajjNzIH6Xc,140,8,2,0
1091068998278676481,"The @PlayStation VR version of @VR_ToTheTop is on sale for 70% for a limited time!
#PSVR",112,19,10,0
1087781063450116099,Tonight is TO THE TOP Tuesday - Play online on PlayStation VR with the developers of the game! https://t.co/V24ZsqKsir,118,5,0,0
1086314850568015873,"For those gamers in @PlayStationEU, Primal Carnage: Extinction is 75% off a limited time! 
#PS4",119,4,0,0
