id,text,len tweet,likes,rt,position
1271414818059071493,"RT @PlayStationEU: Grab a DualSense Controller and embark on a tactile journey in Astro’s Playroom, coming to PlayStation 5. https://t.co/h…",140,0,95,0
1271414585006813185,"RT @PlayStationEU: You're a cat. Prowl a mysterious, neon-drenched cybercity in Stray. Coming to #PS5 next year: https://t.co/NbmOAkUZQC ht…",140,0,241,0
1271400816209915905,@nsuttner @PlayStation Hi Nick!,31,8,0,0
1271349479967358976,@GamerUPGaming @hermenhulst @PlayStation @Neil_Druckmann @aqizil @RohdeScott Thanks!,84,51,3,0
1271346267176628224,Metacritic 95!!!!  The Last of Us Part II Critic Reviews for PlayStation 4 https://t.co/M54YwRGJYV via @metacritic,114,1544,134,0
1271287959040348163,"RT @PlayStation: Mystical phenomena lurk on the fringes of society. Uncover them in Little Devil Inside, an action-adventure RPG coming to…",139,0,723,0
1271287058565193733,@donfubar @PlayStation Thanks!,30,7,0,0
1271281280538177546,"Travel into the void in Solar Ash, coming to PlayStation 5 – https://t.co/ij6HkBRRLY https://t.co/odNq3iiBxY",108,217,13,0
1271268253445189632,RT @insomniacgames: Excited to reveal Ratchet &amp; Clank: Rift Apart! A brand new dimension spanning adventure coming exclusively to PS5. #Rat…,144,0,2105,0
1271266216657612800,"""The Best Song of the PS5 Show"" goes to....BUGSNAX! https://t.co/zdaE4X44Ou",75,975,68,0
1271227742671917057,"RT @emberlab: We're back! 
*PS5 The Future of Gaming + Kena: Bridge of Spirits*
A corrupted world, an unforgettable adventure, a determined…",140,0,2622,0
1271227151832891392,RT @PlayStation: It's official: Gran Turismo 7 is coming to #PS5. https://t.co/sV23jKTXBx,89,0,5931,0
1271217532318257153,PS5 game Little Devil Inside looked marvellous | Eurogamer https://t.co/Ei30oWxDrB,82,2015,205,0
1271216648767209472,"RT @A_i: STRAY is coming to PS5 &amp; PC in 2021. Wishlist on Steam now // https://t.co/hBMas6nTBq

Lost, alone, and separated from family, a s…",144,0,3878,0
1271211081080299520,"RT @PlayStation: Aloy returns in Horizon Forbidden West, from Guerrilla Games. Coming to #PlayStation5. More #PS5 details: https://t.co/3OC…",140,0,10547,0
1271211037576986624,RT @PlayStation: Just revealed – the future of gaming on #PS5: https://t.co/RcqrXBC4Fs https://t.co/IeCOAL54Ih,110,0,4458,0
1271210781074309120,"RT @PlayStation: Announced today, Marvel’s Spider-Man Miles Morales is coming to #PS5 #BeGreater https://t.co/ERaEvB7X6A",120,0,20913,0
1271210742021152769,RT @PlayStation: A stunning Demon's Souls remake is coming to #PS5. Watch the full trailer here: https://t.co/k4h7lZIagn https://t.co/GzTIs…,140,0,5276,0
1271165813605597184,"RT @PlayStation: The Future of Gaming on #PS5 begins at 1pm Pacific Time.

ESRB: Rating Pending to Mature 17+ and MAY INCLUDE CONTENT INAPP…",140,0,21641,0
1270821641937805314,RT @geoffkeighley: And yes @kylebosman will be doing a special PS5: Dos and Don'ts too. We brought him back!!!,110,0,121,0
1270117997584121857,@PlayStationSCO Watch it when you arrive in England 👍,53,10,0,0
1270116486988705793,@PlayStationSCO 😭,17,2,0,0
1270103170107052032,"RT @PlayStation_jp: 世界情勢を鑑み延期になっておりましたPlayStation®5に関する映像イベントの配信日時を日本時間6月12日(金)午前5時に決定しました。

詳しくはこちら⇒https://t.co/T6n2pcIHfT

#PS5 https://…",140,0,34266,0
1269938693680185346,"RT @PlayStation_jp: 注目の期待作『Ghost of Tsushima』、ユーザーからの質問に開発会社 @SuckerPunchProd が答えました！

詳しくはこちら⇒ https://t.co/TOilT9cqMW 

#PS4 #GhostofTsus…",140,0,445,0
1269040905928929281,RT @shawnethegirl: Lovely read from @nightschoolers on the PlayStation blog today about building meaningful connections. A great series con…,140,0,8,0
1268473220497170434,"@Marvel252 @BlueBerriMoon “We” at PlayStation are enjoying these titles, this is not my personal selections.",108,10,0,0
1268472169320730625,Monthly Picks for June is live on PS4! These are games we at PlayStation are enjoying!! :D @BlueBerriMoon https://t.co/zbYF7pk8sO,129,437,44,0
1268465915181465601,RT @PSgamingVR: Paper Beast – The Review – PlayStation when you need it. https://t.co/wqFDsXPHd1,96,0,15,0
1268221563100295168,"RT @PlayStation_jp: 【#PSVR】

＼PS VRが1万円オフ🎉／

｢PlayStation®VR “PlayStation®VR WORLDS” 同梱版｣が、希望小売価格より10,000円お得な希望小売価格24,980円＋税となった「PlayStatio…",140,0,1544,0
1267667788207808512,RT @PlayStation_jp: https://t.co/qQ7UIdouDR,43,0,36345,0
1267546485949751296,RT @PlayStation: https://t.co/ZAY8StN0EU,40,0,124124,0
1267337899772530688,"If you plan to watch Thurs PS5 show on TV, you can set in the ""Event"" menu of PS4 so it will auto start at the time. https://t.co/qbvM8DhL9z",140,6539,1168,0
