id,text,len tweet,likes,rt,position
1271467849652019202,A new Star Wars game has leaked on the Xbox website https://t.co/5Qz5AVTZVi https://t.co/8AHJiHqCiT,99,658,115,0
1271114499232235522,"Xbox Series X compatible game leaked, and it stars SPONGEBOB https://t.co/42SCUI8kpp https://t.co/7aIBzj8RG8",108,376,47,0
1271019366008700928,Dirt 5 can run at 120 FPS on Xbox Series X https://t.co/J44xvJskIC https://t.co/hqhuDpBTrv,90,714,59,0
1271004283257761792,Call of Duty: Modern Warfare has just hit some Xbox One players with an 84 GB update  https://t.co/Xzvjx2u3L6 https://t.co/o2B98T4rIb,133,1598,182,0
1270928790986862592,Xbox Game Pass is adding eight more games in the coming weeks https://t.co/NNehai1fkm https://t.co/YkSaTdKArz,109,162,12,0
1270859465303248902,Chivalry 2 coming to PS5 and Xbox Series X with cross-play https://t.co/Srj0SRizBH https://t.co/XlAqQEVugX,106,283,32,0
1270834161679564802,RT @GameSpotDeals: Xbox Game Pass Ultimate 3-month subscriptions on sale for $23 https://t.co/3YBXgDVU4O https://t.co/5TIgpkF5QC,128,0,21,0
1270732496892760064,Xbox Game Pass is adding eight more games in the coming weeks https://t.co/ke5pe2ADzW https://t.co/1N1nYhscyv,109,124,16,0
1270724947321614345,"No Man's Sky is adding cross-play across PS4, Xbox One, and PC https://t.co/dT6rLs9jBh https://t.co/bqO0je7VyL",110,507,66,0
1270694753613631490,Xbox boss Phil Spencer is thinking beyond consoles  https://t.co/4EJfqRmvYy https://t.co/IkHuaJ9NF7,99,266,31,0
1270596570631766016,Destiny 2 offers free PS5 and Xbox Series X upgrades https://t.co/UJHNiS9nKX https://t.co/hYJgnsvKN3,100,555,53,0
1270581495451787264,The Cyberpunk 2077 Xbox One has a secret message on it ... 🔍 https://t.co/IGBsydQtWC https://t.co/n43TR3Zw5J,108,706,78,0
1270393649826799618,Destiny 2 offers free PS5 and Xbox Series X upgrades https://t.co/ccCw51fYYA https://t.co/mjX8DQSUmh,100,840,106,0
1270382452469530626,"RT @GameSpotDeals: Flash sale offers up to 50 percent off PS4, Xbox One games under $20 https://t.co/DMyYDtkrMZ https://t.co/V0LOx9nYDM",135,0,28,0
1270377670967209985,The Cyberpunk 2077 Xbox One has a secret message on it ... 🔍 https://t.co/tfwHJp4tyC https://t.co/q5R33rWwcL,108,599,66,0
1270294593016418306,More evidence of the rumored low-cost Xbox has surfaced 🤔 https://t.co/JpIzJkmGMw https://t.co/9bmvESBihV,105,242,33,0
